café Café | w_freq: 82 - 139 | wiki_freq: 10709 - 11741 | sentence_idx: 438 | align_1: 8-6 | align_2: 9-11 |    For instance , think of a small neighborhood café that you love . ||| Denken Sie beispielsweise an ein kleines Café in der Nachbarschaft , das sie lieben . 

forums Foren | w_freq: 217 - 146 | wiki_freq: 9544 - 1334 | sentence_idx: 750692 | align_1: 11-12 | align_2: 12-17 |    An excellent and well written guide to asking questions in public forums is How To Ask Questions The Smart Way by Eric S. Raymond . ||| Eine exzellente und gut geschriebene Anleitung dazu , wie Fragen in öffentlichen Foren gestellt werden sollen , ist How To Ask Questions The Smart Way von Eric S. Raymond . 

Remember Denken | w_freq: 1149 - 1801 | wiki_freq: 9753 - 11243 | sentence_idx: 751175 | align_1: 0-0 | align_2: 1-4 |    Remember that ketone supplements are n’t something you wish to use with a high carb diet . ||| Denken Sie daran , dass Ketone Ergänzungen nicht etwas sind , das Sie mit einer hohen carb Diät verwenden möchten . 

weakness Schwäche | w_freq: 292 - 260 | wiki_freq: 14993 - 4009 | sentence_idx: 751658 | align_1: 4-4 | align_2: 5-9 |    It helps reduce the weakness I always felt in my limbs . ||| Es hilft , die Schwäche zu verringern , die ich immer in meinen Gliedern fühlte . 

FPSG FPSG | w_freq: 1 - 1 | wiki_freq: 5 - 1 | sentence_idx: 752390 | align_1: 17-17 | align_2: 18-22 |    In short , they are not ' Israeli NGOs ' , but Foreign Political Subversion Groups ( FPSG ) . " ||| Kurz gesagt : Sie sind keine ' israelischen NGOs ' , sondern Foreign Political Subversion Groups ( FPSG - ausländische politische Zersetzungsgruppen ) . " 

provincia provincia | w_freq: 1 - 1 | wiki_freq: 265 - 151 | sentence_idx: 752689 | align_1: 8-7 | align_2: 9-12 |    It is a part of a province ( provincia ) for all national administrative purposes . ||| Es ist ein Teil einer Provinz ( provincia ( Provinzen Spaniens ) ) zu allen nationalen Verwaltungszwecken . 

paranoia paranoia | w_freq: 34 - 10 | wiki_freq: 3193 - 13 | sentence_idx: 752979 | align_1: 10-9 | align_2: 11-15 |    The energy level was bubbly and appeared free of the paranoia I had heard about for two days during my interviews with activists . ||| Das energieniveau war sprudelnd und schien frei von der paranoia zu sein , von der ich während meiner interviews mit aktivisten zwei tage lang gehört hatte . 

beware hüten | w_freq: 47 - 21 | wiki_freq: 717 - 626 | sentence_idx: 754707 | align_1: 15-13 | align_2: 16-17 |    It is wonderful that your family has been so supportive thus far , but do beware that it is very difficult for your family to endure your functional absence , and that dynamic can have lasting consequences . ||| Es ist wunderbar , dass deine Familie bislang so unterstützend war , aber hüten Sie sich , dass es für Ihre Familie sehr schwierig ist , Ihre funktionale Abwesenheit zu ertragen , und diese Dynamik kann dauerhafte Konsequenzen haben . 

Proceed Aufforderung | w_freq: 18 - 69 | wiki_freq: 261 - 5045 | sentence_idx: 755695 | align_1: 0-8 | align_2: 1-14 |    Proceed to that which you denied ! ||| " ( An die Sünder ergeht dann die Aufforderung :) " " Begebt euch an den Ort ( der Höllenstrafe ) , den ihr ( zeitlebens ) für Lüge erklärt habt ! " 

Remember Erinnern | w_freq: 1149 - 201 | wiki_freq: 9753 - 488 | sentence_idx: 755833 | align_1: 0-0 | align_2: 1-4 |    Remember any nation whose government is a national-security state needs official enemies . ||| Erinnern Sie sich : Jede Nation , deren Regierung einen Staat der nationalen Sicherheit bildet , braucht offizielle Feinde . 

Remember Denken | w_freq: 1149 - 1801 | wiki_freq: 9753 - 11243 | sentence_idx: 756214 | align_1: 0-0 | align_2: 1-4 |    Remember that John F. Kennedy International Airport has 8 terminals , so you should be careful to get off at the right terminal . ||| Denken Sie daran , dass der John F. Kennedy International Airport 8 Terminals hat , also sollten Sie vorsichtig sein , um am richtigen Terminal aussteigen zu können . 

resented grollte | w_freq: 3 - 1 | wiki_freq: 5142 - 16 | sentence_idx: 756652 | align_1: 4-4 | align_2: 5-9 |    I both loved and resented that wealth of warmth which Elisabeth brought to me in those unexpected hours of the night . ||| " Ich liebte und grollte zugleich [ über ] diesen Reichtum an Wärme , den Elisabeth mir brachte , in diesen unerwarteten Stunden der Nacht . 

guess raten | w_freq: 641 - 173 | wiki_freq: 8827 - 640 | sentence_idx: 756882 | align_1: 1-1 | align_2: 2-5 |    But guess who drives fast in this area ? ||| Aber raten Sie mal , wer in diesem Bereich schnell fährt ? 

Think Denken | w_freq: 618 - 1801 | wiki_freq: 12764 - 11243 | sentence_idx: 756951 | align_1: 0-0 | align_2: 1-4 |    Think Los Angeles at rush hour is bad ? ||| Denken Sie , dass Los Angeles während der Rush Hour ist schlecht ? 

Musa Moses | w_freq: 141 - 860 | wiki_freq: 11287 - 8409 | sentence_idx: 757473 | align_1: 0-0 | align_2: 1-5 |    Musa and the knowledgeable man ||| Moses ( a.s . ) und der gelehrte 

Remember Denken | w_freq: 1149 - 1801 | wiki_freq: 9753 - 11243 | sentence_idx: 758363 | align_1: 0-0 | align_2: 1-4 |    Remember that most relationship difficulties are due to a dynamic between two people rather than one person being unilaterally “ bad . ” ||| Denken Sie daran , dass die meisten Beziehungsschwierigkeiten auf eine Dynamik zwischen zwei Personen zurückzuführen sind , anstatt dass eine Person einseitig " schlecht " ist . 

podestà podestà | w_freq: 1 - 2 | wiki_freq: 517 - 28 | sentence_idx: 759579 | align_1: 15-13 | align_2: 16-19 |    The citizens , in order to protect their liberties , were obliged to elect a podestà . ||| Die Bürger , um ihre Freiheiten zu schützen , waren verpflichtet , einen podestà ( podestà ) zu wählen . 

knocks Schläge | w_freq: 9 - 31 | wiki_freq: 6193 - 2584 | sentence_idx: 760549 | align_1: 12-13 | align_2: 13-18 |    For those who still avoid change , it will bring numerous hard knocks until we respond to the Wake Up Calls . ||| Für diejenigen , die immer noch Veränderungen vermeiden , wird er zahlreiche harte Schläge mit sich bringen , bis wir auf die Weckrufe reagieren . 

Recall Erinnern | w_freq: 40 - 201 | wiki_freq: 2267 - 488 | sentence_idx: 761041 | align_1: 3-3 | align_2: 4-8 |    [ 13 ] Recall Francis speaking to the International Union of Superiors General of Woman Religious about how much can change in 50 years . ||| [ 13 ] Erinnern wir uns , dass Franziskus vor der Internationalen Union der Generaloberinnen von Frauenreligionen darüber sprach , wie viel sich in 50 Jahren ändern kann . 

blessings segnungen | w_freq: 202 - 9 | wiki_freq: 5565 - 0 | sentence_idx: 761259 | align_1: 6-5 | align_2: 7-10 |    And I decided to count the blessings I have today . ||| Und ich beschloss , die segnungen zu zählen , die ich heute habe . 

millennials Millennials | w_freq: 129 - 210 | wiki_freq: 944 - 44 | sentence_idx: 761470 | align_1: 5-5 | align_2: 6-9 |    There are so many hungry millennials striving to be a part of something bigger than themselves . ||| Es gibt so viele hungrige Millennials , die danach streben , Teil von etwas zu sein , das größer ist als sie selbst . 

bulletins Bulletins | w_freq: 4 - 1 | wiki_freq: 4547 - 227 | sentence_idx: 761988 | align_1: 8-6 | align_2: 9-11 |    It would be absurd to do by costly bulletins what is being done already without any expense . ||| Es wäre absurd , durch kostspielige Bulletins erreichen zu wollen , was bereits ohne Kosten erreicht wird . 

Puccini Puccini | w_freq: 5 - 6 | wiki_freq: 4010 - 1080 | sentence_idx: 762265 | align_1: 8-7 | align_2: 9-12 |    But , uh , who could help singing Puccini ? ||| Aber , uh , wer konnte singendem Puccini ( Puccini ) helfen ? 

Remember Denken | w_freq: 1149 - 1801 | wiki_freq: 9753 - 11243 | sentence_idx: 763027 | align_1: 0-0 | align_2: 1-4 |    Remember that you always have the final say on the meaning of your dream . ||| Denken sie daran , dass sie immer das letzte wort über die bedeutung ihres traums haben . 

Remember Denken | w_freq: 1149 - 1801 | wiki_freq: 9753 - 11243 | sentence_idx: 763119 | align_1: 0-0 | align_2: 1-4 |    Remember that most people you 'll encounter in the street are not from the tourism industry and are probably on their way to or from work or business . ||| Denken Sie daran , dass die meisten Menschen , die Ihnen auf der Straße begegnen nicht von der Tourismus-Branche sind und sind wahrscheinlich auf dem Weg zu oder von der Arbeit oder Geschäft . 

Remember Denken | w_freq: 1149 - 1801 | wiki_freq: 9753 - 11243 | sentence_idx: 763657 | align_1: 0-0 | align_2: 1-4 |    Remember that it is n't easy for many people to accept help , so do it in a tactful manner . ||| Denken Sie daran , dass es für viele Menschen nicht einfach ist , Hilfe anzunehmen , also tun Sie es auf taktvolle Weise . 

Faces Gesichter | w_freq: 40 - 261 | wiki_freq: 6888 - 2904 | sentence_idx: 764660 | align_1: 3-3 | align_2: 4-7 |    See the Famous Faces That Battled Alcoholism » ||| Seht die berühmten Gesichter von Menschen , die Alkoholismus bekämpft haben » 

thee dich | w_freq: 250 - 7358 | wiki_freq: 3298 - 8215 | sentence_idx: 764871 | align_1: 3-2 | align_2: 4-9 |    I have formed thee , thou art my servant , O Israel , forget me not . ||| Ich habe dich gebildet [ nicht du mich ] , du bist mein Knecht ; Israel , du wirst nicht von mir vergessen werden . 

Remember Denken | w_freq: 1149 - 1801 | wiki_freq: 9753 - 11243 | sentence_idx: 766995 | align_1: 0-0 | align_2: 1-4 |    Remember that the time is always a bonus and no one likes a cold plate ! ||| Denken Sie daran , dass die Zeit immer einen Bonus und niemand eine kalte Platte mag ! 

surprisingly überrascht | w_freq: 320 - 1141 | wiki_freq: 13196 - 6416 | sentence_idx: 768889 | align_1: 1-1 | align_2: 2-6 |    Not surprisingly this reflects a key Israeli position on the Middle East as well . ||| Es überrascht nicht , dass sich darin auch eine wichtige israelische Position zum Mittleren Osten widerspiegelt . 

Remember Denke | w_freq: 1149 - 190 | wiki_freq: 9753 - 112 | sentence_idx: 768967 | align_1: 0-0 | align_2: 1-4 |    Remember that the DNA has a “ lock ” that can only be accessed with higher consciousness so that the mistakes of Atlantis do not repeat . ||| Denke bitte daran , dass die DNA ein " Schloss " hat , auf das nur mit höherem Bewusstsein zugegriffen werden kann , damit sich die Fehler von Atlantis nicht wiederholen . 

Remember Denken | w_freq: 1149 - 1801 | wiki_freq: 9753 - 11243 | sentence_idx: 769770 | align_1: 0-0 | align_2: 1-4 |    Remember how I said that a single panel in the shade can affect the efficiency of your entire system ? ||| Denken Sie daran , wie ich sagte , dass ein einziges Panel im Schatten kann die Effizienz des gesamten Systems auswirken ? 

disobeyed lügt | w_freq: 7 - 155 | wiki_freq: 1364 - 519 | sentence_idx: 770591 | align_1: 4-4 | align_2: 5-8 |    But he denied and disobeyed , ||| Er verneint – und lügt ( strenggenommen ) . 

Advertisement Steak-Werbung | w_freq: 5 - 1 | wiki_freq: 549 - 0 | sentence_idx: 774340 | align_1: 9-8 | align_2: 10-12 |    Michael Jordan Awarded $ 8.9 Million For A Steak Advertisement He Did n't Even Know He Was In ||| Michael Jordan erhielt $ 8,9 Millionen für eine Steak-Werbung , von der er nicht einmal wusste , dass er drin war 

openness offenheit | w_freq: 204 - 15 | wiki_freq: 4795 - 0 | sentence_idx: 774752 | align_1: 27-26 | align_2: 28-30 |    Google 's services work well for me , they 're well integrated , I love Android , but Android is no longer the bastion of freedom and openness I 'd hoped for . ||| Googles dienste funktionieren gut für mich , sie sind gut integriert , ich liebe android , aber android ist nicht länger die bastion der freiheit und offenheit , auf die ich gehofft hatte . 

Think Denken | w_freq: 618 - 1801 | wiki_freq: 12764 - 11243 | sentence_idx: 778347 | align_1: 0-0 | align_2: 1-5 |    Think of who you would rather buy a product from – for anything else – then consider your options on SSL providers . ||| Denken Sie darüber nach , von wem Sie lieber ein Produkt kaufen würden - für alles andere - und überlegen Sie sich Ihre Optionen bei SSL-Anbietern . 

Avoid Vermeide | w_freq: 250 - 35 | wiki_freq: 689 - 4 | sentence_idx: 778355 | align_1: 0-0 | align_2: 1-5 |    Avoid forming or supporting groups that vote or comment together . ||| Vermeide es , gruppen zu bilden oder zu unterstützen , die zusammen abstimmen oder kommentieren . 

parcels Parzellen | w_freq: 12 - 5 | wiki_freq: 7035 - 2593 | sentence_idx: 779212 | align_1: 4-5 | align_2: 5-9 |    They ’re even on parcels owned by Residents ! ||| Sie befinden sich sogar auf Parzellen , die im Besitz von Einwohnern sind ! 

atrocities Gräueltaten | w_freq: 87 - 57 | wiki_freq: 9249 - 1093 | sentence_idx: 779543 | align_1: 10-9 | align_2: 11-14 |    He was confident in our strength to face the worst atrocities our enemies had to offer — and surmount them with courage and determination . ||| Er war zuversichtlich in unserer Kraft , den schlimmsten Gräueltaten zu begegnen , die unsere Feinde zu bieten hatten – und sie mit Mut und Entschlossenheit zu überwinden . 

WHO WHO | w_freq: 220 - 176 | wiki_freq: 13165 - 3801 | sentence_idx: 780628 | align_1: 1-1 | align_2: 2-5 |    The WHO estimates 83 million of us will be affected to some degree . ||| Die WHO ( Weltgesundheitsorganisation ) schätzt , dass 83 Millionen von uns bis zu einem gewissen Grad betroffen sein werden . 

announce mitteilen | w_freq: 318 - 202 | wiki_freq: 14722 - 1383 | sentence_idx: 780778 | align_1: 4-5 | align_2: 5-9 |    We are proud to announce that our company has signed the joint declaration of the German games industry for more diversity in the workplace . ||| Wir sind stolz , euch mitteilen zu können , dass unser Unternehmen die gemeinsame Erklärung der deutschen Games-Branche für mehr Diversität am Arbeitsplatz unterzeichnet hat . 

cracker cracker | w_freq: 5 - 4 | wiki_freq: 1242 - 4 | sentence_idx: 781585 | align_1: 23-26 | align_2: 24-31 |    I would be embarrassed if we could n’t point to one Colin Ferguson that decided one day to … just kill every goddamn cracker that he saw . ” ||| Es wäre mir peinlich , wenn wir eines Tages nicht auf jenen Colin Ferguson zeigen könnten , der beschloß , … einfach jeden gottverdammten Keks ( cracker ) zu töten , den er sah . “ 

babies Babys | w_freq: 490 - 612 | wiki_freq: 11966 - 1665 | sentence_idx: 781992 | align_1: 6-5 | align_2: 7-9 |    A civilised nation does not kill babies waiting to be born . ||| Eine zivilisierte Nation tötet keine Babys , die darauf warten , geboren zu werden . 

amazed wundere | w_freq: 163 - 17 | wiki_freq: 3028 - 59 | sentence_idx: 782127 | align_1: 3-1 | align_2: 4-7 |    I am still amazed the BND has allowed us to renovate their agency . ||| Ich wundere mich immer noch , dass der BND uns erlaubt hat seine Behörde zu renovieren . 

Ensures sorgt | w_freq: 2 - 208 | wiki_freq: 26 - 11101 | sentence_idx: 784616 | align_1: 4-2 | align_2: 5-6 |    New K9 Body Armor Ensures Military Dogs Have The Same Protection As Military Humans ||| Neue K9-Körperrüstung sorgt dafür , dass Militärhunde den gleichen Schutz wie Militärmenschen haben 

adjustments Anpassungen | w_freq: 165 - 210 | wiki_freq: 8016 - 3733 | sentence_idx: 785187 | align_1: 6-5 | align_2: 7-10 |    However , do not make major adjustments unless you are absolutely certain about the alternative and how it fits into your original scheme . ||| Nehmen Sie jedoch keine größeren Anpassungen vor , es sei denn , Sie sind sich absolut sicher über die Alternative und wie diese in Ihr ursprüngliches Schema passt . 

FP7 7RP | w_freq: 11 - 1 | wiki_freq: 279 - 0 | sentence_idx: 786656 | align_1: 1-1 | align_2: 2-5 |    The FP7 project STADIUM ( Smart Transport Applications Designed for large events with Impacts on Urban Mobility ) recently finished . ||| Das 7RP ( Rahmenprogramm ) Projekt STADIUM , ( Smart Transport Applications Designed for large events with Impacts on Urban Mobility ) ist erst kürzlich ausgelaufen . 

Remember Denken | w_freq: 1149 - 1801 | wiki_freq: 9753 - 11243 | sentence_idx: 786678 | align_1: 0-0 | align_2: 1-4 |    Remember that any man or woman you date most likely does n’t have that perfect body , either . ||| Denken sie daran , dass jeder mann oder jede frau , die sie am wahrscheinlichsten treffen , diesen perfekten körper auch nicht hat . 

Registrar Registrar | w_freq: 2 - 7 | wiki_freq: 4335 - 249 | sentence_idx: 787017 | align_1: 16-12 | align_2: 17-16 |    And why has the column of ‘ Other Effects of Vaccination ’ been deleted from the Registrar General ’s Returns ? ||| Und warum wurde die Kolumne " Andere Wirkungen von Impfungen " im Registrar [ Standesbeamter ] General ´ s Returns [ ? ] gelöscht ? 

Returns Returns | w_freq: 20 - 8 | wiki_freq: 5367 - 473 | sentence_idx: 787017 | align_1: 19-19 | align_2: 20-24 |    And why has the column of ‘ Other Effects of Vaccination ’ been deleted from the Registrar General ’s Returns ? ||| Und warum wurde die Kolumne " Andere Wirkungen von Impfungen " im Registrar [ Standesbeamter ] General ´ s Returns [ ? ] gelöscht ? 

announce mitteilen | w_freq: 318 - 202 | wiki_freq: 14722 - 1383 | sentence_idx: 787277 | align_1: 4-4 | align_2: 5-8 |    We are pleased to announce that we have renewed the contract with Volkswagen Group Polska for the exclusive logistics services in Poland for a period of 3 years . ||| Wir freuen uns , mitteilen zu können , dass wir den Vertrag mit Volkswagen Group Polska für exklusive logistische Dienstleistungen in Polen für weitere 3 Jahren verlängert haben . 

guess raten | w_freq: 641 - 173 | wiki_freq: 8827 - 640 | sentence_idx: 787451 | align_1: 1-1 | align_2: 2-5 |    And guess who was in too much of a hurry to check and make sure both kids had on their shoes ? ||| Und raten sie mal , wer es zu eilig hatte , um sich zu vergewissern , dass beide kinder ihre schuhe anhatten . 

donors Spendern | w_freq: 213 - 40 | wiki_freq: 14755 - 677 | sentence_idx: 789348 | align_1: 13-9 | align_2: 14-14 |    Our projects are based on a relationship of trust with the public institutional donors that fund them . ||| Unsere Projekte basieren auf einem Vertrauensverhältnis mit den institutionellen Spendern der öffentlichen Hand , die sie finanzieren . 

transgressed übertreten | w_freq: 9 - 11 | wiki_freq: 368 - 441 | sentence_idx: 790421 | align_1: 14-20 | align_2: 15-28 |    “ Ask them concerning the town standing close by the sea ; when they transgressed in the matter of the Sabbath . ||| Und frage sie über die Ortschaft , die an dem Meer bereitet gewesen ist , und als sie den Sabbat übertreten lassen haben , wie ihre Fische scharenweise an ihrem verkündeten Sabbat zu ihnen kamen . 

Remember Erinnern | w_freq: 1149 - 201 | wiki_freq: 9753 - 488 | sentence_idx: 791009 | align_1: 0-0 | align_2: 1-5 |    Remember that Schiller said that art which is not beautiful is not art . ||| Erinnern Sie sich daran , daß Schiller sagte , Kunst , die nicht schön sei , sei auch keine Kunst . 

authority.(38 Vollmacht | w_freq: 1 - 33 | wiki_freq: 0 - 1405 | sentence_idx: 791083 | align_1: 11-17 | align_2: 12-22 |    Then let any of them that has listened bring a clear authority.(38 ) ||| Dann soll doch derjenige von ihnen , der ( auf diese Weise ) zuhört , eine offenkundige Vollmacht ( über seine Zuständigkeit ) beibringen . 

Remember Denken | w_freq: 1149 - 1801 | wiki_freq: 9753 - 11243 | sentence_idx: 791237 | align_1: 2-2 | align_2: 3-6 |    C   —   Remember that they ’re only ever running from their own cognitive dissonance . ||| C – Denken Sie daran , dass sie immer nur vor ihrer eigenen kognitiven Dissonanz laufen . 

doc Doc | w_freq: 25 - 42 | wiki_freq: 587 - 2321 | sentence_idx: 792550 | align_1: 18-17 | align_2: 19-24 |    The doctor ’s job is to deliver the baby ( ship / vessel ) onto the dock / doc . ||| Der Arzt hat die Aufgabe , das Baby ( ship / vessel ) auf das Dock / Doc zu bringen ( engl. deliver ) . 

hath verwarf | w_freq: 120 - 8 | wiki_freq: 2536 - 2029 | sentence_idx: 792613 | align_1: 2-1 | align_2: 3-6 |    and it hath lighted upon Israel . ||| Und verwarf ( wörtl . : verschmähte ) Israel gar . 

Remember Bedenke | w_freq: 1149 - 14 | wiki_freq: 9753 - 41 | sentence_idx: 792770 | align_1: 11-12 | align_2: 12-17 |    On Ash Wednesday , we often hear the words , “ Remember you are dust , and to dust you shall return . ” ||| Wer das Aschekreuz empfängt , hört dazu oft die Worte : „ Bedenke , Mensch , dass du Staub bist und wieder zum Staub zurückkehren wirst . " 

Remember Denken | w_freq: 1149 - 1801 | wiki_freq: 9753 - 11243 | sentence_idx: 793464 | align_1: 0-0 | align_2: 1-5 |    Remember this is a country of over a billion people , so there ’s plenty of women to choose from . ||| Denken sie daran , dass dies ein land mit über einer milliarde menschen ist , also gibt es viele frauen zur auswahl . 

Remember Denken | w_freq: 1149 - 1801 | wiki_freq: 9753 - 11243 | sentence_idx: 794430 | align_1: 0-0 | align_2: 1-4 |    Remember that your smartwatch is really just an extension of your phone . ||| Denken sie daran , dass ihre smartwatch wirklich nur eine erweiterung ihres telefons ist . 

Remember Denken | w_freq: 1149 - 1801 | wiki_freq: 9753 - 11243 | sentence_idx: 794927 | align_1: 0-0 | align_2: 1-4 |    Remember both IMF and the World Bank are controlled by the United States ( Rothschild ) . ||| Denken Sie daran , sowohl der IWF als auch die Weltbank werden von den USA ( Rothschild ) kontrolliert . 

Dinka Dinka | w_freq: 2 - 2 | wiki_freq: 1087 - 294 | sentence_idx: 795195 | align_1: 4-4 | align_2: 5-9 |    This convinced the Ngok Dinka that protection by the international community is not guaranteed . ||| Dies brachte die Ngok Dinka zu der Überzeugung , dass ein Schutz durch die internationale Gemeinschaft nicht gewährleistet ist . 

Thinking Denken | w_freq: 88 - 1801 | wiki_freq: 7277 - 11243 | sentence_idx: 796406 | align_1: 2-2 | align_2: 3-6 |    1 - Thinking you did not work and giving up ||| 1 - Denken Sie , dass Sie nicht gearbeitet haben und aufgeben 

monopolists Monopolisten | w_freq: 1 - 3 | wiki_freq: 143 - 195 | sentence_idx: 796597 | align_1: 11-11 | align_2: 12-16 |    However , there are other possibilities such as interoperability that force monopolists to open up . ||| Es gibt aber auch andere Möglichkeiten wie Interoperabilität , wodurch die Monopolisten gezwungen werden , sich zu öffnen . 

Remember Denken | w_freq: 1149 - 1801 | wiki_freq: 9753 - 11243 | sentence_idx: 796693 | align_1: 0-0 | align_2: 1-4 |    Remember when talking to children about the divorce to keep things in a developmental context . ||| Denken Sie daran , wenn Sie mit Kindern über die Scheidung sprechen , um die Dinge in einem Entwicklungskontext zu halten . 

conservatives Konservativen | w_freq: 96 - 91 | wiki_freq: 9282 - 5857 | sentence_idx: 797837 | align_1: 10-11 | align_2: 11-16 |    Well , first let ’s consider what it is about conservatives that presents a threat to the globalists … ||| Nun , lasst uns zuerst darüber sprechen , was es mit Konservativen auf sich hat , sodass sie eine Bedrohung für die Globalisten darstellen … 

correction Korrektur | w_freq: 248 - 253 | wiki_freq: 10453 - 2811 | sentence_idx: 798574 | align_1: 14-14 | align_2: 15-18 |    If yes , then you can study Kabbalah , because this is the only correction Kabbalah makes to a person . ||| Wenn ja , dann können Sie Kabbala studieren , denn dies ist die einzige Korrektur , welche die Kabbala an einem Menschen vollzieht . 

Donner dick | w_freq: 4 - 46 | wiki_freq: 3203 - 7784 | sentence_idx: 799145 | align_1: 9-6 | align_2: 10-11 |    You might want to drop a line to Dick Donner because he turns 88 today . ||| Vielleicht möchten sie eine zeile zu dick donner fallen lassen , weil er 88 jahre alt heute . 

wonder frage | w_freq: 1132 - 1000 | wiki_freq: 10438 - 380 | sentence_idx: 799153 | align_1: 4-3 | align_2: 5-9 |    In such moments I wonder what it is like for my parents , sister or the rest of the family if they hear this name somewhere … ‘ ||| In solchen Momenten frage ich mich dann auch , wie das wohl für meine Eltern , Schwester oder den Rest der Familie ist , wenn sie irgendwo diesen Namen hören … ” 

intimacy intimität | w_freq: 189 - 74 | wiki_freq: 5190 - 0 | sentence_idx: 799973 | align_1: 11-11 | align_2: 12-15 |    And we share a level of honesty , openness , and intimacy most people will never know . ||| Und wir teilen ein gewisses maß an ehrlichkeit , offenheit und intimität , die die meisten menschen niemals erfahren werden . 

’re bedenkt | w_freq: 8004 - 202 | wiki_freq: 11174 - 488 | sentence_idx: 800119 | align_1: 24-26 | align_2: 25-31 |    I asked Linda whether it ’s common for parents to respond as thoroughly and publicly as Jonathan and Michelle have , especially considering they ’re still feeling the immediate impact of the abuse . ||| Ich fragte Linda , ob es üblich ist , dass Eltern so gründlich und öffentlich antworten wie Jonathan und Michelle , vor allem , wenn man bedenkt , dass sie immer noch die unmittelbaren Auswirkungen des Missbrauchs spüren . 

jewelers Juwelieren | w_freq: 5 - 3 | wiki_freq: 664 - 95 | sentence_idx: 800432 | align_1: 7-7 | align_2: 8-11 |    He walked around town to all the jewelers he could remember . ||| Er ging durch die Stadt zu allen Juwelieren , an die er sich erinnern konnte . 

transmissions Übertragungen | w_freq: 21 - 18 | wiki_freq: 9863 - 1730 | sentence_idx: 800804 | align_1: 17-18 | align_2: 18-23 |    I find it curious that she is telling her current associates that she and I started these transmissions ! ||| Ich finde es interessant , dass sie ihren aktuellen Freunden erzählt hatte , dass sie und ich diese Übertragungen “ begonnen ” hatten ! 

deuteranopic deuteranopic | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 801031 | align_1: 13-13 | align_2: 14-19 |    This image shows a number 44 or 49 , but someone who is deuteranopic may not be able to see it . ||| Dieses Image zeigt eine Nummer 44 oder 49 , aber jemanden , der deuteranopic ( deuteranopia ) ist , kann nicht im Stande sein , es zu sehen . 

thorough gründlich | w_freq: 170 - 170 | wiki_freq: 11999 - 2945 | sentence_idx: 801177 | align_1: 8-8 | align_2: 9-12 |    Oh , Christian men and women , be thorough in what you do and know and teach ! ||| Oh , christliche Männer und Frauen , sei gründlich und genauer , in dem was Sie tun , wissen und lehren ! 

charismas Charismen | w_freq: 2 - 1 | wiki_freq: 4 - 49 | sentence_idx: 801187 | align_1: 10-11 | align_2: 11-15 |    The gifts that I am speaking about are not the charismas some people have . ||| Die Gaben , von denen ich spreche , sind nicht die Charismen , die in manchen Personen vorhanden sind . 

cautious vorsichtig | w_freq: 189 - 573 | wiki_freq: 5989 - 2569 | sentence_idx: 801670 | align_1: 18-15 | align_2: 19-19 |    There ’s a little bit of that in cannabis , so on the public side I ’m really cautious about investing . ||| Ein bisschen davon steckt in Cannabis , also bin ich auf der öffentlichen Seite sehr vorsichtig , wenn es ums Investieren geht . 

ambivalence Ambivalenz | w_freq: 26 - 22 | wiki_freq: 1572 - 770 | sentence_idx: 801765 | align_1: 8-8 | align_2: 9-13 |    Moreover , he pointed again to the prevalent ambivalence also shown in the data . ||| Darüber hinaus wies er erneut auf die vorherrschende Ambivalenz hin , die sich auch in den Daten zeigt . 

Remember Denken | w_freq: 1149 - 1801 | wiki_freq: 9753 - 11243 | sentence_idx: 802223 | align_1: 0-0 | align_2: 1-4 |    Remember local women talk all the time . ||| Denken sie daran , lokale frauen reden die ganze zeit . 

Greco Greco | w_freq: 11 - 11 | wiki_freq: 4803 - 1477 | sentence_idx: 802921 | align_1: 7-7 | align_2: 8-12 |    His paintings ( like those of El Greco before him ) were disliked by Philip II and many were painted over . ||| Seine Bilder ( wie diejenigen von El Greco ( El Greco ) vor ihm ) wurden von Philip II nicht geliebt , und viele wurden gemalt . 

freedoms freiheiten | w_freq: 204 - 7 | wiki_freq: 6775 - 1 | sentence_idx: 803151 | align_1: 7-6 | align_2: 8-11 |    For others it has been good experiencing freedoms they would never have had if they had lived as girls . ||| Für andere war es gut , freiheiten zu erfahren , die sie nie gehabt hätten , wenn sie als mädchen gelebt hätten . 

Remember Denken | w_freq: 1149 - 1801 | wiki_freq: 9753 - 11243 | sentence_idx: 804519 | align_1: 0-0 | align_2: 1-4 |    Remember not to be too serious in Thailand as Thai ’s like to have fun in everything they do . ||| Denken Sie daran , nicht zu ernst , als in Thailand Thai ’s gern Spaß haben in alles , was sie tun . 

comrades Genossen | w_freq: 129 - 89 | wiki_freq: 8569 - 1614 | sentence_idx: 805261 | align_1: 4-2 | align_2: 5-8 |    It specifically names two comrades who have “ been expelled from the Fourth International and its French Section for more than a year . ” ||| Besonders zwei Genossen werden mit Namen genannt , die “ von der Vierten Internationale und ihrer französischen Sektion vor mehr als einem Jahr ausgeschlossen worden sind ” . 

