Qi'da Qi'da | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 4806 | align_1: 8-6 | align_2: 9-11 | entity: Zhil Qi'da - none |    Thus Sunday will be the 30th of Zhil Qi'da and Monday the first day of Zhil Hijjah . ||| 因此 ， 星期天 将 是 Zhil Qi'da 的 第30 天 ， 而 星期一 是 Zhil Hijjah 的 第一 天 。 
Ethash Ethash | w_freq: 1 - 1 | wiki_freq: 7 - 8 | sentence_idx: 730177 | align_1: 16-13 | align_2: 17-18 | entity: Ethash - none |    After our own recent survey of hash algorithm candidates , including Equihash , Cuckoo Cycle and Ethash , we concluded that SHA-3 genuinely best serves the needs of capital markets . ||| 在 我们 最近 对 哈希算法 候选者 ( 包括 Equihash 、 Cuckoo Cycle 和 Ethash ) 进行 调查 后 ， 我们 得出 的 结论 是 SHA-3 确实 最 符合 资本 市场 的 需求 。 

Abierta Abierta | w_freq: 3 - 3 | wiki_freq: 120 - 0 | sentence_idx: 731289 | align_1: 13-12 | align_2: 14-18 | entity: Abierta - none |    After the completion of the first stage of the project , called Energia Abierta ( ie “ open energy ” ) , the commission will study the results , and then share them with other companies and government institutions that are part of the energy sector . ||| 在 完成 这个 项目 的 第一 个 阶段 ， 即 “ Energia Abierta ” 或 “ 开放 能源 （ Open Energy ） ” 后 ， 委员会 将 研究 这些 结果 ， 并 与 其他 公司 和 政府 机构 分享 这 一 领域 。 

Niccolo 尼科洛·马基雅 | w_freq: 1 - 1 | wiki_freq: 761 - 8 | sentence_idx: 732949 | align_1: 0-0 | align_2: 1-5 | entity: Niccolo Machiavelli - 尼科洛·马基雅 维利 |    Niccolo Machiavelli ’s 16th Century advice to the prince is based on the principle that the ends justify the means . ||| 尼科洛·马基雅 维利 （ Nic colo Machiavelli ） 对 王子 的 16 世纪 建议 是 基于 这样 的 原则 ， 即 结果 证明 了 手段 的 合理性 。 

Pixelbook Pixelbook | w_freq: 8 - 8 | wiki_freq: 68 - 18 | sentence_idx: 735874 | align_1: 5-5 | align_2: 6-9 | entity: Pixelbook - none |    They decided to call it Pixelbook and set off on their way . ||| 他们 决定 把 它 称为 Pixelbook   ， 并 在 他们 的 路上 出发   。 

Pixelbook Pixelbook | w_freq: 8 - 8 | wiki_freq: 68 - 18 | sentence_idx: 735875 | align_1: 5-5 | align_2: 6-9 | entity: Pixelbook - none |    They decided to call it Pixelbook and set off on their way . ||| 他们 决定 把 它 称为 Pixelbook   ， 并 在 他们 的 路上 出发   。 

Ecton Ecton | w_freq: 1 - 1 | wiki_freq: 205 - 0 | sentence_idx: 737243 | align_1: 13-13 | align_2: 14-18 | entity: Ecton - none |    For people like the Franklins , that generally meant leaving villages such as Ecton that were too tiny to support more than one or two practitioners of each trade and moving to a larger town where they could secure an apprenticeship . ||| 对于 像 Franklins 这样 的 人 来说 ， 这 通常 意味着 离开 像 Ecton 这样 的 村庄 ， 这些 村庄 太 小 了 ， 不 能 支持 每个 行业 的 一两 个 以上 的 从业者 ， 搬到 一个 更 大 的 城镇 ， 在 那里 他们 可以 获得 学徒 学位 。 

Tysheen Tysheen | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 739142 | align_1: 1-3 | align_2: 2-7 | entity: Alan Tysheen - none |    Alan Tysheen Eugene Lassiter is currently charged with three counts of attempted murder for trying to kill the girl , her sister and their seven-year-old brother . ||| 艾伦·泰森 （ Alan Tysheen ） 尤金·拉西特 （ Eugene Lassiter ） 目前 被 控 犯有 三 项 企图 谋杀 罪 ， 企图 杀害 这 名 女孩 ， 她 的 妹妹 和 他们 7岁 的 弟弟 。 

Blockchain 区块链 | w_freq: 141 - 757 | wiki_freq: 588 - 535 | sentence_idx: 740966 | align_1: 7-8 | align_2: 8-13 | entity: Blockchain - none |    In my last blog about Gartner and Blockchain I mentioned the importance of the role of CIOs . ||| 在 我 上 一 篇 关于 Gartner 和 区块链 的 博客 中 ， 我 提到 了 cio 角色 的 重要性 。 

Joey+Rory 乔伊+罗利 | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 758561 | align_1: 7-7 | align_2: 7-13 | entity: Joey+Rory - 乔伊+罗利 |    “ If I Needed You ” – Joey+Rory ||| 《 If I Needed You 》 – 乔伊+罗利 （ 英语 ： Joey + Rory ） 

Anuga Anuga | w_freq: 3 - 3 | wiki_freq: 32 - 0 | sentence_idx: 761418 | align_1: 8-5 | align_2: 9-11 | entity: Anuga - none |    * Final of the professional cooking competition “ Anuga Chef of the Year ” ||| • 专业 烹饪 竞赛 “ Anuga 年度 厨师 大赛 ( Anuga Chef of the Year ) ” 决赛 

Alif 艾列弗 | w_freq: 1 - 2 | wiki_freq: 763 - 0 | sentence_idx: 761634 | align_1: 0-0 | align_2: 1-4 | entity: none - 艾列弗 |    Alif by alif , ||| 艾列弗 ， 俩 目 ， 米目 ， 萨德 。 

alif 艾列弗 | w_freq: 1 - 2 | wiki_freq: 173 - 0 | sentence_idx: 761634 | align_1: 2-0 | align_2: 3-8 | entity: none - 艾列弗 |    Alif by alif , ||| 艾列弗 ， 俩 目 ， 米目 ， 萨德 。 

Spiekermann Spiekermann | w_freq: 1 - 1 | wiki_freq: 83 - 0 | sentence_idx: 767162 | align_1: 20-16 | align_2: 21-25 | entity: Erik Spiekermann - Erik Spiekermann |    At the outset , AT&T had wanted to set the phone books in Helvetica , but as my friend Erik Spiekermann said in the Helvetica movie , if you 've seen that , the letters in Helvetica were designed to be as similar to one another as possible . ||| 起初 ， AT&T 公司 想 在 电话簿 中用 Helvetica 字体 ， 但 正如 我 朋友 Erik Spiekermann 在 电影 《 传奇 字体 》 中 所 说 ， 如果 你 看 过 的话 ， Helvetica 字体 的 字母 被 设计 得 彼此 尽可能 相似 。 

Apron Apron | w_freq: 1 - 1 | wiki_freq: 301 - 8 | sentence_idx: 768121 | align_1: 7-7 | align_2: 8-11 | entity: Blue Apron - none |    We have cooked more than 100 Blue Apron meals without killing each other . ||| 我们 用 蓝 围裙 服务 ( Blue Apron ) 外送 的 配菜 做 了 100多 顿 饭 ， 还 没有 把 对方 杀掉 。 

Non-OECD 非经合 | w_freq: 1 - 4 | wiki_freq: 2 - 3 | sentence_idx: 769816 | align_1: 28-18 | align_2: 29-23 | entity: Non-OECD Asia - 非经合 组织 |    This trend is accelerating , with the largest projected growth in energy demand from buildings in the next decade coming from new residential construction in warm climates in Non-OECD Asia . ||| 这 一 趋势 正在 加速 ， 预计 未来 10年 建筑 能源 需求 的 最 大 增长 将 来自 非经合 组织 ( oecd ) 亚洲 地区 温暖 气候 下 的 新 住宅 建设 。 

Allaah 安拉 | w_freq: 53 - 159 | wiki_freq: 28 - 280 | sentence_idx: 775962 | align_1: 1-4 | align_2: 2-9 | entity: Allaah - 安拉 |    And Allaah is the Guide to the Straight Path . ||| 顺服 安拉 ： “ 安拉 的 引导 ， 才 是 正导 。 

Grabar-Kitarovic 科琳达·格拉巴尔－ | w_freq: 3 - 1 | wiki_freq: 11 - 0 | sentence_idx: 786300 | align_1: 6-5 | align_2: 7-10 | entity: Kolinda Grabar-Kitarovic - 科琳达·格拉巴尔－ 基塔罗维奇 |    That ’s why Croatian President Kolinda Grabar-Kitarovic is the only national leader at the World Cup to wear the national colors and make a convincing show of supporting the team rather than carrying out a diplomatic function . ||| 这就 是 为什么 克罗地亚 总统 科琳达·格拉巴尔－ 基塔罗维奇 ( KolindaGrabar-Kitarovic ) 是 唯一 一 位 身着 国旗色 服装 观看 世界杯 比赛 ， 令人信服 地 展示 对 国家队 的 支持 ， 而 非 去 履行 外交 职能 的 国家 领导人 。 

Bellerive 贝勒里夫 | w_freq: 1 - 1 | wiki_freq: 613 - 3 | sentence_idx: 787129 | align_1: 3-3 | align_2: 4-8 | entity: Bellerive - 贝勒里夫 |    They tore up Bellerive because it was soft , and they could stuff every iron shot in there . ||| 他们 撕碎 了 贝勒里夫    ， 因为 它 很 软   ， 他们 可以 把 里面 的 每 一 颗 铁子弹 都 塞 满   。 

Chairman—"The ”” | w_freq: 1 - 3745 | wiki_freq: 0 - 60 | sentence_idx: 788738 | align_1: 1-0 | align_2: 2-5 | entity: none - ”” |    The Chairman—"The Committee will—when it desires to know . " ||| ”” 会议 主席 —— ” 委员会 将 —— 当 它 想 知道 。 

Vaisnavas—we 佛心�媕Y | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 794043 | align_1: 2-2 | align_2: 3-7 | entity: Vaisnavas—we - none |    We are Vaisnavas—we are the followers of Visnu . ||| 我们 是 佛心�媕Y 的 众生 ， 佛 是 我们 众生 心� 媕Y 的 佛 。 

Tepuhui 匡威 | w_freq: 1 - 1 | wiki_freq: 0 - 119 | sentence_idx: 794294 | align_1: 0-0 | align_2: 1-4 | entity: Tepuhui - 匡威 （ Converse |    Tepuhui will do its utmost to provide value-added services to our visitors , it may therefore link to a website managed by a third party . ||| 匡威 （ Converse ） 将 尽 全力 向 我们 的 访客 提供 增值 服务 ， 因此 可能 会 链接 至 由 第三方 管理 的 网站 。 

Samay Samay | w_freq: 5 - 10 | wiki_freq: 299 - 0 | sentence_idx: 799915 | align_1: 3-5 | align_2: 4-12 | entity: Soluna Samay - none |    Denmark English Soluna Samay " Should 've Known Better " — 9 63 ||| 13 丹麦 英语 6 Soluna Samay （ 英语 ： Soluna Samay ） " Should've Known Better （ 英语 ： Should've Known Better ） " — 9 63 

Lemo 雷莫 | w_freq: 1 - 1 | wiki_freq: 71 - 37 | sentence_idx: 802107 | align_1: 2-7 | align_2: 3-13 | entity: Lemo - 雷莫 |    Since 2005 Lemo is certified Green Partner . ||| 自 2005年 以来    ， 雷莫 （ LEMO ） 就 已经 被 认证 为 绿色 合作 伙伴 

Lemo LEMO | w_freq: 1 - 1 | wiki_freq: 71 - 1 | sentence_idx: 802107 | align_1: 2-9 | align_2: 3-13 | entity: Lemo - none |    Since 2005 Lemo is certified Green Partner . ||| 自 2005年 以来    ， 雷莫 （ LEMO ） 就 已经 被 认证 为 绿色 合作 伙伴 

Swatch Swatch | w_freq: 13 - 9 | wiki_freq: 661 - 51 | sentence_idx: 808059 | align_1: 3-2 | align_2: 4-6 | entity: Swatch Internet - none |    What is the Swatch Internet time Function ? ||| 什么 是 Swatch 因特网 时间 ( Internet time ) 功能 ？ 

Al-fal-fa 死报 | w_freq: 1 - 5 | wiki_freq: 0 - 10 | sentence_idx: 812736 | align_1: 10-10 | align_2: 11-15 | entity: Al-fal-fa - none |    And I swear it sounds like he says , " Al-fal-fa . " ||| 嵩泣 对 曰 ： 蒙 将 军恩 ， 誓 以 死报 ， 况 捶 楚乎 。 

Sadhguru Sadhguru | w_freq: 13 - 7 | wiki_freq: 43 - 0 | sentence_idx: 813745 | align_1: 0-0 | align_2: 1-4 | entity: Sadhguru - none |    Sadhguru : This wonder gadget that you are carrying in your pocket – a fork – is also part of the crime . ||| Sadhguru （ 萨古鲁 ） : 你 随身 携带 的 这个 神奇 小 玩意 —— 叉子 —— 也 是 犯罪 的 一部分 。 

Lipovan 黎浩 | w_freq: 1 - 1 | wiki_freq: 48 - 0 | sentence_idx: 816601 | align_1: 3-6 | align_2: 4-13 | entity: Lipovan - 黎浩 一 |    ( Except for Lipovan , which has a life of its own that is well beyond reason ;) ||| 剧 中 周 惟惟 的 男友 黎浩 一 （ 孙 其君 饰 ） ， 是 个 人生 计划 狂 。 

HomePompeii 庞贝城 | w_freq: 1 - 2 | wiki_freq: 0 - 55 | sentence_idx: 818192 | align_1: 0-0 | align_2: 1-9 | entity: none - 庞贝城 |    HomePompeii : The Mystery of the People Frozen in Time ||| 庞贝城 ： 困在 时间 之中 的 神秘 居民 Pompeii - The Mystery of the People Frozen in Time 

Instance—TGI Instance | w_freq: 1 - 1 | wiki_freq: 0 - 27 | sentence_idx: 818450 | align_1: 13-13 | align_2: 14-22 | entity: Tribunaux de Grande Instance—TGI - none |    Until June 2008 , there were 10 specialised courts ( Tribunaux de Grande Instance—TGI ) that dealt with actions involving patent infringement and the related issue of unfair competition . ||| 截止 2008年 六月 ， 有 10 个 专门 法院 （ Tribunaux de Grande Instance - TGI ， 属于 普通 法院 体系 ） ） 处理 涉及 专利 侵权 和 与 不 正当 竞争 相关 事务 的 案件 。 

Instance—TGI TGI | w_freq: 1 - 1 | wiki_freq: 0 - 4 | sentence_idx: 818450 | align_1: 13-15 | align_2: 14-22 | entity: Tribunaux de Grande Instance—TGI - none |    Until June 2008 , there were 10 specialised courts ( Tribunaux de Grande Instance—TGI ) that dealt with actions involving patent infringement and the related issue of unfair competition . ||| 截止 2008年 六月 ， 有 10 个 专门 法院 （ Tribunaux de Grande Instance - TGI ， 属于 普通 法院 体系 ） ） 处理 涉及 专利 侵权 和 与 不 正当 竞争 相关 事务 的 案件 。 

Tabua Tabua | w_freq: 1 - 2 | wiki_freq: 75 - 1 | sentence_idx: 819270 | align_1: 11-15 | align_2: 12-19 | entity: Tabua Club - none |    " Fiji Airways " , " Fiji Holidays " and " Tabua Club " are trademarks of Air Pacific Ltd. ||| “ 斐济 航空 ( Fiji Airways ) ” 、 “ Fiji Holidays ” 以及 “ Tabua 俱乐部 ( Tabua Club ) ” 为 太平洋 航空 公司 ( Air Pacific Ltd . ) 的 商标 。 

RPG.net rpg.net | w_freq: 1 - 1 | wiki_freq: 11 - 0 | sentence_idx: 824191 | align_1: 5-4 | align_2: 6-9 | entity: RPG.net - none |    You can still post on RPG.net even if you do in fact support the administration — you just ca n’t talk about it here . ||| 你 仍然 可以 在 rpg.net 上 发表 文章 ， 即使 你 确实 支持 管理 —— 你 不 能 在 这里 谈论 它 。 

Roudný Roudny | w_freq: 1 - 1 | wiki_freq: 7 - 0 | sentence_idx: 826529 | align_1: 16-15 | align_2: 17-22 | entity: Michal Roudný - Roudny |    The company has been using this DataMan system for two years now and according to Michal Roudný in full satisfaction . ||| 该 公司 使用 此 DataMan 系统 迄今 已 有 两 年 时间 ， 据 Michal Roudny 报告 ， 他们 对 该 系统 非常 满意 。 

Jamies 杰米斯 | w_freq: 1 - 1 | wiki_freq: 32 - 0 | sentence_idx: 828238 | align_1: 15-11 | align_2: 16-17 | entity: Jamies - 杰米斯 |    " As a child , I felt bad for all the Taylor , Jordan and Jamies I knew whose names did n't identify their sex . ||| “ 作为 一个 孩子 ， 我 觉得 泰勒 ， 乔丹 和 杰米斯 都 觉得 不 好 ， 我 知道 他 的 名字 并不 能 说明 他们 的 性别 。 

Pogo-sticks 介甫 | w_freq: 1 - 1 | wiki_freq: 0 - 19 | sentence_idx: 828529 | align_1: 1-3 | align_2: 2-11 | entity: none - 介甫 |    Or Pogo-sticks , if you equate the N2 cushioning insert with bounciness . ||| 或 云 ： 介甫 说 以 一 守 ， 以 中行 ， 只 为 要事 分作 两 处 。 

BPAS BPA | w_freq: 2 - 40 | wiki_freq: 57 - 50 | sentence_idx: 829008 | align_1: 11-14 | align_2: 12-19 | entity: BPAS - none |    Not-for-profit crisis pregnancy counselling centres will be excluded because , unlike BPAS they do not receive huge tranches of tax-payers money . ||| 非 营利性 危机 怀孕 咨询 中心 将 被 排除 在外 ， 因为 ， 与 BPA 不同 的 是 ， 他们 没有 收到 大量 纳税人 的 钱 。 

ASFOs ASFO | w_freq: 1 - 2 | wiki_freq: 0 - 0 | sentence_idx: 829356 | align_1: 20-32 | align_2: 21-36 | entity: ASFOs - none |    Some technology firms may fill this gap by utilizing their capacity , or some of traditional shipowners may transform to ASFOs to take advantage of being " first mover . " ||| 一些 技术 公司 可能 会 利用 自己    的 能力 来 填补 这 一 空白    ， 或者 一些 传统   的 船东 可能 会 转型 为 ASFO   ， 以 充分 利用 “ 先发制人 ”    的 优势    。 

Tcl Tcl | w_freq: 5 - 5 | wiki_freq: 426 - 65 | sentence_idx: 832603 | align_1: 4-4 | align_2: 5-8 | entity: Tcl - none |    When I started on Tcl I assumed that no-one besides myself would care about an embeddable command language , but I was wrong . ||| 在 我 开始 做 Tcl 的 时候 ， 我 猜想 除了 我 没有 人 会 想要 可 嵌入式 的 命令 语言 ， 但是 我 错 了 。 

DF-ZF ZF | w_freq: 3 - 15 | wiki_freq: 26 - 409 | sentence_idx: 838422 | align_1: 12-12 | align_2: 13-17 | entity: DF-ZF - none |    Therefore , it is likely China will continue frequent testing of the DF-ZF as a display of its military ’s power and advancement . ||| ” 因此  ， 中国 将 会 继续 频繁 进行 DF - ZF 飞行器 试验  ， 作为 其 军事 实力 和 进步 的 一 种 展示  。 

Eyad Eyad | w_freq: 1 - 1 | wiki_freq: 114 - 2 | sentence_idx: 840972 | align_1: 5-3 | align_2: 6-8 | entity: Eyad - Salam 和 Eyad |    Young people like Salam and Eyad are trying to teach us what peace is , what life is , what trust is , and what love is . ||| 像 Salam 和 Eyad 这样 的 青年 ， 正 努力 教会 我们 什么 是 和平 ， 什么 是 生活 ， 什么 是 信任 与 爱人 。 

guildhall 盖德霍尔 | w_freq: 1 - 1 | wiki_freq: 524 - 0 | sentence_idx: 844401 | align_1: 17-21 | align_2: 18-26 | entity: none - 伦敦 盖德霍尔 音乐 学校 |    This did n't lead to prison , but rather to her entrance one year later to the guildhall school of music in london . ||| 不过 这个 举动 并 没有 令 她 遭受 牢狱 之 灾 ， 反而 使 她 在 一 年后 获得 进入 伦敦 盖德霍尔 音乐 学校 （ Guildhall School of Music ） 就读 的 机会 。 

I&apos;ll 罗姆尼 | w_freq: 1 - 33 | wiki_freq: 0 - 87 | sentence_idx: 848330 | align_1: 0-0 | align_2: 1-14 | entity: none - 罗姆尼 |    I&apos;ll restore the vitality that gets America working again . " ||| 罗姆尼 说 他 要 恢复 美国人 工作 的 生命力 、 活力 ： 「 I’ll restore the vitality that gets America working again. 」 

Kelman Kelman | w_freq: 2 - 2 | wiki_freq: 944 - 1 | sentence_idx: 851090 | align_1: 2-4 | align_2: 3-12 | entity: James Kelman - none |    1994- James Kelman ( How Late It Was , How Late ) ||| 1994 詹姆斯·科尔曼 （ James Kelman ） 晚 了 ， 太 晚 了 （ How Late It Was , How Late ） 

Duff- Duff | w_freq: 1 - 2 | wiki_freq: 4 - 57 | sentence_idx: 855188 | align_1: 1-1 | align_2: 2-8 | entity: Hilary Duff- - none |    Hilary Duff- Come Clean ||| Hilary Duff （ 希拉利 杜芙 ） — - Come Clean 

chametz chametz | w_freq: 1 - 2 | wiki_freq: 165 - 0 | sentence_idx: 856402 | align_1: 7-9 | align_2: 8-14 | entity: none - chametz |    On all other nights , we eat chametz and matzah . ||| 对 所有 其他 夜 ， 我们 可能 会 吃 chametz 和 matzah ， chametz 和 matzah 。 

SqlConnection SqlConnection | w_freq: 1 - 1 | wiki_freq: 2 - 7 | sentence_idx: 857362 | align_1: 8-8 | align_2: 9-12 | entity: SqlConnection - none |    Likewise , when you " close " a SqlConnection it simply releases the connection back to the pool . ||| 同样 ， 当 你 “ 关闭 ” 一个 SqlConnection 连接 时 ， 它 只是 简单 地 将 连接 放回 连接池 。 

Sadhguru Sadhguru | w_freq: 13 - 7 | wiki_freq: 43 - 0 | sentence_idx: 857743 | align_1: 0-0 | align_2: 1-4 | entity: Sadhguru - none |    Sadhguru : But it is important to know the food that is going to become a part of you . ||| Sadhguru （ 萨古鲁 ） : 但是 知道 食物 会 成为 你 的 一部分 是 很 重要 的 。 

Usaid As-Sa'ib〕 | w_freq: 1 - 1 | wiki_freq: 23 - 0 | sentence_idx: 857926 | align_1: 13-14 | align_2: 14-30 | entity: Usaid - none |    Then the Prophet came out to us and said , “ O Abu Usaid ! ||| 先知 来看 我们 ， 我 （ 对 死者 ） 说 ： 「 阿布．萨伊卜〔A bu As-Sa'ib〕 啊 ， 愿 安拉施 恩予 你 ！ 我 见证 ， 安拉 已经 荣耀 你 了 。 

Saldana Saldana | w_freq: 2 - 2 | wiki_freq: 448 - 3 | sentence_idx: 860897 | align_1: 18-23 | align_2: 19-28 | entity: Zoe Saldana - Zoe Saldana |    But as she boldy confronts her fears in increasingly dangerous ways , her new school counselor ( Zoe Saldana ) leads her to question everything she ’s always believed to be true . ||| 但 当 她 以 越来越 危险 的 方式 勇敢 地 面对 自己 的 恐惧 时 ， 她 的 新 学校 顾问 （ Zoe Saldana ， 银河系 的 守护者 ） 引导 她 去 质疑 她 一直 认为 是 真实 的 一切 。 

Centeno Centeno | w_freq: 1 - 1 | wiki_freq: 454 - 1 | sentence_idx: 866906 | align_1: 3-6 | align_2: 4-12 | entity: Mario Centeno - Mario Centeno |    Eurogroup President Mario Centeno said early Tuesday that " after several months of intense negotiations and a very tough and long meeting we delivered a comprehensive plan to strengthen the euro . " ||| 欧元 集团 主席 马里奥·森特诺 ( Mario Centeno ) 在 12月 4日 早间 称 ， “ 经过 几 个 月 的 紧张 谈判 和 非常 艰苦 的 长期 会晤 ， 我们 提出 了 一 项 加强 欧元 的 全面 计划 。 

Uber—Evolving Uber | w_freq: 1 - 275 | wiki_freq: 0 - 330 | sentence_idx: 869506 | align_1: 0-0 | align_2: 1-9 | entity: Uber—Evolving - none |    Uber—Evolving the Way the World Moves ||| Uber ： 改变 世界 的 移动 模式 ( Evolving the way the world moves ) 

smiled 开笑 | w_freq: 149 - 2 | wiki_freq: 981 - 3 | sentence_idx: 869975 | align_1: 2-1 | align_2: 3-6 | entity: none - 叶 开笑 |    Ye Kai smiled , " Why do n't you sit down , do you fear this chair will bite you ? " ||| 叶 开笑 了 笑 ， 道 ： “ 你 为什么 不 坐 下来 ， 难道 怕 这 椅子 会 咬 人 ？ ” 

OpenAI 伯克利OpenAI | w_freq: 17 - 1 | wiki_freq: 288 - 0 | sentence_idx: 878556 | align_1: 7-5 | align_2: 8-10 | entity: Berkley OpenAI - 伯克利OpenAI 集团 ( Berkley OpenAI group |    But in late 2018 , the Berkley OpenAI group demonstrated that this hurdle may finally succumb to machine learning as well . ||| 但 在 2018年 底 ， 伯克利OpenAI 集团 ( Berkley OpenAI group ) 证明 ， 这 一 障碍 可能 最终 也 会 被 机器 学习 所 克服 。 

Weequahic Weequahic | w_freq: 1 - 1 | wiki_freq: 193 - 0 | sentence_idx: 884776 | align_1: 5-6 | align_2: 6-11 | entity: Camp Weequahic - Camp Weequahic |    We are blessed at Camp Weequahic to have campers from 20 states and 10 countries . ||| 我们 在 维奎 克夏令营 （ Camp Weequahic ） 很 有 福 ， 这里 有 来自 20 个 州 和 10 个 国家 的 宿营者 。 

Oduduwa 奥杜瓦 | w_freq: 1 - 1 | wiki_freq: 306 - 1 | sentence_idx: 886858 | align_1: 5-3 | align_2: 6-8 | entity: Oduduwa - 奥杜瓦 |    My thanks goes to Dr. Oduduwa a Spiritual Healer for giving me the tools and assistance that I needed to save my marriage . ||| 我 要 感谢 奥杜瓦 医生 ， 他 是 一 位 精神 治疗者 ， 为 我 提供 了 挽救 婚姻 所需 的 工具 和 帮助 。 

YUP 鲁头士 | w_freq: 2 - 2 | wiki_freq: 30 - 0 | sentence_idx: 888858 | align_1: 0-2 | align_2: 1-9 | entity: YUP The - none |    YUP The Rutles : All You Need is Cash ||| 1978年 《 鲁头士 ： 你 需要 的 只是 钱 The Rutles : All You Need is Cash 》 

Tempora Tempora | w_freq: 1 - 1 | wiki_freq: 97 - 1 | sentence_idx: 896768 | align_1: 8-6 | align_2: 9-10 | entity: Tempora - none |    In the autumn of 2011 , it launched Tempora as a mainstream programme , shared with the Americans . ||| 2011年 秋天 ， 他们 启动 了 Tempora ， 将 其 作为 一个 主流 项目 ， 并 与 美国人 分享 情报 。 

AAORK AAORK | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 903333 | align_1: 24-21 | align_2: 25-25 | entity: AAORK - none |    If you ca n’t take the time to read similar length profiles by men / women online , then I have to agree with AAORK you ca n’t be all that serious about finding someone . ||| 如果 你 不 愿意 花 时间 在 网上 阅读 类似 长度 的 男性 / 女性 资料 ， 那么 我 不得不 同意 AAORK 的 观点 ， 你 不 可能 那么 认真 地 去 找 一个 人 。 

KRACK KRACK | w_freq: 5 - 5 | wiki_freq: 21 - 6 | sentence_idx: 904879 | align_1: 10-10 | align_2: 11-15 | entity: KRACK - none |    Prevent violent cracking : WPA3 will not be attacked by KRACK because of the Dragonfly protocol . ||| 2 . 防止 暴力 破解 ； WPA3 不 会 受到 KRACK 的 攻击 ， 是 因为 应用 了 Dragonfly 协议 。 

Commandment 万科 | w_freq: 17 - 2 | wiki_freq: 632 - 420 | sentence_idx: 914892 | align_1: 6-2 | align_2: 7-8 | entity: Commandment - 万科 |    Let ’s look at God ’s Commandment , Thou shall not steal . ||| 王 的 万科 ， 朕 不 给 你 ， 你 不 能 抢 ！ 

Toback Toback | w_freq: 3 - 5 | wiki_freq: 220 - 0 | sentence_idx: 916499 | align_1: 6-2 | align_2: 7-13 | entity: James Toback - James Toback |    The screenplay was written by James Toback from Dean Jennings ' 1967 book We Only Kill Each Other . ||| 由 James Toback （ 英语 ： James Toback ） 编剧 ， 研究 资料 来自 1967年 Dean Jennings 的 著作 《 We Only Kill Each Other 》 。 

Balassiano Balassiano | w_freq: 1 - 1 | wiki_freq: 2 - 0 | sentence_idx: 919885 | align_1: 5-6 | align_2: 6-10 | entity: Marcel Balassiano - none |    According to Brazilian economist Marcel Balassiano , pensions for Brazilian civil servants are now about 33,000 yuan per month , which is more than three times the average pension of most ordinary Brazilians . ||| 根据 巴西 经济学家 巴拉希安诺 （ Marcel Balassiano ） 的 说法 ， 巴西 公务员 退休 后 养老金 现在 平均 每月 在 3.3万 人民币 左右 ， 是 大多数 普通 巴西 人 养老金 的 三 倍 以上 。 

Coryton Coryton | w_freq: 1 - 1 | wiki_freq: 332 - 0 | sentence_idx: 920046 | align_1: 4-5 | align_2: 5-10 | entity: Laura Coryton - Laura Coryton |    In 2014 , Laura Coryton started a British petition calling for the abolition of tax on sanitary products . ||| 2014年 ， 劳拉·柯瑞顿 （ Laura Coryton ） 向 英国 政府 发起 了 一 项 请愿 活动 ， 要求 取消 征收 卫生 产品税 。 

Dimon Dimon | w_freq: 4 - 1 | wiki_freq: 427 - 3 | sentence_idx: 922650 | align_1: 3-4 | align_2: 4-8 | entity: Jamie Dimon - none |    According to Jamie Dimon , he did America a favor when he agreed to take bailout money from taxpayers ( and we did n’t even have the decency to thank him ) . ||| 根据 杰米·戴蒙 （ Jamie Dimon ） 的 说法 ， 当 他 同意 从 纳税人 那里 救助 资金 时 ， 他 帮 了 美国 一个 忙 （ 我们 甚至 都 没有 礼貌 地 感谢 他 ） 。 

Belmonts Belmonts | w_freq: 1 - 2 | wiki_freq: 257 - 0 | sentence_idx: 922907 | align_1: 3-3 | align_2: 4-12 | entity: Dion And The Belmonts - none |    Dion And The Belmonts : " I Wonder Why " ||| Dion and the Belmonts （ 英语 ： Dion and the Belmonts ） （ " I Wonder Why （ 英语 ： I Wonder Why ） " ） 

OTW OTW | w_freq: 6 - 8 | wiki_freq: 221 - 1 | sentence_idx: 933051 | align_1: 8-8 | align_2: 9-16 | entity: OTW - OTW ( OTW 再 创作 组织 |    Many of you may be new to the OTW while a few of you have been following our progress since we launched in 2007 . ||| 你们 中 的 许多 人 可能 刚刚 来到 OTW ( OTW 再 创作 组织 ) ， 而 其他 某些 人 可能 从 2007年 我们 创始 以来 就 一直 在 关注 我们 的 进展 。 

WIMPs WIMP | w_freq: 5 - 8 | wiki_freq: 148 - 69 | sentence_idx: 933592 | align_1: 9-9 | align_2: 10-14 | entity: WIMPs - none |    If five-sixths of the universe is potentially made of WIMPs , some of these particles must be hitting the Earth . ||| 如果 宇宙 的 六分之五 有 可能 是 由 “ WIMP ” 构成 的  ， 那么 这些 粒子 中 的 一些 一定 会 撞击 地球 。 

