Moody 穆迪 | w_freq: 54 - 38 | wiki_freq: 13986 - 245 | sentence_idx: 394 | align_1: 17-14 | align_2: 18-18 | entity: Moody - 穆迪 |    Vance said he had to make peace with his father 's death , but has no doubt Moody is guilty . ||| 万斯 说 , 他 与 他 父亲 的 死使 和平 , 但 毫无疑问 , 穆迪 说 , 他 是 有罪 的 。 
Analytics Analytics | w_freq: 189 - 104 | wiki_freq: 3180 - 60 | sentence_idx: 573120 | align_1: 27-21 | align_2: 28-25 | entity: Analytics - none |    Since most of us ca n’t afford to spend that much money for an analytics tracking tool , we typically opt for the free version of Google Analytics . ||| 由于 我们 大多数 人 无法 花费 大量 资金 用于 分析 跟踪 工具 ， 我们 通常 会 选择 免费 版本 的 Google Analytics （ 分析 ） 。 

Analytics Analytics | w_freq: 189 - 104 | wiki_freq: 3180 - 60 | sentence_idx: 575943 | align_1: 21-25 | align_2: 22-30 | entity: Analytics - none |    Note : If your site has multiple owners , each owner will need to link their own account to a Google Analytics profile . ||| 注 ： 如果 您 的 网站 有 多 个 所有人 ， 那么 ， 每个 所有人 都 需要 将 自己 的 帐户 连接 到 某个 Google Analytics ( 分析 ) 配置 文件 上 。 

Explorer 探险家 | w_freq: 139 - 85 | wiki_freq: 13860 - 2900 | sentence_idx: 577273 | align_1: 14-18 | align_2: 15-25 | entity: National Geographic Explorer - none |    The 52-year-old has also hosted " No Opportunity Wasted " and " National Geographic Explorer . " ||| 这位 52 岁 的 老人 还 举办 了 “ 不 浪费 任何 机会 ” 和 “ 国家 地理 探险家 ” 任 九 开 奖 结果 。 

SoCal SoCal | w_freq: 1 - 1 | wiki_freq: 758 - 3 | sentence_idx: 577619 | align_1: 2-1 | align_2: 3-5 | entity: SoCal - none |    Come to SoCal and learn the facts & help the victims . ||| 来 SoCal [南 加州 ] ， 了解 事实 并 帮助 受害者 。 

Takata 高田 | w_freq: 6 - 6 | wiki_freq: 329 - 631 | sentence_idx: 579508 | align_1: 9-8 | align_2: 10-13 | entity: Takata - 高田 |    The consumer watchdog hopes new figures on the recalled Takata airbags will put manufacturers on notice to replace " ticking time bombs " as quickly as possible . ||| 消费者 监管 机构 希望 关于 被 召回 的 高田 （ Takata ） 安全 气囊 的 新 数据 将 引起 制造商 的 注意 ， 以 尽快 取代 “ 定时 炸弹 ” 。 

Hendricks Hendricks | w_freq: 10 - 4 | wiki_freq: 4687 - 20 | sentence_idx: 582009 | align_1: 4-6 | align_2: 5-10 | entity: Richard Hendricks - none |    When we left Richard Hendricks , he was promising to make Hooli obsolete . ||| 当 我们 离开 理查德·亨德里克斯 （ Richard Hendricks ） 的 时候 ， 他 承诺 会 让 胡里 过时 。 

PSG PSG | w_freq: 21 - 19 | wiki_freq: 4026 - 126 | sentence_idx: 583212 | align_1: 15-12 | align_2: 16-18 | entity: PSG - none |    " It is a feat and it is wonderful for us players to have beaten PSG but mainly to pick up three more points in Ligue 1 . ||| “ 这是 一个 壮举 ， 对于 我们 的 球员 来说 ， 击败 PSG 真是 太 好 了 ， 但 主要 是 在 法甲 1 中 再 拿下 三 分 。 

Nass 古兰经 | w_freq: 2 - 345 | wiki_freq: 566 - 2268 | sentence_idx: 588098 | align_1: 10-1 | align_2: 11-7 | entity: Nass - none |    4 : 54 Or do they envy mankind [ al Nass ] for what Allah hath given them of His bounty ? ||| 《 古兰经 》 妇女 章 第54 节 “ 难道 他们 嫉妒 别人 享有 真主 所 赐 的 恩惠 吗 ? 

Please Please | w_freq: 1199 - 38 | wiki_freq: 10571 - 197 | sentence_idx: 588864 | align_1: 12-12 | align_2: 13-20 | entity: Pretty Please - Please |    Another update , due this summer , is a mode called Pretty Please that will require you to be polite when giving the Assistant commands . ||| 将 于 今年 夏天 发布 的 另 一个 更新 是 叫做 Pretty Please 的 说话 模式    ， 其 要求 你 在 向 助理 下 命令 时 要 有 礼貌   。 

Gees Gees | w_freq: 3 - 3 | wiki_freq: 2850 - 29 | sentence_idx: 590401 | align_1: 2-1 | align_2: 3-6 | entity: Gees - Bee Gees |    The Bee Gees – “ Too Much Heaven . ” ||| Bee Gees ( 比吉斯 合唱团 ) - Too Much Heaven ( 太 多 的 天堂 ) 

Congolese 刚果 | w_freq: 31 - 149 | wiki_freq: 8180 - 2933 | sentence_idx: 590603 | align_1: 8-4 | align_2: 9-8 | entity: Congolese - 刚果 |    Secondly , we will promote cooperation with the Congolese government , civil society organizations and affected local communities to take action and/or support related actions to address and resolve risks and challenges in the cobalt supply chain . ||| 其次 ， 推动 与 刚果 ( 金 ) 政府 、 民间 组织 及 受 影响 的 当地 社区 开展 合作 ， 采取 行动 和 / 或 支持 相关 行动 ， 共同 应对 并 化解 钴 供应链 上 的 风险 与 挑战 。 

Unbinding Unbinding | w_freq: 1 - 2 | wiki_freq: 31 - 0 | sentence_idx: 595771 | align_1: 4-4 | align_2: 5-13 | entity: The Word of Unbinding - none |    " The Word of Unbinding " ( 1964 ) ||| " The Word of Unbinding （ 英语 ： The Word of Unbinding ） " （ 1964年 ） 

CIMs CIM | w_freq: 1 - 5 | wiki_freq: 3 - 44 | sentence_idx: 597375 | align_1: 20-17 | align_2: 21-22 | entity: CIMs - none |    We host two of the National EPSRC Centres for Innovative Manufacturing ( CIM ) , are partners in another three CIMs and lead two EPSRC Centres for Doctoral Training , all of which represent funding of more than £ 90 m. ||| 我们 拥有 两 个 国家 EPSRC 创新 制造 中心 ( CIM ) ， 是 另外 三 个 CIM 的 合作 伙伴 ， 并 领导 两 个 EPSRC 博士 培训 中心 ， 所有 这些 资金 都 超过 9000万 英镑 。 

Qur’aan 乘坐 | w_freq: 19 - 280 | wiki_freq: 2 - 8067 | sentence_idx: 601051 | align_1: 4-4 | align_2: 5-10 | entity: Qur’aan - none |    They believe that the Qur’aan is a barrier for them . ||| 他们 坚信  ， 乘坐 其中    ， 就是 对 自己 存在 的 证明    。 

Qur’aan 乘坐 | w_freq: 19 - 280 | wiki_freq: 2 - 8067 | sentence_idx: 601052 | align_1: 4-4 | align_2: 5-10 | entity: Qur’aan - none |    They believe that the Qur’aan is a barrier for them . ||| 他们 坚信  ， 乘坐 其中    ， 就是 对 自己 存在 的 证明  。 

Qur’aan 乘坐 | w_freq: 19 - 280 | wiki_freq: 2 - 8067 | sentence_idx: 601053 | align_1: 4-4 | align_2: 5-9 | entity: Qur’aan - none |    They believe that the Qur’aan is a barrier for them . ||| 他们 坚信  ， 乘坐 其中   ， 就是 对 自己 存在 的 证明    。 

Deathmatch Deathmatch | w_freq: 1 - 1 | wiki_freq: 927 - 13 | sentence_idx: 601279 | align_1: 4-3 | align_2: 5-9 | entity: Celebrity Deathmatch - none |    Remember that show Celebrity Deathmatch ? ||| 还 记得 Celebrity Deathmatch ( 名人 生死斗 ) 吗 ? 

Evan 埃文 | w_freq: 362 - 280 | wiki_freq: 14891 - 172 | sentence_idx: 601549 | align_1: 5-4 | align_2: 6-8 | entity: Evan - 埃文 |    Haha , I agree with Evan although I hate that this behavior is seen as “ stereotypical ” of women . ||| 哈哈 ， 我 同意 埃文 的 观点 ， 尽管 我 讨厌 这种 行为 被 视为 女性 的 “ 刻板印象 ” 。 

Junger Junger | w_freq: 2 - 1 | wiki_freq: 351 - 6 | sentence_idx: 602360 | align_1: 5-9 | align_2: 6-14 | entity: Sebastian Junger - Sebastian Junger |    Several years ago journalist Sebastian Junger embedded himself with a platoon of American soldiers stationed in one of the most dangerous parts of Afghanistan to learn what enabled these incredibly brave young men to fight in such horrifying conditions . ||| 几 年前 记者 赛巴斯 提安 ． 钟格 （ Sebastian Junger ） 曾经 将 自己 埋伏 到 一 群 美国 士兵 中 ， 驻扎 在 阿富汗 最 危险 的 地点 之一 ， 以便 得知 是 什么 原因 让 这些 无比 勇敢 的 年轻人 可以 在 这么 可怕 的 情况 下 战斗 。 

Valar 笔 | w_freq: 5 - 771 | wiki_freq: 517 - 6106 | sentence_idx: 605398 | align_1: 28-29 | align_2: 29-36 | entity: Valar - none |    = = Other versions of the Legendarium== In [ [ The Book of Lost Tales ] ] it is mentioned that to be made by the [ [ Valar ] ] as a passage for the [ [ Sun ] ] , which would return into the World through the [ [ Gates of Morning ] ] in the east.<ref>{{LT1|VIII}}</ref > In the '' [ [ Ambarkanta ] ] '' , it was made expressly as a gateway through which to expel Morgoth.<ref>{{SM|5}}</ref > ||| ） （ 又 ） （ 在 ） （ 小 ） （ 本 ） （ 子 ） （ 上 ） （ 记 ） （ 了 ） （ 几 ） （ 笔 ） （ ， ） （ 利 ） （ 夫 ） （ 接 ） （ 着 ） （ 问 ） （ ： ） （ 在 ） （ 这 ） （ 个 ） （ 过 ） （ 程 ） （ 中 ） （ ， ） （ 您 ） （ 认 ） （ 为 ） （ 自 ） （ 己 ） （ 的 ） （ 最 ） （ 大 ） （ 收 ） （ 获 ） （ 是 ） （ 什 ） （ 么 ） （ ？ ） （ 提 ） （ 交 ） （ 上 ） （ 初 ） （ 次 ） （ 注 ） （ 册 ） （ 的 ） （ 信 ） （ 息 ） （ 表 ） （ 格 ） （ 后 ） （ ， ） （ 兰 ） （ 恩 ） （ 正 ） （ 式 ） （ 的 ） （ 成 ） （ 为 ） （ 了 ） （ 施 ） （ 法 ） （ 者 ） （ 与 ） （ 奥 ） （ 术 ） （ 师 ） （ 联 ） （ 合 ） （ 协 ） （ 会 ） （ 洛 ） （ 伦 ） （ 丹 ） （ 分 ） （ 会 ） （ 的 ） （ 一 ） （ 名 ） （ 注 ） （ 册 ） （ 法 ） （ 师 ） （ 。 

Domecq h.布斯托·多梅柯 | w_freq: 2 - 1 | wiki_freq: 288 - 0 | sentence_idx: 607265 | align_1: 15-15 | align_2: 16-20 | entity: H. Bustos Domecq - h.布斯托·多梅柯 二 人 组 |    When we write together , when we collaborate , we call ourselves “ H. Bustos Domecq . ” ||| 当 我们 一起 写 ， 当 我们 合作 时 ， 我们 把 自己 叫做 “ h.布斯托·多梅柯 二 人 组 ” 。 

UNHCR HCR | w_freq: 90 - 3 | wiki_freq: 2768 - 7 | sentence_idx: 612876 | align_1: 4-4 | align_2: 5-10 | entity: UNHCR - UN HCR |    Apartment Barcelona collaborates with UNHCR to raise money for refugees ||| Apartment Barcelona 与 UN HCR ( 联合国 难民署 ) 合作 ， 为 难民 筹集 金钱 

Optane Optane | w_freq: 3 - 2 | wiki_freq: 47 - 5 | sentence_idx: 614673 | align_1: 5-3 | align_2: 6-9 | entity: Optane - Optane |    What about 3D XPoint / Optane ? ||| 3D XPoint / Optane （ 闪腾 ） 是 什么 ？ 

Vermeer Vermeer | w_freq: 12 - 9 | wiki_freq: 2026 - 13 | sentence_idx: 615032 | align_1: 2-2 | align_2: 3-10 | entity: Vermeer - 威猛 ( Vermeer ) 公司 |    When Will Vermeer Disclose Your Information , and Who May Receive It ? ||| 威猛 ( Vermeer ) 公司 会 在 什么 情况 下 披露 您 的 信息 ， 以及 谁 可以 获得 信息 ？ 

Barkindo Barkindo | w_freq: 4 - 1 | wiki_freq: 49 - 0 | sentence_idx: 617902 | align_1: 7-8 | align_2: 8-16 | entity: Mohammad Barkindo - Mohammad Barkindo |    In a meeting with OPEC Secretary-General Mohammad Barkindo , a senior Iranian diplomat urged him to keep the group out of politics . ||| 在 与 OPEC 秘书长 巴尔金 多 ( Mohammad Barkindo ) 举行 的 一 次 会议 上 ， 一 名 伊朗 高级 外交官 敦促 他 将 OPEC 扫除 在 政治 之外 。 

Hendricks Hendricks | w_freq: 10 - 4 | wiki_freq: 4687 - 20 | sentence_idx: 620276 | align_1: 4-7 | align_2: 5-11 | entity: Richard Hendricks - none |    When we left Richard Hendricks , he was promising to make Hooli obsolete . ||| 当 我们 离开 理查德 亨德里克斯 （ Richard Hendricks ） 的 时候 ， 他 承诺 会 让 胡里 过时 。 

Hutchinson Hutchinson | w_freq: 18 - 8 | wiki_freq: 13399 - 55 | sentence_idx: 621235 | align_1: 1-2 | align_2: 2-6 | entity: Ishion Hutchinson - none |    Ishion Hutchinson – " Nightfall , Jane Ash Corner , St. Thomas " ( The Well Review ) ||| I shion Hutchinson （ 牙买加 ） - 《 Nightfall , Jane Ash Corner , St . Thomas 》 （ The Well Review 出版 ） 

McDonalds McDonald | w_freq: 21 - 15 | wiki_freq: 333 - 136 | sentence_idx: 623078 | align_1: 12-13 | align_2: 13-18 | entity: McDonalds - McDonald |    But we are not planning now any limitations such as shutting down McDonalds " , Siluanov said . ||| 但 我们 现在 没有 计划 出台 任何 限制 ， 例如 关闭 麦当劳 ( McDonald ’ s ) ， ” 西卢安诺夫 表示 。 

Qur’aan 报喜 | w_freq: 19 - 18 | wiki_freq: 2 - 240 | sentence_idx: 623217 | align_1: 9-9 | align_2: 10-13 | entity: Qur’aan - none |    Among its blessings , is that Allaah revealed the Qur’aan in it . ||| 其 正面 有 精致 的 浮雕 ， 是 天使 报喜 （ Annunciation ） 里 的 场景 。 

Qur’aan 天使 | w_freq: 19 - 873 | wiki_freq: 2 - 8495 | sentence_idx: 623217 | align_1: 9-8 | align_2: 10-13 | entity: Qur’aan - none |    Among its blessings , is that Allaah revealed the Qur’aan in it . ||| 其 正面 有 精致 的 浮雕 ， 是 天使 报喜 （ Annunciation ） 里 的 场景 。 

Evan 埃文 | w_freq: 362 - 280 | wiki_freq: 14891 - 172 | sentence_idx: 623845 | align_1: 3-3 | align_2: 4-7 | entity: Evan - 埃文 |    I disagree with Evan that you were clueless or that your friend was dishonest in any way . ||| 我 不 同意 埃文 的 看法 ， 即 你 是 无知 的 ， 或者 你 的 朋友 在 任何 方面 都 不 诚实 。 

ANNA ANNA | w_freq: 3 - 2 | wiki_freq: 117 - 15 | sentence_idx: 623995 | align_1: 14-11 | align_2: 15-22 | entity: ANNA - none |    Twenty-five years later , LeCun says , the market very much needs chips like ANNA . ||| 在 25 年后 ， LeCun 认为 市场 现在 非常 需要 像 ANNA 这样 的 芯片 ， 很快 ， 它们 将 大量 涌现 。 

Assad Assad | w_freq: 230 - 2 | wiki_freq: 4150 - 12 | sentence_idx: 625217 | align_1: 15-13 | align_2: 16-17 | entity: Assad - Assad |    “ This is n’t a full strategy , but it could facilitate the overthrow of Assad and have a real humanitarian benefit , ” Perry said . ||| “ 这不 是 完整 的 策略 ， 但 这 有助于 颠覆 阿萨德 ( Assad ) 政权 ， 并 产生 真正 的 人道主义 收益 ， ” 佩里 说 。 

Heying Heying | w_freq: 1 - 1 | wiki_freq: 36 - 0 | sentence_idx: 625961 | align_1: 8-9 | align_2: 9-14 | entity: Heying - none |    A recent episode featuring Bret Weinstein and Ms. Heying talking about gender , hotness , beauty and # MeToo was viewed on YouTube over a million times , even though the conversation lasted for nearly three hours . ||| 最近 一 集 以 Bret Weinstein 和 [ Heather Heying ] 为 主题 ， 谈论 性别 ， 热情 ， 美女 和 # MeToo ， 在 YouTube 上 被 观看 了 一百 多 万 次 ， 尽管 谈话 持续 了 将近 三 个 小时 。 

Dornbusch Dornbusch | w_freq: 4 - 2 | wiki_freq: 197 - 1 | sentence_idx: 631782 | align_1: 17-19 | align_2: 18-27 | entity: Rudi Dornbusch - none |    But maybe this is another example of Dornbusch 's Law , named after my old teacher Rudi Dornbusch : The crisis takes a much longer time coming than you think , and then it happens much faster than you would have thought . ||| 但 也许 这是 “ 多恩布什 定律 ” 的 又 一 例 ， 这个 以 我 昔日 恩师鲁迪・多恩布什 ( Rudi Dornbusch ) 的 名字 命名 的 定律 说 ， 危机 到来 所 需要 的 时间 比 你 预想 要久 的 多 ， 然而 发生 时 又 比 你 预想 要 快 的 多 。 

Businessweek 周刊 | w_freq: 4 - 80 | wiki_freq: 761 - 9242 | sentence_idx: 637081 | align_1: 29-34 | align_2: 30-40 | entity: Businessweek - 商业 周刊 |    “ When you have a longer working day , at some point because you ’re becoming tired , it decreases your productivity , ” French economist Renaud Bourlès told Businessweek . ||| " 当 你 有 一个 较 长 的 工作日 时 ， 有些 时候 你 变 得 很 累 ， 因为 它 减少 你 的 工作 效率 ， " 法国 经济学家 RenaudBourlès 在 《 商业 周刊 》 的 文章 中 说道 。 

TRIPs TRIPS | w_freq: 2 - 36 | wiki_freq: 58 - 34 | sentence_idx: 637142 | align_1: 5-4 | align_2: 6-8 | entity: TRIPs - none |    Neither the Paris Convention nor TRIPs provides any specific standard for the novelty of design patents . ||| 无论是 巴黎 公约 还是 TRIPS ， 都 未 规定 外观 设计 专利 新颖性 的 具体 标准 。 

Andersen Andersen | w_freq: 49 - 36 | wiki_freq: 12446 - 85 | sentence_idx: 643492 | align_1: 3-3 | align_2: 4-14 | entity: Riley Andersen - none |    Just like Riley Andersen , most people hardly know themselves , and when they try to ‘ listen to themselves ’ they easily become prey to external manipulations . ||| 就 像 Riley Andersen （ 编者注 ： 《 头脑 特工队 》 人物 ） 一样 ， 大多数 人 几乎 都 不 了解 自己 ， 当 他们 试图 “ 倾听 自己 ” 很 容易 就 会 变成 外部 操纵 的 猎物 。 

Reiko Reiko | w_freq: 3 - 3 | wiki_freq: 1088 - 7 | sentence_idx: 643984 | align_1: 25-18 | align_2: 26-22 | entity: Reiko - none |    In June of the same year , she starred in the American action movie " Speed ​​and Passion 3 : Tokyo Drift " , playing Reiko . ||| 同年 6月 ， 出演 美国 动作 电影 《 速度 与 激情 3 ： 东京 漂移 》 ， 饰演 Reiko [ 3 ] 。 

Arabians 沙特阿拉伯 | w_freq: 2 - 571 | wiki_freq: 616 - 3476 | sentence_idx: 647471 | align_1: 3-1 | align_2: 4-7 | entity: Saudi Arabians - 沙特阿拉伯 |    Even the Saudi Arabians have enough sense to recognize the evil of Pokémon and have banned it in their country . ||| 连 沙特阿拉伯 （ 回教 国家 ） 都 有 充足 的 感觉 承认 Pokemon 的 邪恶 ， 并且 在 他们 国家 内 禁止 Pokemon 。 

Bloody 血腥 | w_freq: 35 - 205 | wiki_freq: 9656 - 2171 | sentence_idx: 652200 | align_1: 8-11 | align_2: 9-19 | entity: Bloody Harvest - none |    We released two reports and a book , Bloody Harvest , and have continued to investigate . ||| 我们 发布 了 两 份 调查 报告 和 一 本书 《 血腥 的 活摘 器官 》 （ BLOO DY HARVEST ） ， 并且 继续 调查 。 

Qur’an 古兰经 | w_freq: 172 - 345 | wiki_freq: 541 - 2268 | sentence_idx: 653297 | align_1: 2-4 | align_2: 3-10 | entity: Qur’an - none |    52But the Qur’an is nothing but a reminder to all worlds . ||| 五二 . 这 《 古兰经 》 不是 别的 ， 它 是 对 全世界 的 教诲 。 

Qur'an 古兰经 | w_freq: 127 - 345 | wiki_freq: 6037 - 2268 | sentence_idx: 659832 | align_1: 2-1 | align_2: 3-5 | entity: Qur'an - none |    The Holy Qur'an maintains that they were perfidious . ||| 《 古兰经 》 对此 的 解释 是 ： “ 因为 它们 确 是 不 洁 。 

Alright Alright | w_freq: 17 - 3 | wiki_freq: 2842 - 51 | sentence_idx: 660075 | align_1: 4-4 | align_2: 5-9 | entity: The Kids Are Alright - The Kids Are Alright |    1979 The Kids Are Alright ( Documentary ) ||| 《 The Kids Are Alright 》 ( 1979 ) ( 纪录片 ) 

Kennecott 肯尼科特 | w_freq: 1 - 2 | wiki_freq: 441 - 7 | sentence_idx: 660391 | align_1: 0-0 | align_2: 1-5 | entity: Kennecott - 肯尼科特 |    Kennecott was never really a town , but more of a mining camp in southeast Alaska . ||| 肯尼科特 ， 阿拉斯加 肯尼科特 从来 不是 真正 的 一个 城镇 ， 而是 阿拉斯加 东南部 的 一个 采矿 营地 。 

309th 第309 | w_freq: 1 - 2 | wiki_freq: 405 - 36 | sentence_idx: 666027 | align_1: 10-9 | align_2: 11-18 | entity: 309th Aerospace Maintenance and Regeneration Group - 第309 届 航空 航太 维护 和 再生 集团 |    AMARC was officially redesignated May 2 , 2007 as the 309th Aerospace Maintenance and Regeneration Group ( AMARG ) , but it still uses the title AMARC for worldwide recognition and legacy reasons . ||| AMARC 于 2007年 5月 2日 正式 重新 命名 为 第309 届 航空 航太 维护 和 再生 集团 （ Aerospace Maintenance and Regeneration Group - AMARG ） ， 但 它 仍然 使用 标题 AMARC 进行 全球 认可 和 遗留 的 原因 。 

Dreyer Dreyer | w_freq: 2 - 1 | wiki_freq: 2445 - 20 | sentence_idx: 666117 | align_1: 17-19 | align_2: 18-23 | entity: Peter Dreyer - none |    A Beast in View ( 1969 BL , F ) , by anti-apartheid South African exile Peter Dreyer , was banned in South Africa on publication . ||| 《 眼中 的 野兽 》 （ 1969 BL ） 由 反 种族 隔离 的 南非 流亡者 彼得·德雷尔 （ Peter Dreyer ） 所 著 ， 在 南非 被 禁止 发行 。 

Yancey Yancy | w_freq: 4 - 1 | wiki_freq: 1942 - 7 | sentence_idx: 670653 | align_1: 1-7 | align_2: 2-18 | entity: Philip Yancey - none |    Philip Yancey — Author of Vanishing Grace : What Ever Happened to the Good News ? ||| 美国 畅销 作家 杨 腓力 （ Philip Yancy ） 在 他 的 著作 《 恩典 不 虚传 》 （ Vanishing Grace : What Ever Happened to the Good News ? 

Cowboy Cowboy | w_freq: 26 - 12 | wiki_freq: 8724 - 61 | sentence_idx: 672393 | align_1: 3-3 | align_2: 4-12 | entity: Great American Cowboy - The Great American Cowboy |    The Great American Cowboy ( 1973 ) ||| The Great American Cowboy （ 英语 ： The Great American Cowboy ） ( 1973 ) 

Lykos 丝 | w_freq: 1 - 74 | wiki_freq: 150 - 2182 | sentence_idx: 673289 | align_1: 6-8 | align_2: 7-14 | entity: Lykos - 莉 可 丝 |    Though peace seems to have returned Lykos warns that her brother wo n't give up . ||| 和平 看似 再度 降 临 ， 莉 可 丝 却 提出 警告  ， 认为 她 的 哥哥 不 会 放弃  。 

FP2 FP2 | w_freq: 14 - 14 | wiki_freq: 54 - 13 | sentence_idx: 676809 | align_1: 9-6 | align_2: 10-11 | entity: FP2 - none |    Verstappen ’s team mate Pierre Gasly crashed out of FP2 but recovered to P4 in qualifying – that ’s his best start in F1 so far . ||| Verstappen 的 队友 Pierre Gasly 从 FP2 中 摔 出 ， 但 在 排位赛 中 恢复 到 P4 – 这是 他 迄今为止 在 F1 最好 的 开端 。 

Morse 莫尔斯 | w_freq: 30 - 8 | wiki_freq: 14130 - 99 | sentence_idx: 677826 | align_1: 1-2 | align_2: 2-8 | entity: Inspector Morse - 莫尔斯 |    Inspector Morse has an ear for music , a taste for beer and a nose for crime . ||| 首席 督察 莫尔斯 ( 约翰 · 解冻 ) 有 音乐 的 耳朵 ， 啤酒 的 味道 ， 犯罪 的 鼻子 。 

Surprise Surprise | w_freq: 23 - 8 | wiki_freq: 4540 - 82 | sentence_idx: 679165 | align_1: 14-10 | align_2: 15-19 | entity: The Big Surprise - none |    Wallace hosted a number of game shows in the 1950s , including The Big Surprise , Who 's the Boss ? and Who Pays ? . ||| 华莱士 在 1950年 主持 了 一些 包括 《 The Big Surprise （ 英语 ： The Big Surprise ） 》 ， 《 Who's the Boss ? 

YORK YORK | w_freq: 64 - 8 | wiki_freq: 199 - 16 | sentence_idx: 679276 | align_1: 1-2 | align_2: 2-6 | entity: NEW YORK - none |    NEW YORK – If you were going to buy a silk charmeuse designer gown for thousands and thousands of dollars , would you want it to be emblazoned with the image of Luke Skywalker , C-3PO or Yoda ? ||| N EW YORK （ 美联社 ） - 如果 你 打算 购买 一 件 价值 数千 美元 的 丝绸 名媛 设计师 礼服 ， 你 会 想要 将 它 印 在 Luke Skywalker ， C-3PO 或 Yoda 的 形象 上 吗 ？ 

ETH ETH | w_freq: 49 - 43 | wiki_freq: 2782 - 38 | sentence_idx: 685181 | align_1: 6-3 | align_2: 7-12 | entity: ETH - none |    Some companies have gone long on ETH and managed to keep going . ||| 一些 公司 在 ETH 之 路 走 了 很 长 时间 ， 并 设法 持续 下去 。 

Bain Bain | w_freq: 23 - 11 | wiki_freq: 6112 - 41 | sentence_idx: 685862 | align_1: 3-9 | align_2: 4-18 | entity: Bain - Bain & Company |    [ 6 ] Bain Report “ Can Southeast Asia Live Up to Its E-commerce Potential ? ” ||| [ 3 ] 详见 贝恩 策略 顾问 公司 ( Bain & Company ) 于 2016年 发表 的 研究 报告 ： Can Sout heast Asia Live Up to Its E-commerce Potential ? 

Kotler Kotler | w_freq: 5 - 4 | wiki_freq: 552 - 5 | sentence_idx: 693282 | align_1: 4-3 | align_2: 5-8 | entity: Kotler - none |    I grew up on Kotler which is the classic textbook . ||| 我 是 在 Kotler 上 长大 的 , 这是 经典 的 教科书 。 

Chuchu Chuchu | w_freq: 2 - 2 | wiki_freq: 96 - 1 | sentence_idx: 695516 | align_1: 20-22 | align_2: 21-28 | entity: Lin Chuchu - none |    HoneyCC likes to say that she scarcely remembers the last time someone called her by her given name , Lin Chuchu . ||| HoneyCC 喜欢 说 ， 她 几乎 不 记得 上 一 次 有人 喊 她 真实 的 名字 林楚楚 （ 音译 ， Lin Chuchu ） 是 什么 时候 了 。 

Communion 圣事 | w_freq: 17 - 18 | wiki_freq: 8605 - 470 | sentence_idx: 698987 | align_1: 2-2 | align_2: 3-7 | entity: Holy Communion - none |    “ Holy Communion is the shortest and safest way to Heaven . ||| 共 融 圣事 ( 圣体 圣事 ) 是 通往 天堂 的 最 短 与 最 安全 的 途径 。 

Coran 圣经 | w_freq: 1 - 1632 | wiki_freq: 84 - 11680 | sentence_idx: 699265 | align_1: 3-0 | align_2: 4-4 | entity: Coran - none |    Just like the Coran and many other religious books . ||| 圣经 ， 可 兰经 以及 其他 各种 宗教 的 经典 也 是 。 

Barbarians Barbarians | w_freq: 13 - 10 | wiki_freq: 3291 - 5 | sentence_idx: 702593 | align_1: 2-2 | align_2: 3-9 | entity: The New Barbarians - none |    The New Barbarians ( band ) ||| the New Barbarians （ 英语 ： The New Barbarians ( band ) ） 

Baillie Baillie | w_freq: 2 - 2 | wiki_freq: 3039 - 17 | sentence_idx: 712463 | align_1: 16-11 | align_2: 17-16 | entity: Baillie - none |    It goes without saying that only ' Regenerates ' were to be admitted ( according to Baillie ' only one out of forty ' ) . ||| 只有 “ 改过 重生者 ” 才 会 被 接纳 （ 根据 Baillie ， 这些 人 是 “ 四十 个 人才 出 一个 的 ” ） 。 

Tittel 首页 | w_freq: 1 - 678 | wiki_freq: 79 - 770 | sentence_idx: 712596 | align_1: 0-0 | align_2: 1-8 | entity: Tittel - none |    Tittel I 'm Your Man : The Life of Leonard Cohen ||| 首页 〉外 文书 〉 艺术 〉 音乐 〉 I'm Your Man : The Life of Leonard Cohen 

Dornbusch Dornbusch | w_freq: 4 - 2 | wiki_freq: 197 - 1 | sentence_idx: 713342 | align_1: 17-19 | align_2: 18-27 | entity: Rudi Dornbusch - none |    But maybe this is another example of Dornbusch ’s Law , named after my old teacher Rudi Dornbusch : The crisis takes a much longer time coming than you think , and then it happens much faster than you would have thought . ||| 但 也许 这是 “ 多恩布什 定律 ” 的 又 一 例 ， 这个 以 我 昔日 恩师鲁迪・多恩布什 ( Rudi Dornbusch ) 的 名字 命名 的 定律 说 ， 危机 到来 所 需要 的 时间 比 你 预想 要久 的 多 ， 然而 发生 时 又 比 你 预想 要 快 的 多 。 

Coca-Cola Coca-Cola | w_freq: 136 - 7 | wiki_freq: 12082 - 62 | sentence_idx: 717987 | align_1: 11-13 | align_2: 12-18 | entity: The World of Coca-Cola - none |    Taste Coca-Cola products from around the world at The World of Coca-Cola . ||| 品尝 一下 从 世界 各地 运 到 市中心 可口可乐 世界 ( World of Coca-Cola ) 的 可乐 产品 。 

