Dawes Dawes | w_freq: 4 - 4 | wiki_freq: 4708 - 537 | sentence_idx: 2576 | align_1: 5-5 | align_2: 6-9 | entity: Dawes - Dawes |    Someday Never Comes ( with Dawes ) ||| Someday Never Comes ( avec Dawes ( en ) ) 
Kabbalah Kabbale | w_freq: 171 - 175 | wiki_freq: 2757 - 963 | sentence_idx: 768681 | align_1: 12-17 | align_2: 13-22 | entity: Kabbalah - Kabbale |    A question I received : Why did Kabbalists prohibit others from studying Kabbalah until very recently ? ||| Une question que j’ ai reçue : Pourquoi les kabbalistes ont -ils interdit l’ étude de la Kabbale à des tiers , jusqu’ à très récemment ? 

26:32 26:32 | w_freq: 1 - 1 | wiki_freq: 6 - 0 | sentence_idx: 776425 | align_1: 0-0 | align_2: 1-5 | entity: 26:32 - none |    26:32 So he cast his staff ; that is when it was a clear serpent . ||| 26:32 [ Moïse ] jeta donc son bâton et le voilà devenu un serpent manifeste . 

Mandy Mandy | w_freq: 12 - 13 | wiki_freq: 6520 - 969 | sentence_idx: 776849 | align_1: 9-12 | align_2: 10-16 | entity: Mandy - Mandy |    The dog returned home several hours later , but Mandy never did . ||| Le chien est rentré chez lui quelques heures plus tard , mais Mandy ne l’ a jamais fait . 

Salamanca Salamanca | w_freq: 9 - 2 | wiki_freq: 7252 - 493 | sentence_idx: 785287 | align_1: 4-5 | align_2: 5-10 | entity: Salamanca - Salamanca |    That undefeated week in Salamanca seven months ago feels far removed now . ||| Cette semaine sans défaite à Salamanca , il y a sept mois , semble bien lointaine maintenant . 

161 161 | w_freq: 21 - 22 | wiki_freq: 7756 - 2027 | sentence_idx: 794590 | align_1: 17-16 | align_2: 18-21 | entity: 161 - none |    The Framework Directive 89/391 / EEC contains many features of the ILO Conventions Nos . 155 and 161 which the 15 countries of the European Union will implement in their national laws and practices . ||| La directive - cadre 89/391 / CEE renferme de nombreuses dispositions des conventions nos 155 et 161 de l’ OIT , que les quinze pays de l’ Union européenne mettront en œuvre dans leur législation et leur pratique nationales . 

Sakura Sakura | w_freq: 9 - 9 | wiki_freq: 5345 - 1995 | sentence_idx: 795797 | align_1: 7-7 | align_2: 8-12 | entity: Sakura - Sakura |    " Both engines have gone back to Sakura , and we will wait for news . ” ||| " Les deux moteurs sont retournés à Sakura [ au Japon ] , et nous attendrons des nouvelles . " 

PROPHETS PROPHETS | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 795927 | align_1: 7-7 | align_2: 8-12 | entity: none - HOLY PROPHETS |    When you read the words “ holy PROPHETS ” … know that this refers to WHOLE PROFITS – MONETARY PROFITS . ||| Quand vous lisez les mots « HOLY PROPHETS ( SAINTS PROPHÈTES ) » … sachez que cela réfère aux WHOLE PROFITS ( PROFITS ENTIERS ) – MONETARY PROFITS ( PROFITS MONÉTAIRES ) . 

PROFITS PROFITS | w_freq: 3 - 4 | wiki_freq: 3 - 1 | sentence_idx: 795927 | align_1: 16-20 | align_2: 17-25 | entity: none - WHOLE PROFITS |    When you read the words “ holy PROPHETS ” … know that this refers to WHOLE PROFITS – MONETARY PROFITS . ||| Quand vous lisez les mots « HOLY PROPHETS ( SAINTS PROPHÈTES ) » … sachez que cela réfère aux WHOLE PROFITS ( PROFITS ENTIERS ) – MONETARY PROFITS ( PROFITS MONÉTAIRES ) . 

PROFITS PROFITS | w_freq: 3 - 4 | wiki_freq: 3 - 1 | sentence_idx: 795927 | align_1: 19-27 | align_2: 20-32 | entity: none - MONETARY PROFITS |    When you read the words “ holy PROPHETS ” … know that this refers to WHOLE PROFITS – MONETARY PROFITS . ||| Quand vous lisez les mots « HOLY PROPHETS ( SAINTS PROPHÈTES ) » … sachez que cela réfère aux WHOLE PROFITS ( PROFITS ENTIERS ) – MONETARY PROFITS ( PROFITS MONÉTAIRES ) . 

Earthquake tremblement | w_freq: 8 - 188 | wiki_freq: 4969 - 6529 | sentence_idx: 797448 | align_1: 3-1 | align_2: 4-9 | entity: The New Madrid Earthquake - tremblement de terre de New Madrid |    The New Madrid Earthquake was when ? ||| Le tremblement de terre de New Madrid , c’ était quand   ? 

Europeanization européanisation | w_freq: 4 - 8 | wiki_freq: 110 - 81 | sentence_idx: 798555 | align_1: 15-11 | align_2: 16-17 | entity: Europeanization - none |    It is doubtful , however , that the AREPs will serve Brussels ’ objectives of Europeanization whether from inside or outside the EU . ||| Il est toutefois douteux que les AREP servent les objectifs d' européanisation de Bruxelles , que ce soit à l' intérieur ou à l' extérieur de l' UE . 

02 02/ | w_freq: 41 - 1 | wiki_freq: 8357 - 1 | sentence_idx: 803301 | align_1: 0-0 | align_2: 1-5 | entity: 02 - none |    02 No electricity in the area where the fire is alleged to have started . ||| 02/ Il n’ y a pas d’ électricité dans la zone où l’ incendie est présumé avoir débuté . 

Bunz Bunz | w_freq: 1 - 1 | wiki_freq: 104 - 8 | sentence_idx: 806772 | align_1: 14-13 | align_2: 15-21 | entity: Marc Bunz - Marc Bunz |    In March 2017 , I therefore sat down with my fellow board member Marc Bunz and considered the matter : What do we do now ? ||| En mars 2017 , je me suis donc entretenu avec mon collègue Marc Bunz , membre du conseil d' administration , et j' ai examiné la question : Qu' est -ce qu' on fait maintenant ? 

Deciders Deciders | w_freq: 1 - 1 | wiki_freq: 10 - 0 | sentence_idx: 809479 | align_1: 23-25 | align_2: 24-30 | entity: The Deciders - The Deciders |    The consequences of these events for America ’s foreign policy have been detailed in these pages by John Hay ’s essay “ The Deciders . ” ||| Les conséquences de ces événements sur la politique étrangère des États-Unis ont été détaillées dans ces pages par l' essai de John Hay « The Deciders » ( Décideurs ) . 

ABSORBED ABSORBÉ | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 816487 | align_1: 1-1 | align_2: 2-5 | entity: none - ABSORBÉ PAR |    ( ABSORBED IN HIS ACT ) Why do you want to leave now ? ||| ( ABSORBÉ PAR CE QU’ IL FAIT ) Pourquoi veux - tu partir maintenant ? 

Braganza Braganza | w_freq: 2 - 1 | wiki_freq: 2289 - 72 | sentence_idx: 818904 | align_1: 0-0 | align_2: 1-5 | entity: Braganza - Braganza |    Braganza explained that it is really only since the 1990s that we have started to see the extreme heat . ||| Braganza [ BOM ] a expliqué que ce n' est vraiment que depuis les années 1990 que nous avons commencé à voir la chaleur extrême . 

Himself Lui | w_freq: 318 - 1315 | wiki_freq: 2348 - 8176 | sentence_idx: 819896 | align_1: 13-11 | align_2: 14-16 | entity: none - Lui |    They did n't know how that this man could actually be Bread , Himself . ||| Ils ne savaient pas comment cet Homme pouvait en fait être Lui - même un Pain . 

Limbs Limbs | w_freq: 1 - 1 | wiki_freq: 487 - 37 | sentence_idx: 822368 | align_1: 10-11 | align_2: 11-15 | entity: Life Without Limbs - Life Without Limbs |    " The biggest event that our team at Life Without Limbs has seen and maybe the largest event ever in Europe — 800,000 people in the streets of Kyiv Ukraine ! ||| “ Le plus grand événement que notre équipe à Life Without Limbs ( LWL ) a vu et peut-être le plus grand événement jamais organisé en Europe – 800 000 personnes rassemblées dans les rues de Kiev en Ukraine ! 

Kagame Kagame | w_freq: 57 - 48 | wiki_freq: 1099 - 468 | sentence_idx: 826285 | align_1: 11-11 | align_2: 12-16 | entity: Paul Kagame - Paul Kagame |    In fact , when the five special envoys met with Paul Kagame some days ago , he made a strong statement in which he requested that the accord be finalized that same evening . ||| En fait , lorsque les cinq envoyés spéciaux ont rencontré Paul Kagame , il y a quelques jours , celui-ci a fait une déclaration forte dans laquelle il a demandé que l’ accord soit finalisé le soir même . 

Kerviel Kerviel | w_freq: 3 - 3 | wiki_freq: 129 - 223 | sentence_idx: 829349 | align_1: 5-6 | align_2: 6-10 | entity: Jérôme Kerviel - Jérôme Kerviel |    ( II ): how Jérôme Kerviel managed to get out of this framework ? ||| ( II ) : comment Jérôme Kerviel a -t -il réussi à sortir de ce cadre ? 

Batman—believe Batman | w_freq: 1 - 92 | wiki_freq: 0 - 6587 | sentence_idx: 829937 | align_1: 5-6 | align_2: 6-13 | entity: Batman—believe - Batman |    They watched Spiderman , or Batman—believe it or not , that gives hope . ||| Ils ont regardé Spiderman , ou Batman , et ça , croyez - le ou non , ça donne de l’ espoir . 

Cacey Cacey | w_freq: 1 - 1 | wiki_freq: 3 - 0 | sentence_idx: 833055 | align_1: 11-11 | align_2: 12-16 | entity: Edgar Cacey - Edgar Cacey |    Imagine having the ability to predict your own death – Edgar Cacey did . ||| Imaginez avoir la capacité de prévoir votre propre mort – Edgar Cacey lui , l’ a fait . 

E-194 E-194 | w_freq: 8 - 8 | wiki_freq: 0 - 0 | sentence_idx: 843811 | align_1: 0-0 | align_2: 1-4 | entity: none - E-194 |    E-194 " Let me be an influence , Lord , to others . ||| E-194 ( 193 ) " Que je sois une influence , Seigneur , pour les autres . 

Revelations versets | w_freq: 7 - 207 | wiki_freq: 1601 - 3502 | sentence_idx: 847106 | align_1: 3-7 | align_2: 4-14 | entity: none - Nos versets |    They denied Our Revelations , and so God seized them for their sins . ||| Ils renièrent Nos signes [ et Nos versets , et s’ adonnèrent aux injustices , ] et DIEU les châtia à cause de leurs péchés . 

Alkalai Alkalai | w_freq: 1 - 1 | wiki_freq: 57 - 12 | sentence_idx: 849897 | align_1: 1-3 | align_2: 2-7 | entity: Alkalai - Alkalai |    Perhaps Alkalai sought to emulate the national success of his Serbian neighbors ? ||| Peut - être Alkalai a -t -il cherché à imiter le succès national de ses voisins serbes ? 

seventy-five soixante-quinze | w_freq: 7 - 5 | wiki_freq: 1789 - 656 | sentence_idx: 850049 | align_1: 8-8 | align_2: 9-14 | entity: seventy-five - none |    The UNESCO and the Chinese authorities will select seventy-five most qualified candidates . ||| L’ UNESCO et les autorités chinoises sélectionneront les soixante-quinze ( 75 ) candidats les plus qualifiés . 

E-155 E-155 | w_freq: 16 - 17 | wiki_freq: 0 - 2 | sentence_idx: 856713 | align_1: 0-0 | align_2: 1-4 | entity: E-155 - E-155 |    E-155 All these things we see happening then , and the nation ... ||| E-155 ( 153 ) Toutes ces choses que nous voyons donc arriver et la nation ... 

L-285 E-285 | w_freq: 1 - 4 | wiki_freq: 0 - 0 | sentence_idx: 857637 | align_1: 0-0 | align_2: 1-4 | entity: none - E-285 |    L-285 Remember , I can't--I ca n't force you to come against your own will . ||| E-285 ( 214 ) Souvenez -vous , je ne peux pas - je ne peux pas vous obliger à venir contre votre gré . 

Humanity Humanité | w_freq: 182 - 84 | wiki_freq: 5821 - 4450 | sentence_idx: 858778 | align_1: 15-20 | align_2: 16-24 | entity: none - l' Humanité |    TIME TO STOP THE LIES : is precisely what this Ascension cycle is about for Humanity collectively and individually ! ||| IL EST TEMPS D' ARRÊTER LES MENSONGES : c' est précisément le sujet de ce cycle d' Ascension pour l' Humanité , de manière collective et individuelle ! 

Navigator navigatrice | w_freq: 10 - 1 | wiki_freq: 3689 - 249 | sentence_idx: 861005 | align_1: 8-8 | align_2: 9-12 | entity: Navigator - none |    If you call during these hours and the Navigator is not available , she is assisting other families . ||| Si vous appelez pendant ces heures et la navigatrice de soins n’ est pas disponible , elle aide d’ autres familles . 

Sarbanes-Oxley Oxley | w_freq: 1 - 3 | wiki_freq: 220 - 297 | sentence_idx: 864285 | align_1: 10-14 | align_2: 11-19 | entity: Sarbanes-Oxley - Oxley |    Why was the data retention period for auditable records in Sarbanes-Oxley chosen as 7 years ? ||| Pourquoi la période de conservation des données pour les enregistrements vérifiables dans Sarbanes - Oxley a -t -elle été choisie comme étant de 7 ans ? 

Trish Trish | w_freq: 5 - 5 | wiki_freq: 2366 - 536 | sentence_idx: 866686 | align_1: 4-4 | align_2: 5-8 | entity: none - Trish |    Success Stories : Why Trish Sold Everything She Owned to Travel ||| Success Stories : Pourquoi Trish a -t -elle vendu tout ce qu' elle possédait pour voyager ? 

CSI CSI | w_freq: 17 - 16 | wiki_freq: 4311 - 858 | sentence_idx: 867400 | align_1: 9-13 | align_2: 10-20 | entity: Child Soldiers International ( CSI ) - CSI |    According to human rights organization Child Soldiers International ( CSI ) , only 17 other countries , including Zambia and El Salvador , allow it . ||| Selon l’ organisation des droits de l’ Homme Child Soldiers International ( ( CSI – L’ Internationale des enfants soldats ) , seuls 17 autres pays , dont la Zambie et El Salvador , le permettent . 

80/987 80/987 | w_freq: 1 - 1 | wiki_freq: 3 - 0 | sentence_idx: 869529 | align_1: 8-8 | align_2: 9-16 | entity: Article 8 of Directive 80/987 - none |    ( 3 ) Is Article 8 of Directive 80/987 directly effective in the circumstances of the present case ? ’ ||| 3 ) L’ article 8 de la directive 80/987 / CEE a -t -il un effet direct dans les circonstances de l’ espèce ? » 

WACP WACP | w_freq: 1 - 1 | wiki_freq: 24 - 3 | sentence_idx: 874543 | align_1: 15-17 | align_2: 16-21 | entity: WACP - WACP |    43 years is , without a doubt , an important milestone in the life of WACP for two main reasons : ||| 43 ans constituent , à n’ en point douter , une étape importante dans la vie du WACP et cela , pour deux principales raisons : 

Ordinary—until Ordinaire | w_freq: 1 - 11 | wiki_freq: 0 - 334 | sentence_idx: 874684 | align_1: 0-0 | align_2: 1-6 | entity: none - Ordinaire |    Ordinary—until I became a statistic , one of the unsolved murders of the year . ||| Ordinaire , jusqu’ à ce que je sois devenue une statistique , l’ un des meurtres non résolus de l’ année . 

Thorn—either Thorn | w_freq: 1 - 7 | wiki_freq: 0 - 1140 | sentence_idx: 876135 | align_1: 9-9 | align_2: 10-15 | entity: Thorn—either - Thorn |    From his hand emerges the rune Kaum , or Thorn—either one . ||| De sa main émerge la Rune Kaum , ou Thorn – l’ une ou l’ autre . 

1010 1010 | w_freq: 6 - 7 | wiki_freq: 1900 - 725 | sentence_idx: 876913 | align_1: 3-2 | align_2: 4-7 | entity: 1010 - none |    The sento magazine 1010 interviewed me , which was the first step I think . ||| Le magazine 1010 des sento m’ a interviewée , ce fut je pense la première étape . 

Bacalhau bacalhau | w_freq: 1 - 2 | wiki_freq: 85 - 32 | sentence_idx: 878130 | align_1: 0-1 | align_2: 1-7 | entity: Bacalhau - none |    Bacalhau is the number one fish of the country , it is cooked in a thousand ways and it is interesting to discover the creativity with which it prepares it . ||| Le bacalhau ( Morue en français ) est LE poisson numéro 1 du pays , on le cuisine de mille façons et il est intéressant de découvrir la créativité avec laquelle ils le préparent . 

Adjutant adjudant | w_freq: 3 - 5 | wiki_freq: 4556 - 4706 | sentence_idx: 885962 | align_1: 1-1 | align_2: 2-6 | entity: Adjutant - none |    The Adjutant had no problem accepting the reality of the first event . ||| L' adjudant - major n' a eu aucun problème accepter la réalité du premier événement . 

BBM BBM | w_freq: 12 - 12 | wiki_freq: 373 - 96 | sentence_idx: 890804 | align_1: 3-2 | align_2: 4-8 | entity: none - Aybar BBM |    Was the Aybar BBM expensive , Yohannes ? ||| L’ Aybar BBM vous a -t -elle coûté cher , Yohannes ? 

Do1Thing Do1Thing | w_freq: 1 - 1 | wiki_freq: 2 - 0 | sentence_idx: 893364 | align_1: 33-32 | align_2: 34-38 | entity: none - Do1Thing |    Each one of us can make a difference in the lives of forcibly displaced people , each one of us can be a gift to others , each one of us can # Do1Thing for a refugee . ||| Chacun de nous peut faire une différence dans la vie des personnes déplacées de force , chacun de nous peut être un cadeau pour les autres , chacun de nous peut # Do1Thing ( Faire une chose ) pour un réfugié . 

UNEP PNUE | w_freq: 12 - 12 | wiki_freq: 1386 - 437 | sentence_idx: 900415 | align_1: 5-5 | align_2: 6-10 | entity: UNEP - PNUE |    In particular , how is UNEP coordinating with pan-African organisations such as the African Union to address the effects of climate change ? ||| En particulier , comment le PNUE assure -t -il la coordination avec des organisations panafricaines telles que l’ Union africaine pour faire face aux effets du changement climatique ? 

LENR LENR | w_freq: 2 - 2 | wiki_freq: 18 - 10 | sentence_idx: 901235 | align_1: 10-11 | align_2: 11-15 | entity: LENR - none |    For those who want to know more about RNBE ( LENR ) , I refer you to an article I wrote in 2014 " E-Cat and LENR : It 's very serious ! ||| Pour ceux qui veulent en savoir davantage sur les RNBE ( LENR , en anglais ) , je vous réfère à un article que j’ ai écrit en 2014 « E-Cat et LENR : C’ est très sérieux ! 

E-15 E-15 | w_freq: 24 - 25 | wiki_freq: 34 - 6 | sentence_idx: 902802 | align_1: 0-0 | align_2: 1-4 | entity: none - E-15 |    E-15 But , you know , if I said anything different than what 's in my heart , I 'd be a hypocrite . ||| E-15 ( 12 ) Mais , vous savez , si je disais autre chose que ce qui est dans mon cœur , je serais un hypocrite . 

Engagement Engagement | w_freq: 31 - 39 | wiki_freq: 4422 - 4054 | sentence_idx: 902899 | align_1: 8-10 | align_2: 9-15 | entity: none - 1.7 Engagement à l’ échelle internationales |    ( 2.1 Compliance and Enforcement and 1.7 International Engagement ) ||| ( 2.1 Conformité et application de la loi et 1.7 Engagement à l’ échelle internationales ) 

MasterChef MasterChef | w_freq: 4 - 4 | wiki_freq: 1960 - 163 | sentence_idx: 904770 | align_1: 3-3 | align_2: 4-10 | entity: MasterChef - MasterChef |    It was like MasterChef in my kitchen last night , a really stressful atmosphere ... ||| C' était comme MasterChef ( émission de la BBC ) dans ma cuisine la nuit dernière , une atmosphère vraiment stressante ... » 

Baquet Baquet | w_freq: 1 - 1 | wiki_freq: 198 - 187 | sentence_idx: 905038 | align_1: 7-10 | align_2: 8-14 | entity: Baquet - Baquet |    Trump did n’t change the Times — Baquet did . ||| Trump n’ a pas changé le Times — c’ est Baquet qui l’ a fait . 

187 182 | w_freq: 24 - 30 | wiki_freq: 6704 - 1694 | sentence_idx: 908156 | align_1: 1-1 | align_2: 2-5 | entity: 187 - none |    [ 187 ] Income distribution , having improved since 2002 , is classified as " medium " , still considerably unequal . ||| [ 182 ] [ 183 ] La répartition du revenu , après s’ être améliorée depuis 2002 , est classée comme « moyenne » , encore considérablement inégale . 

Fusion Fusion | w_freq: 25 - 26 | wiki_freq: 8514 - 2117 | sentence_idx: 915292 | align_1: 7-7 | align_2: 8-15 | entity: Youth Fusion - Fusion Jeunesse |    Indeed , the model developed by Youth Fusion 10 years ago is producing results that are also of interest to other countries . ||| En effet , le modèle élaboré par Fusion Jeunesse , il y a de ça 10 ans , donne des résultats qui intéressent aussi d’ autres pays . 

Capasso Capasso | w_freq: 1 - 1 | wiki_freq: 102 - 22 | sentence_idx: 917042 | align_1: 3-4 | align_2: 4-8 | entity: Capasso - Capasso |    Welcomed by President Capasso expressed appreciation for a unique and extraordinary place . ||| Accueilli par le président Capasso , ils ont exprimé leur reconnaissance pour un lieu unique et extraordinaire . 

Suarez Suarez | w_freq: 5 - 6 | wiki_freq: 2897 - 1193 | sentence_idx: 919699 | align_1: 14-15 | align_2: 15-20 | entity: Suarez - M. Suarez |    So far as Spain is concerned , we had an official visit from Mr Suarez about two months ago , which went very well . ||| En ce qui concerne l’ Espagne , nous avons reçu la visite officielle de M. Suarez , il y a environ deux mois , visite qui s’ est très bien passée . 

2.00 2,00 | w_freq: 4 - 2 | wiki_freq: 1915 - 229 | sentence_idx: 919843 | align_1: 9-12 | align_2: 10-16 | entity: Between 1.00 and 2.00 - none |    There are simply many fractions : Between 1.00 and 2.00 are 99 fractions . ||| Il y a tout simplement beaucoup de fractions : entre 1,00 et 2,00 , il y a 99 fractions . 

Consciousness Conscience | w_freq: 93 - 125 | wiki_freq: 3173 - 761 | sentence_idx: 920117 | align_1: 14-13 | align_2: 15-17 | entity: none - Conscience de l’ Arbre |    I wish to access your energy of unity and become one with the Tree Consciousness . ||| Je souhaite accéder à votre énergie d’ unité et devenir un avec la Conscience de l’ Arbre . 

Moksha Moksha | w_freq: 2 - 3 | wiki_freq: 782 - 52 | sentence_idx: 921420 | align_1: 9-8 | align_2: 10-12 | entity: Moksha - Moksha |    Some people say , “ Sir , I want Moksha … but why ? ” ||| Certains disent , " Monsieur , je veux Moksha ... ( libération ) mais pourquoi ? " 

Magdeburg Magdeburg | w_freq: 5 - 3 | wiki_freq: 6360 - 232 | sentence_idx: 925130 | align_1: 6-9 | align_2: 7-13 | entity: Magdeburg - Magdeburg |    And What other good places except Magdeburg are worth playing ? ||| Et quels sont les autres bons lieux , excepté Magdeburg , qui en valent la peine ? 

Lot Loth | w_freq: 113 - 5 | wiki_freq: 9628 - 579 | sentence_idx: 928335 | align_1: 4-6 | align_2: 5-11 | entity: none - Loth |    “ The folk of Lot rejected warnings . ||| [ 33 ] Le peuple de Loth , lui aussi , traita Nos avertissements de mensonges . 

CIIA CIIA | w_freq: 1 - 1 | wiki_freq: 35 - 5 | sentence_idx: 936082 | align_1: 3-3 | align_2: 4-7 | entity: CIIA - CIIA |    However , the CIIA never strayed from its independent and non-partisan roots . ||| Pourtant , le CIIA ne s’ est jamais départi de ses racines indépendantes et non-partisanes . 

Draper Draper | w_freq: 9 - 7 | wiki_freq: 7847 - 871 | sentence_idx: 938145 | align_1: 3-9 | align_2: 4-13 | entity: John Draper - John Draper |    Lifeline director John Draper shared with the press : " We did n’t see numbers like this in 2008 or 2012 . ||| Le directeur de la ligne de vie , John Draper , il a partagé avec la presse : “ Nous n' avons pas vu des chiffres comme cela dans 2008 o 2012 . 

Rafah Rafah | w_freq: 15 - 14 | wiki_freq: 1014 - 232 | sentence_idx: 938820 | align_1: 7-8 | align_2: 8-14 | entity: Rafah - Rafah |    The person who shot the girl in Rafah did n't see ? ||| Celui qui a tiré sur la fillette à Rafah , lui non plus n’ a pas vu ? 

Fonda fonda | w_freq: 10 - 5 | wiki_freq: 4350 - 7814 | sentence_idx: 942223 | align_1: 6-7 | align_2: 7-11 | entity: Fonda - none |    Both activists , neither Redford nor Fonda got too deep into politics today except to note that we need “ hope ” and in a call to save the planet . ||| Les deux activistes , ni redford ni fonda , ne sont devenus trop profonds en politique aujourd'hui , sauf pour noter que nous avons besoin d ' « espoir » et d' un appel pour sauver la planète . 

Ask Posez | w_freq: 708 - 54 | wiki_freq: 5060 - 16 | sentence_idx: 945278 | align_1: 0-0 | align_2: 1-5 | entity: none - Posez |    Ask yourself—what is it about your education and experience that would allow you to meet the challenges of the open job position ? ||| Posez -vous la question : qu`en est -il de votre éducation et de votre expérience qui vous permettraient de relever les défis du poste de travail ouvert ? 

Archondis Archondis | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 947172 | align_1: 6-7 | align_2: 7-11 | entity: Matteo Archondis - Matteo Archondis |    But a young Italian student Matteo Archondis used it in a way more creative way . ||| Mais un jeune étudiant italien , Matteo Archondis , l’ a utilisé d’ une manière plus créative . 

Prophet Prophète | w_freq: 229 - 178 | wiki_freq: 9638 - 1698 | sentence_idx: 949929 | align_1: 5-5 | align_2: 6-9 | entity: Prophet - Prophète |    The Muslims ( excepting the Prophet and some of his companions ) started fleeing and I too , fled with them . ||| Les musulmans , excepté le Prophète ( saws ) et quelques Compagnons , commençaient à s’ enfuir , moi aussi je me suis enfui avec eux . 

Join Joins | w_freq: 169 - 2 | wiki_freq: 1607 - 10 | sentence_idx: 953299 | align_1: 0-0 | align_2: 1-4 | entity: none - Joins |    Join this revolution and be your own bank . ||| Joins - toi à cette révolution et sois ta propre banque . 

S-7 S-7 | w_freq: 2 - 1 | wiki_freq: 69 - 5 | sentence_idx: 956228 | align_1: 8-11 | align_2: 9-16 | entity: Bill S-7 - S-7 |    That country passed a law similar to Bill S-7 about five or six years ago . ||| Ce pays a adopté une loi similaire au projet de loi S-7 , il y a environ cinq ou six ans . 

P9 P9 | w_freq: 4 - 4 | wiki_freq: 162 - 36 | sentence_idx: 960637 | align_1: 0-0 | align_2: 1-4 | entity: none - P9 |    P9 is not bad but it 's the most frustrating place , just outside the points . ||| P9 , ce n' est pas mauvais mais c' est la place la plus frustrante , juste en dehors des points . 

SM3E SM3E | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 963978 | align_1: 13-16 | align_2: 14-20 | entity: SM3E - SM3E |    For the operation and maintenance of the system , we immediately thought of SM3E as we had already worked with them as part of the Rhyviere 1 project . ||| Pour l’ exploitation et la maintenance du système , nous avons tout de suite pensé à SM3E comme opérateur , car nous avions déjà travaillé avec eux dans le cadre du projet Rhyviere 1 . 

Souls Souls | w_freq: 33 - 7 | wiki_freq: 8753 - 981 | sentence_idx: 967163 | align_1: 7-6 | align_2: 8-11 | entity: none - Beyond : Two Souls |    Remember Heavy Rain and Beyond : Two Souls ? ||| Heavy Rain et Beyond : Two Souls sont de ceux -là . 

E-80 E-80 | w_freq: 21 - 21 | wiki_freq: 10 - 5 | sentence_idx: 967561 | align_1: 0-0 | align_2: 1-7 | entity: none - E-80 |    E-80 Cancer spirit somewhere : you can just feel that the devil 's shadow . ||| E-80 Il y a l’ esprit du cancer quelque part ; on peut sentir que c’ est l’ ombre de ce démon . 

IMF FMI | w_freq: 320 - 314 | wiki_freq: 7216 - 2355 | sentence_idx: 968250 | align_1: 4-7 | align_2: 5-13 | entity: IMF - FMI |    Italy ’s request for IMF monitoring of its policies is a good example of this . ||| La demande adressée par l’ Italie au FMI pour qu’ il réalise un suivi de ses politiques en constitue un bon exemple . 

Brigades Brigades | w_freq: 10 - 8 | wiki_freq: 7180 - 1998 | sentence_idx: 970815 | align_1: 9-13 | align_2: 10-17 | entity: Brigades - Brigades |    The Italian government praised the move , and the Brigades praised the Italians . ||| Le gouvernement italien a fait l’ éloge de cette initiative , et les Brigades ont fait l’ éloge des Italiens . 

Daesh Daesh | w_freq: 79 - 41 | wiki_freq: 371 - 205 | sentence_idx: 970955 | align_1: 2-1 | align_2: 3-6 | entity: Daesh - Daesh |    Why is Daesh not a specific threat for you ? ||| Pourquoi Daesh ne représente -t -il pas une menace spécifique pour vous ? 

Check Jetez | w_freq: 236 - 65 | wiki_freq: 4482 - 32 | sentence_idx: 976130 | align_1: 0-0 | align_2: 1-4 | entity: none - Jetez |    Check out our managed portfolios or compare individual funds . ||| Jetez un coup d’ œil à nos portefeuilles gérés ou comparez les fonds individuels . 

RCCG RCCG | w_freq: 1 - 1 | wiki_freq: 25 - 1 | sentence_idx: 978588 | align_1: 16-23 | align_2: 17-28 | entity: RCCG - RCCG |    “ Do n’t ever marry outside the church and you have no reason to marry outside RCCG . ||| « Ne vous mariez jamais à l’ extérieur de l’ église et vous n’ avez aucune raison de vous marier en dehors du RCCG ( son église ) . 

G8 G8 | w_freq: 95 - 104 | wiki_freq: 2647 - 833 | sentence_idx: 984533 | align_1: 11-11 | align_2: 12-16 | entity: G8 - G8 |    For example , leaders of economically powerful countries , the so-called G8 , but his words heard . ||| Par exemple , les dirigeants des pays économiquement puissants , le G8 a soi - disant , mais ses paroles entendues . 

Shreveport Shreveport | w_freq: 5 - 5 | wiki_freq: 5370 - 482 | sentence_idx: 987184 | align_1: 12-11 | align_2: 13-16 | entity: Shreveport - Shreveport |    She said , " You 'll have your first service then in Shreveport , then you call me afterwards . " ||| Elle a dit : « Tu auras ton premier service à Shreveport à ce moment -là , alors appelle -moi après cela . » 

Tajani Tajani | w_freq: 14 - 14 | wiki_freq: 146 - 39 | sentence_idx: 990914 | align_1: 6-7 | align_2: 7-11 | entity: Antonio Tajani - Antonio Tajani |    President of the European Parliament Antonio Tajani welcomed these results , which he described as “ very encouraging ” , for the first time “ since the beginning of the crisis in 2007 ” . ||| Le président du Parlement européen , Antonio Tajani , s’ est félicité de ces résultats , qu’ il a qualifiés de « très encourageants » pour la première fois « depuis le début de la crise en 2007 » . 

