vigilant vigilant | w_freq: 119 - 66 | wiki_freq: 1325 - 526 | sentence_idx: 1173 | align_1: 8-10 | align_2: 9-15 |    NS : Firstly , we need to be vigilant in all spaces . ||| NS : En premier lieu , nous devons rester très vigilant - e - s dans tous les espaces . 

Belts ceintures | w_freq: 5 - 42 | wiki_freq: 699 - 2614 | sentence_idx: 886749 | align_1: 28-32 | align_2: 29-37 |    O my brothers and sisters , one evidence of the strength of the Resistance is that in the past , the Israeli enemy always sought to establish Security Belts inside Lebanon . ||| O mes frères et sœurs , l’ une des preuves de la force de la Résistance , c’ est que par le passé , l’ ennemi israélien cherchait toujours à établir des ceintures de sécurité à l’ intérieur du Liban . 

Secondly Deuxièmement | w_freq: 389 - 745 | wiki_freq: 5254 - 989 | sentence_idx: 886906 | align_1: 0-0 | align_2: 1-4 |    Secondly is the issue of refusing to have sex with your husband after he ’s looked at porn . ||| Deuxièmement , il y a la question de refuser d' avoir des relations sexuelles avec son mari après avoir regardé du porno . 

wonderful miraculeusement | w_freq: 1134 - 40 | wiki_freq: 14475 - 1491 | sentence_idx: 888166 | align_1: 1-1 | align_2: 2-5 |    How wonderful to realize that Peace and Freedom begin with me . ||| Comment miraculeusement , c' est de découvrir que la paix et la liberté commencent en moi . 

A.2.10 A.2.10 | w_freq: 2 - 2 | wiki_freq: 0 - 0 | sentence_idx: 888192 | align_1: 0-0 | align_2: 1-4 |    A.2.10 What will abolishing hierarchy mean and achieve ? ||| A.2.10 – Qu’ est -ce que la suppression de la hiérarchie signifiera et amènera ? 

infringement violation | w_freq: 54 - 367 | wiki_freq: 11830 - 6355 | sentence_idx: 890284 | align_1: 18-21 | align_2: 19-26 |    [ 28 ] The sixth Common Issue was whether any or all of the alleged uses constitute copyright infringement . ||| [ 28 ] La sixième question commune consistait à savoir si l’ une ou l’ ensemble des utilisations reprochées constituait une violation du droit d’ auteur . 

breakthroughs percées | w_freq: 41 - 32 | wiki_freq: 1999 - 2315 | sentence_idx: 890299 | align_1: 12-13 | align_2: 13-21 |    Transforming Lives : Today and Tomorrow is our solution to accelerating diabetes breakthroughs in partnership with the community we support . ||| Transformer des vies : aujourd’hui et demain est notre solution pour accélérer les percées de la recherche sur le diabète , en partenariat avec la communauté que nous appuyons . 

Whatever Quelle | w_freq: 531 - 1158 | wiki_freq: 7726 - 2374 | sentence_idx: 890916 | align_1: 0-0 | align_2: 1-4 |    Whatever the reason it is heartening that the government has , at least as of this week , changed its approach . ||| Quelle qu’ en soit la raison , il est encourageant de constater que le gouvernement a , du moins depuis cette semaine , modifié son approche . 

Anyway Quoi | w_freq: 205 - 506 | wiki_freq: 1705 - 4268 | sentence_idx: 891234 | align_1: 0-0 | align_2: 1-5 |    Anyway , these 5 books will give you 80 % of the knowledge you ’ll need to get started with building a GREAT life for yourself . ||| Quoi qu’ il en soit , ces 5 livres vous donneront 80 % des connaissances dont vous aurez besoin pour commencer à construire une GRANDE vie pour vous - même . 

humble humbles | w_freq: 225 - 45 | wiki_freq: 8658 - 832 | sentence_idx: 892410 | align_1: 10-7 | align_2: 11-13 |    “ Lord , You have heard the desire of the humble . ” ||| ” Seigneur tu entends les souhaits des humbles , tu leur rends courage . 

pathology pathologie | w_freq: 48 - 51 | wiki_freq: 8661 - 3706 | sentence_idx: 893392 | align_1: 9-10 | align_2: 10-15 |    “ The evidence is in the hands of UCLA pathology and my experts . ||| « La preuve est dans les mains du service de pathologie de l ’ UCLA et de mes experts . 

audit audit | w_freq: 251 - 227 | wiki_freq: 11454 - 3000 | sentence_idx: 893400 | align_1: 16-16 | align_2: 17-21 |    It is super urgent that you sign tomorrow because I have the pressure of the internal audit discovered that we did not have a contract together . ||| Il est super urgent que tu le signes demain car j’ ai la pression de l’ audit interne qui s’ est aperçu que nous n’ avions pas de contrat ensemble . 

miraculous miraculeux | w_freq: 129 - 58 | wiki_freq: 4794 - 770 | sentence_idx: 893461 | align_1: 3-3 | align_2: 4-7 |    It is almost miraculous to see directly what will happen to our Sun in a few billion years " . ||| C’ est presque miraculeux d’ arriver enfin à voir directement ce qui va arriver à notre Soleil dans quelques milliards d’ années » . 

fascism fascisme | w_freq: 146 - 175 | wiki_freq: 7090 - 4690 | sentence_idx: 894028 | align_1: 22-24 | align_2: 23-29 |    What is more , we can not forget that since 1920 ten full years have elapsed , and since the advent of fascism eight years . ||| Qui plus est , nous ne devons pas oublier qu' il s' est écoulé dix années entières depuis 1920 et depuis l' avènement du fascisme , il y a huit ans . 

Dialogue dialogue | w_freq: 139 - 1488 | wiki_freq: 7398 - 13302 | sentence_idx: 895005 | align_1: 3-1 | align_2: 4-10 |    The Human Rights Dialogue continued on 2 April with a meeting with the civil society organizations . ||| Le dialogue sur les droits de l’ homme s’ est poursuivi le 2 avril par une rencontre avec les organisations de la société civile . 

Regardless Quoi | w_freq: 231 - 506 | wiki_freq: 8260 - 4268 | sentence_idx: 895694 | align_1: 0-0 | align_2: 1-5 |    Regardless , the idea of continuing to see the counselor is to reach a point where you both have an understanding of the situation despite the end result . ||| Quoi qu’ il en soit , l’ idée de continuer à voir le conseiller est de parvenir à un point où vous comprenez tous les deux la situation malgré le résultat final . 

Maybe Peut | w_freq: 1086 - 2306 | wiki_freq: 6736 - 3705 | sentence_idx: 895972 | align_1: 5-5 | align_2: 6-9 |    Q : ( Keit ) Maybe you can ask about movies ? ||| Q : ( Keit ) Peut - être que vous pouvez poser des questions sur les films   ? 

Consulate Consulat | w_freq: 20 - 12 | wiki_freq: 5118 - 3423 | sentence_idx: 896093 | align_1: 23-19 | align_2: 24-25 |    To enter to Ivory Coast , according to your Country , it will be important for you to contact in advance Ivory Coast Consulate . ||| Pour entrer en Côte d’ Ivoire , selon votre Pays , il sera important de vous adresser préalablement au Consulat de la Côte d’ Ivoire . 

hopefully espère | w_freq: 189 - 1846 | wiki_freq: 3850 - 7846 | sentence_idx: 897296 | align_1: 4-6 | align_2: 5-10 |    The ambitious plan , hopefully launching within the next 10 years , involves both an orbiter and a lander . ||| Le plan ambitieux , dont on espère qu’ il sera lancé au cours des dix prochaines années , fait appel à la fois à un orbiteur et à un atterrisseur . 

Please S’ | w_freq: 1238 - 1406 | wiki_freq: 10571 - 5625 | sentence_idx: 897690 | align_1: 1-1 | align_2: 2-6 |    “ Please send us books when you get back to London ” . ||| « S’ il te plaît , envoie -nous des livres quand tu rentreras à Londres . » 

Hittite Hittite | w_freq: 4 - 2 | wiki_freq: 3785 - 113 | sentence_idx: 898270 | align_1: 12-22 | align_2: 13-27 |    manner , it was ; it was in the head of a Hittite ten thousand years ago . ||| Et en vérité , d’ une certaine manière , c’ était bien le cas ; il appartenait à la tête d’ un Hittite d’ il y a dix mille ans . 

Syriza Syriza | w_freq: 93 - 95 | wiki_freq: 532 - 44 | sentence_idx: 898287 | align_1: 3-1 | align_2: 4-7 |    And even if Syriza never fully clarified its position on the euro , it did always reject the logic of “ the euro at any price . ” ||| Et Syriza , s’ il n’ avait jamais clarifié sa position sur l’ euro , avait toujours refusé la logique de « l’ euro à tout prix » . 

formulate formuler | w_freq: 86 - 116 | wiki_freq: 4392 - 1827 | sentence_idx: 898403 | align_1: 12-15 | align_2: 13-20 |    Answering the questions in these eight key business plan sections helps you formulate specific business goals . ||| Répondre aux questions figurant dans ces huit sections clés du business plan vous aide à formuler des objectifs d’ affaires spécifiques . 

fascism fascisme | w_freq: 146 - 175 | wiki_freq: 7090 - 4690 | sentence_idx: 898983 | align_1: 2-2 | align_2: 3-7 |    Why did fascism not seize power in those countries ( except in Italy , of course ) ? ||| Pourquoi le fascisme ne s’ est -il pas emparé du pouvoir dans ces pays ( à l’ exception de l’ Italie , naturellement ) ? 

Buying Acheter | w_freq: 78 - 69 | wiki_freq: 909 - 41 | sentence_idx: 899110 | align_1: 0-0 | align_2: 1-5 |    Buying dollar bills for $ 1.10 is not good business for those who stick around . " ||| Acheter des billets d’ un dollar pour 1,10 $ n’ est pas une bonne affaire pour ceux qui restent dans les parages . » 

disapproval désapprobation | w_freq: 13 - 15 | wiki_freq: 6272 - 971 | sentence_idx: 899187 | align_1: 13-14 | align_2: 14-18 |    Do not fear those who might “ kill ” by their criticism or disapproval of our rectitude of conscience . ||| -Ne craignons pas ceux qui peuvent “ tuer ” par leur critique ou leur désapprobation à l’ égard de la rectitude de notre conscience . 

bylaws règlements | w_freq: 5 - 428 | wiki_freq: 2251 - 5924 | sentence_idx: 902801 | align_1: 20-23 | align_2: 21-28 |    She mentions that they have tried everything , and I know other communities have too , with regard to noise bylaws and that studies have been done . ||| Elle dit qu' ils ont tout essayé , et je sais que d' autres collectivités l' ont fait également , du côté des règlements sur le bruit , et que des études ont été effectuées . 

Please S’ | w_freq: 1238 - 1406 | wiki_freq: 10571 - 5625 | sentence_idx: 904113 | align_1: 0-0 | align_2: 1-5 |    Please subscribe to tidal . ” ||| S’ il vous plait , souscrivez à Tidal . » 

mysteries mystères | w_freq: 169 - 177 | wiki_freq: 6785 - 3127 | sentence_idx: 904391 | align_1: 14-18 | align_2: 15-22 |    We wo n’t lie ; South America is for us an area full of mysteries . ||| Nous n’ allons pas vous mentir , l’ Amérique du Sud est pour nous un territoire plein de mystères et d’ inconnues . 

turbulence turbulence | w_freq: 25 - 10 | wiki_freq: 5035 - 955 | sentence_idx: 904665 | align_1: 7-10 | align_2: 8-14 |    “ The greatest danger in times of turbulence is not the turbulence― ||| « Le plus grand danger , dans les moments de turbulence , ce n’ est pas la turbulence , 

Tesla Tesla | w_freq: 224 - 227 | wiki_freq: 8862 - 2254 | sentence_idx: 906879 | align_1: 1-1 | align_2: 2-5 |    Nikola Tesla never married or fell in love , despite numerous women “ madly in love with him ” . ||| Nikola Tesla ne s’ est jamais marié ou tombé amoureux , en dépit de nombreuses femmes « follement amoureuses de lui » . 

smelled senti | w_freq: 5 - 383 | wiki_freq: 757 - 1201 | sentence_idx: 907922 | align_1: 9-13 | align_2: 10-17 |    So I have to go back to where I smelled the bear the first time , and take it from there . " ||| Donc , il faut que je retourne à l’ endroit où j’ ai senti l’ odeur de cet ours la première fois , et que je reparte de là . ” 

yogi yogi | w_freq: 31 - 25 | wiki_freq: 951 - 222 | sentence_idx: 907945 | align_1: 18-22 | align_2: 19-28 |    We do n’t even deserve to be your disciples because we saw just one siddhi and called that yogi a perfected one too . ” ||| Nous ne méritons même pas d’ être vos disciples parce que nous avons juste vu un siddhi et avons dit de ce yogi qu’ il était lui aussi un être parfait . ” 

E-85 E-85 | w_freq: 13 - 14 | wiki_freq: 22 - 3 | sentence_idx: 908344 | align_1: 0-0 | align_2: 1-6 |    E-85 Anybody in here believe that you can be healed right now ? ||| E-85 Y a -t -il quelqu' un ici qui croit qu' il peut être guéri à l' instant même ? 

guarantor garant | w_freq: 18 - 31 | wiki_freq: 1102 - 1581 | sentence_idx: 910956 | align_1: 5-4 | align_2: 6-8 |    The judge as the first guarantor of International Law in the domestic legal order – Corpus of the Council of Europe Law that the judge must know and implement ||| Le juge comme premier garant de l’ application du droit international dans l’ ordre juridique interne - Corpus du droit du Conseil de l’ Europe que le juge doit connaître et appliquer 

Remember Rappelez | w_freq: 1056 - 735 | wiki_freq: 9753 - 54 | sentence_idx: 911643 | align_1: 0-0 | align_2: 1-5 |    Remember that price is not always the most important factor , contrary to what the client or boss may say . ||| Rappelez -vous un point , le prix n’ est pas toujours le facteur le plus important , contrairement à ce que le client ou le patron peut dire . 

hymn hymne | w_freq: 15 - 50 | wiki_freq: 14112 - 9695 | sentence_idx: 912017 | align_1: 11-11 | align_2: 12-16 |    And so it would certainly be possible to compose a peace hymn without believing in an eternal peace . ” ||| Et ainsi , il serait sans doute possible de composer un hymne à la paix , sans croire à la paix éternelle " . 

E-56 E-56 | w_freq: 14 - 15 | wiki_freq: 2 - 3 | sentence_idx: 912292 | align_1: 0-0 | align_2: 1-4 |    E-56 No wonder they could n't see Him . ||| E-56 Ce n’ est pas étonnant qu’ ils n’ aient pas pu Le voir . 

Gurdjieff Gurdjieff | w_freq: 10 - 10 | wiki_freq: 1109 - 250 | sentence_idx: 912509 | align_1: 4-3 | align_2: 5-8 |    ( Joe ) Did Gurdjieff not describe the reason for the work on the self ? ||| ( Joe ) Gurdjieff n’ a -t -il pas décrit la raison du travail sur soi   ? 

cooperate coopérer | w_freq: 314 - 276 | wiki_freq: 11452 - 1987 | sentence_idx: 912613 | align_1: 7-8 | align_2: 8-12 |    Gabriele added , “ The suggestion to cooperate internationally is interesting . ||| Gabriele a ajouté : « La proposition de coopérer à l’ échelle internationale est intéressante . 

glory gloire | w_freq: 461 - 472 | wiki_freq: 14479 - 12100 | sentence_idx: 912986 | align_1: 7-9 | align_2: 8-16 |    ‘ We have seen his glory ; glory as of the only Son of God . ’ ||| « Et nous avons vu sa gloire ; sa gloire » , dis -je , « comme du Fils unique du Père » . 

glory gloire | w_freq: 461 - 472 | wiki_freq: 14479 - 12100 | sentence_idx: 912987 | align_1: 7-9 | align_2: 8-16 |    ‘ We have seen his glory ; glory as of the only Son of God . ’ ||| " Et nous avons vu sa gloire ; sa gloire " , dis -je , " comme du Fils unique du Père " . 

earthquakes tremblements | w_freq: 136 - 126 | wiki_freq: 14386 - 2420 | sentence_idx: 914193 | align_1: 3-4 | align_2: 4-8 |    - 2 more earthquakes but other than this morning again in the deeper layers ! ||| - 2 plus les tremblements de terre , mais à part ce matin encore dans les couches les plus profondes ! 

conveying porteur | w_freq: 13 - 56 | wiki_freq: 4217 - 8362 | sentence_idx: 914438 | align_1: 5-6 | align_2: 6-12 |    Further , each Greek word conveying expectancy is used of eschatological events that everyone admits ca n’t occur at any moment : ||| Plus encore , chaque mot grec porteur de l’ idée de l’ attente est utilisé pour des événements eschatologiques dont chacun admet qu’ ils ne peuvent pas survenir à tout moment : 

Anyway Quoi | w_freq: 205 - 506 | wiki_freq: 1705 - 4268 | sentence_idx: 915778 | align_1: 0-0 | align_2: 1-5 |    Anyway , very few people will Google the meaning of all this . ||| Quoi qu’ il en soit , très peu de gens vont chercher sur Google le sens de tout cela . 

Truly Certainement | w_freq: 125 - 115 | wiki_freq: 1959 - 177 | sentence_idx: 915949 | align_1: 0-0 | align_2: 1-6 |    Truly in vain is salvation hoped for from the hills , and from the multitude of mountains : truly in the LORD our God is the salvation of Israel . ||| Certainement [ on s' attend ] en vain aux collines , [ et ] à la multitude des montagnes ; mais c' est en l' Eternel notre Dieu qu' est la délivrance d' Israël . 

Truly Certainement | w_freq: 125 - 115 | wiki_freq: 1959 - 177 | sentence_idx: 915950 | align_1: 0-0 | align_2: 1-6 |    Truly in vain is salvation hoped for from the hills , and from the multitude of mountains : truly in the LORD our God is the salvation of Israel . ||| Certainement [ on s' attend ] en vain aux collines , [ et ] à la multitude des montagnes ; mais c' est en l' Eternel notre Dieu qu' est la délivrance d' Israël . 

scanner scanner | w_freq: 64 - 88 | wiki_freq: 3878 - 1621 | sentence_idx: 917420 | align_1: 15-17 | align_2: 16-21 |    As we said above , there are a few other reasons to use the fingerprint scanner . ||| Comme nous l’ avons dit plus haut , il y a quelques autres raisons d’ utiliser le scanner d’ empreintes digitales . 

Ask Demandez | w_freq: 611 - 442 | wiki_freq: 5060 - 67 | sentence_idx: 919913 | align_1: 1-0 | align_2: 2-4 |    " Ask what they are listening to . ||| Demandez - leur alors ce qu' ils entendent par là . 

indictment accusation | w_freq: 31 - 135 | wiki_freq: 9668 - 10582 | sentence_idx: 919993 | align_1: 3-3 | align_2: 4-9 |    E-68 And my indictment is against the churches of today . ||| E-68 Et l’ accusation que je porte , c’ est contre les églises d’ aujourd’hui . 

Ombudsman Ombudsman | w_freq: 76 - 28 | wiki_freq: 4691 - 78 | sentence_idx: 920184 | align_1: 2-1 | align_2: 3-6 |    The Ontario Ombudsman investigated 1,400 complaints from people and families , beginning in 2012 . ||| L’ Ombudsman de l’ Ontario a enquêté sur 1 400 plaintes déposées par des personnes et des familles , et ce , à partir de 2012 . 

deodorants déodorants | w_freq: 6 - 7 | wiki_freq: 155 - 89 | sentence_idx: 920473 | align_1: 8-9 | align_2: 9-14 |    Now that we have discussed problems with aluminum deodorants , we will discuss the main reason why people use deodorant – body odor . ||| Maintenant que nous avons discuté de problèmes avec les déodorants à base d’ aluminium , nous allons discuter la principale pour la quelle raison les gens utilisent le déodorant – l’ odeur corporelle . 

Norvinic Norvinic | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 920690 | align_1: 3-3 | align_2: 4-7 |    In 2004 , Norvinic acquired other trucks to increase its fleet to four vehicles . ||| En 2004 , Norvinic a fait l’ acquisition d’ autres camions pour augmenter sa flotte à 4 véhicules . 

Dialogues Dialogues | w_freq: 12 - 11 | wiki_freq: 1669 - 724 | sentence_idx: 921542 | align_1: 6-5 | align_2: 7-10 |    The first of these “ Trade Dialogues ” was held at the WTO 's headquarters in May 2016 at the request of the private sector . ||| Le premier de ces “ Dialogues sur le commerce ” s’ est tenu au siège de l’ OMC en mai 2016 , à la demande du secteur privé . 

Improve Améliorer | w_freq: 79 - 81 | wiki_freq: 615 - 111 | sentence_idx: 921763 | align_1: 0-0 | align_2: 1-5 |    Improve URL structure to make it descriptive ||| Améliorer la structure de l’ URL pour la rendre descriptive 

Verizon Verizon | w_freq: 30 - 30 | wiki_freq: 5644 - 372 | sentence_idx: 923393 | align_1: 7-9 | align_2: 8-13 |    12 The legal predecessors of nexnet and Verizon also concluded a ‘ data protection and confidentiality agreement ’ which provides : ||| 12 Les prédécesseurs en droit de nexnet et de Verizon ont , en outre , conclu un « accord sur la protection des données et la confidentialité » qui prévoit : 

sunset coucher | w_freq: 11 - 140 | wiki_freq: 8291 - 4915 | sentence_idx: 924251 | align_1: 9-15 | align_2: 10-20 |    What if I can have a sunrise and a sunset inside the building and if I can get the moon and stars out ? ||| Que se passe -t -il si je peux avoir un lever de soleil et un coucher de soleil à l’ intérieur du bâtiment et si je peux avoir la lune et les étoiles en sortant ? 

mercy miséricorde | w_freq: 338 - 263 | wiki_freq: 9717 - 1275 | sentence_idx: 924576 | align_1: 10-10 | align_2: 11-14 |    Even an heritage unto Israel his servant : for his mercy endures for ever . ||| En héritage à Israël , son serviteur , Car sa miséricorde [ checed ] dure à toujours ! 

orphanage orphelinat | w_freq: 34 - 34 | wiki_freq: 9848 - 3466 | sentence_idx: 926107 | align_1: 7-5 | align_2: 8-12 |    – Tell us about the monastery ’s orphanage please . ||| - Parlez -nous de l' orphelinat du monastère , s' il vous plaît . 

E-5 E-5 | w_freq: 26 - 29 | wiki_freq: 264 - 32 | sentence_idx: 929956 | align_1: 0-0 | align_2: 1-4 |    E-5 Now , this brother , the brethren forgot it , but he is holding a meeting here in your city . ||| E-5 ( 3 ) Eh bien , ce frère , les frères avaient oublié cela , mais il tient une série de réunions ici dans votre ville . 

False contrefaçons | w_freq: 73 - 29 | wiki_freq: 7991 - 551 | sentence_idx: 930476 | align_1: 2-3 | align_2: 3-7 |    Beware of False Prophets , You Will Know Them By Their Fruits ||| discerner de ses contrefaçons : « Les prophètes , vous les reconnaîtrez à leurs fruits . 

Upgrading Mise | w_freq: 7 - 113 | wiki_freq: 456 - 7832 | sentence_idx: 931013 | align_1: 0-0 | align_2: 1-4 |    Upgrading Acquia.com from Drupal 7 to Drupal 8 : If We Knew Then What We Know Now ||| Mise à jour d’ Acquia.com de Drupal 7 à Drupal 8 : si nous avions su à ce moment -là ce que nous savons maintenant 

overlook négligez | w_freq: 53 - 38 | wiki_freq: 3417 - 4 | sentence_idx: 932136 | align_1: 5-4 | align_2: 6-10 |    # 31 : Do n’t overlook good preparation before announcing a major decision or a change in policy . ||| # 31 : Ne négligez pas la valeur d’ une bonne préparation avant d’ annoncer une décision majeure ou un changement de politique . 

opt-in décider | w_freq: 15 - 1110 | wiki_freq: 552 - 7467 | sentence_idx: 932775 | align_1: 7-11 | align_2: 8-16 |    Individuals within the EU / EEA must opt-in to receive direct marketing communications . ||| Les personnes au sein de l’ UE / l’ EEE doivent décider d’ eux - mêmes de recevoir des communications de marketing direct . 

threaten menaceraient | w_freq: 294 - 8 | wiki_freq: 11700 - 51 | sentence_idx: 933445 | align_1: 7-6 | align_2: 8-14 |    We knew the White Walkers would somehow threaten the Seven Kingdoms as they never had before — but we had to wait . ||| Nous savions que les Marcheurs Blancs menaceraient d’ une manière ou d’ une autre les Sept Royaumes comme jamais auparavant – mais nous devions attendre . 

Anyway Quoi | w_freq: 205 - 506 | wiki_freq: 1705 - 4268 | sentence_idx: 935160 | align_1: 0-0 | align_2: 1-5 |    Anyway , the routine of making my own coffee each morning has become a good signal for my brain . ||| Quoi qu’ il en soit , la préparation de mon café chaque matin est devenue un bon signal pour mon cerveau . 

surely certainement | w_freq: 644 - 3026 | wiki_freq: 6558 - 12866 | sentence_idx: 935508 | align_1: 8-8 | align_2: 9-13 |    One of my best moments of 2014 was surely organizing and living Agile Tour Brussels ( www.atbru.be ) . ||| Un de mes meilleurs moments de 2014 aura certainement été le fait d’ organiser et de vivre Agile Tour Brussels ( www.atbru.be ) . 

cries cris | w_freq: 76 - 86 | wiki_freq: 5757 - 4404 | sentence_idx: 936935 | align_1: 2-2 | align_2: 3-6 |    Beneath the cries lie cases of domestic violence and/or disappointment with the justice system . ||| Derrière ces cris , il y a les cas de violence domestique et / ou la déception vis-à-vis du système judiciaire . 

unfriendly inamical | w_freq: 4 - 1 | wiki_freq: 1466 - 23 | sentence_idx: 937059 | align_1: 21-21 | align_2: 22-25 |    " I would like people to think twice before imagining that I would be capable of signing a text that is unfriendly to Israel . ||| « J’ aimerai que les gens réfléchissent deux fois avant de s’ imaginer que je serais capable de signer un texte inamical à l’ encontre d’ Israël . 

wickedness malice | w_freq: 14 - 12 | wiki_freq: 992 - 486 | sentence_idx: 937509 | align_1: 4-4 | align_2: 5-9 |    On account of the wickedness of their deeds I will drive them out of My house . ||| A cause de la malice [ roa ` ] de leurs oeuvres , Je les chasserai de ma maison . 

hopefully espérons | w_freq: 189 - 1025 | wiki_freq: 3850 - 195 | sentence_idx: 938115 | align_1: 17-18 | align_2: 18-23 |    Fortunately , the first step to better sleep is recognizing its importance — an objective that has hopefully been achieved . ||| Heureusement , la première étape pour mieux dormir est de reconnaître son importance - un objectif qui , espérons - le , a été atteint . 

Monitor Observatoire | w_freq: 48 - 50 | wiki_freq: 9095 - 11086 | sentence_idx: 940878 | align_1: 2-2 | align_2: 3-7 |    • The Monitor has identified at least 15 countries that have transferred more than 50 types of cluster munitions to at least 60 other countries . ||| • L’ Observatoire des armes à sous-munitions a identifié au moins 15 pays qui ont transféré plus de 50 types d’ armes à sous-munitions vers au moins 60 autres pays . 

60th soixantième | w_freq: 26 - 6 | wiki_freq: 12171 - 717 | sentence_idx: 942463 | align_1: 3-10 | align_2: 4-14 |    On the [ 60th ] anniversary of the great suffering , the Palestinian people are determined to end this injustice . " ||| Lors de l’ anniversaire d’ une grande souffrance [ le soixantième anniversaire d’ Israël ] , le peuple palestinien est déterminé à mettre fin à cette injustice . " 

Especially Surtout | w_freq: 462 - 398 | wiki_freq: 6766 - 2849 | sentence_idx: 942634 | align_1: 0-0 | align_2: 1-4 |    Especially today , when it is so difficult to explain , to convince , to awaken the feeling amongst our fellow citizens that a united Europe is the way forward . ||| Surtout à l’ heure actuelle , lorsqu’ il est si difficile d’ expliquer , de convaincre , de réveiller chez nos concitoyens le sentiment qu’ une Europe unie représente la voie à suivre . 

certainty certitude | w_freq: 349 - 442 | wiki_freq: 8852 - 6826 | sentence_idx: 942878 | align_1: 7-7 | align_2: 8-11 |    First of all , think of the certainty please , of this blessing . ||| Tout d’ abord , réfléchissez à la certitude s’ il vous plait , à cette bénédiction . 

embassies ambassades | w_freq: 100 - 106 | wiki_freq: 6437 - 2602 | sentence_idx: 943882 | align_1: 3-5 | align_2: 4-10 |    As for Romanian embassies abroad , there has been a very great change . ||| En ce qui concerne les ambassades de Roumanie à l’ extérieur , il y a eu un changement très important . 

RtCW RtCW | w_freq: 1 - 1 | wiki_freq: 1 - 4 | sentence_idx: 944462 | align_1: 11-12 | align_2: 12-17 |    No real support from Activision , except a free copy of RtCW sent by them ! ||| Pas de véritable support d’ Activision , sauf une copie gratuite de RtCW qu’ ils m’ avaient envoyée ! 

E-36 E-36 | w_freq: 27 - 30 | wiki_freq: 2 - 2 | sentence_idx: 945746 | align_1: 0-0 | align_2: 1-5 |    E-36 Such a person and such a man , such a time and how they felt ... ||| E-36 ( 38 ) Une telle personne et un tel homme , un tel moment et comment ils ont senti ... 

Providing Donner | w_freq: 59 - 90 | wiki_freq: 1960 - 901 | sentence_idx: 946237 | align_1: 0-0 | align_2: 1-5 |    Providing basic information about legal rights and procedures ( 88.2 % ) ||| Donner de l’ information de base sur les droits et les procédures juridiques ( 88,2 % ) 

does—because oui | w_freq: 1 - 2328 | wiki_freq: 1 - 4477 | sentence_idx: 946786 | align_1: 2-2 | align_2: 3-7 |    But Israel does—because most of its Arab neighbors have not recognized it and because most of the Jews of the world prefer to live in other countries . ||| Mais Israël oui , parce que la plupart de ses voisins arabes ne l’ ont pas reconnu et parce que la plupart des Juifs du monde préfèrent vivre dans d’ autres pays . 

withstand résistera | w_freq: 88 - 9 | wiki_freq: 9936 - 203 | sentence_idx: 948812 | align_1: 10-9 | align_2: 11-13 |    When Sawako goes away to university , will their relationship withstand the distance ? ||| Quand Sawako ira à l' université , leur relation résistera -t -elle à la distance ? 

multiply multiplient | w_freq: 146 - 52 | wiki_freq: 3423 - 5245 | sentence_idx: 948935 | align_1: 4-4 | align_2: 5-9 |    FOURTHLY , why not multiply food in famine time ? ||| Quatrièmement , pourquoi ne multiplient -t -ils pas la nourriture en temps de famine ? 

recommending recommande | w_freq: 70 - 543 | wiki_freq: 6108 - 6843 | sentence_idx: 948984 | align_1: 4-5 | align_2: 5-9 |    So what I am recommending is not howto manage an agency , but something more radical : not hiring an agency at all . ||| Donc , ce que je recommande , ce n’ est pas la manière de gérer une agence , mais quelque chose de plus radical : De ne pas engager d’ agence du tout . 

counterparties contreparties | w_freq: 4 - 5 | wiki_freq: 273 - 368 | sentence_idx: 949062 | align_1: 5-7 | align_2: 6-11 |    Furthermore , most of our counterparties think that many customers will stay with their supplier , as is the case elsewhere in Europe . ||| De plus , la plupart de nos contreparties sont de l’ avis que de nombreux clients resteront chez leur fournisseur , comme c’ est le cas ailleurs en Europe . 

embargoes embargos | w_freq: 13 - 13 | wiki_freq: 430 - 113 | sentence_idx: 949381 | align_1: 7-6 | align_2: 8-11 |    Between 2004 and 2010 , 98 import embargoes were declared following health risks8 , proven or not . ||| Entre 2004 à 2010 , 98 embargos à l’ importation ont été décrétés suite à des risques sanitaires8 , qu’ ils soient avérés ou non . 

76:23 76:23 | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 950204 | align_1: 0-0 | align_2: 1-6 |    76:23 We have sent down to you the Quran at once . ||| 76:23 En vérité , c’ est Nous qui t’ avons révélé le Coran graduellement . 

hobby hobby | w_freq: 73 - 31 | wiki_freq: 9096 - 241 | sentence_idx: 950290 | align_1: 10-14 | align_2: 11-19 |    Instead , be creative and discuss something like a unique hobby . ||| Au lieu de cela , soyez créatif et discutez de quelque chose comme un hobby unique , par exemple . 

Wherever Quelque | w_freq: 166 - 417 | wiki_freq: 1855 - 4818 | sentence_idx: 951123 | align_1: 5-4 | align_2: 6-10 |    Blog / Help Desk / Wherever life takes you , friendly Lions will welcome you . ||| Blog / Aide / Quelque soit l’ endroit où la vie vous mène , des amis Lions vous accueilleront . 

