Zapatistas zapatistes | w_freq: 15 - 20 | wiki_freq: 512 - 189 | sentence_idx: 5237 | align_1: 1-3 | align_2: 2-7 | entity: Zapatistas - none |    We Zapatistas understood that there were other ways of struggling . ||| Nous , les zapatistes , nous avons compris qu’ il y avait d’ autres formes de lutte . 
1267 1267 | w_freq: 3 - 3 | wiki_freq: 1572 - 1095 | sentence_idx: 743936 | align_1: 16-20 | align_2: 17-24 | entity: 1267 - none |    Members also noted that in view of the latest political developments some measures imposed by resolutions 1267 and 1333 appear to have lost focus and shall have to be adjusted to new realities . ||| Ils ont également relevé que , compte tenu de l’ évolution politique récente , certaines mesures imposées par les résolutions 1267 ( 1999 ) et 1333 ( 2000 ) apparaissaient avoir perdu de leur pertinence et devaient être modifiées aux réalités nouvelles . 

1333 1333 | w_freq: 6 - 6 | wiki_freq: 1754 - 1293 | sentence_idx: 743936 | align_1: 18-25 | align_2: 19-29 | entity: 1333 - none |    Members also noted that in view of the latest political developments some measures imposed by resolutions 1267 and 1333 appear to have lost focus and shall have to be adjusted to new realities . ||| Ils ont également relevé que , compte tenu de l’ évolution politique récente , certaines mesures imposées par les résolutions 1267 ( 1999 ) et 1333 ( 2000 ) apparaissaient avoir perdu de leur pertinence et devaient être modifiées aux réalités nouvelles . 

Pizzaro Pizzaro | w_freq: 1 - 1 | wiki_freq: 55 - 19 | sentence_idx: 746068 | align_1: 18-14 | align_2: 19-18 | entity: Pizzaro - Pizzaro |    This one will bring back her to the castle of her beloved where she will have to face Pizzaro to protect a dangerous document . ||| Celle - ci la ramènera au château de son aimé où elle devra affronter Pizzaro , lui-même , pour protéger un document dangereux . 

Donbas Donbass | w_freq: 19 - 83 | wiki_freq: 2710 - 1571 | sentence_idx: 759929 | align_1: 6-6 | align_2: 7-11 | entity: Donbas - Donbass |    After that , the people of Donbas rightly thought : if they are the winners , we are the losers . ||| En conséquence , les habitants de Donbass ont , à juste titre , commencé à penser : s' ils sont les gagnants , nous sommes les perdants . 

Forget Oubliez | w_freq: 84 - 62 | wiki_freq: 4867 - 30 | sentence_idx: 763423 | align_1: 0-0 | align_2: 1-4 | entity: none - Oubliez l’ État |    Forget Nations : Cities Will Transform the Way We Conduct Foreign Affairs ||| Oubliez l’ État - nation : les villes transformeront la façon dont nous menons les affaires étrangères 

WebLog CarnetWeb | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 766208 | align_1: 13-15 | align_2: 14-19 | entity: WebLog - CarnetWeb |    However , on a wiki , there is less pressure than on a WebLog to respond quickly . ||| Cependant , sur un wiki , il y a moins de pression que sur un CarnetWeb ( blog ) pour répondre rapidement . 

Heinonen Heinonen | w_freq: 2 - 2 | wiki_freq: 155 - 49 | sentence_idx: 770525 | align_1: 3-4 | align_2: 4-8 | entity: Aarno Heinonen - Aarno Heinonen |    Very soon Aarno Heinonen realized that it was very difficult to move . ||| Très vite , Aarno Heinonen s’ est rendu compte qu’ il était très difficile de bouger . 

yesterday hier | w_freq: 720 - 851 | wiki_freq: 3562 - 1775 | sentence_idx: 771979 | align_1: 12-17 | align_2: 13-21 | entity: yesterday - none |    We were pleased that the European Commission finally came forward with proposals yesterday to better protect our democracies from online manipulation . ||| Dans cette perspective , nous sommes heureux que la Commission européenne ait enfin avancé des propositions , hier , qui visent à mieux protéger nos démocraties contre les manipulations en ligne . 

Immortal Immortal | w_freq: 27 - 5 | wiki_freq: 4671 - 575 | sentence_idx: 779147 | align_1: 0-0 | align_2: 1-6 | entity: none - Immortal |    Immortal designate themselves as " Sons of northern darkness " . ||| Immortal se sont eux - mêmes désignés comme les " Sons of northern darkness " . 

8178 8178 | w_freq: 2 - 2 | wiki_freq: 13 - 4 | sentence_idx: 782107 | align_1: 14-21 | align_2: 15-25 | entity: none - ISO 8178 |    However , an engine application can only be evaluated using this part of ISO 8178 once the appropriate test cycle has been developed . ||| Cependant , une application d' un moteur ne peut être évaluée , au moyen de la présente partie de l' ISO 8178 , qu' une fois que le cycle d' essai approprié a été développé . 

E-40 E-40 | w_freq: 17 - 17 | wiki_freq: 672 - 93 | sentence_idx: 789743 | align_1: 0-0 | align_2: 1-4 | entity: none - E-40 |    E-40 Then as we come to the table of the Lord ... ||| E-40 ( 37 ) Alors , quand nous venons à la table du Seigneur ... 

Payment Payment | w_freq: 64 - 11 | wiki_freq: 2951 - 98 | sentence_idx: 791357 | align_1: 4-7 | align_2: 5-13 | entity: Capture Payment - Capture Payment |    If another “ Capture Payment ” request is made for the same transaction , the response [ http400 and Error Code = 2017 ] is returned . ||| Si une autre demande de « Capture Payment ( récupération de paiement ) » est émise pour la même transaction , la réponse [ http400 and Error Code = 2017 ] est retournée . 

PB PB | w_freq: 26 - 23 | wiki_freq: 1726 - 336 | sentence_idx: 798871 | align_1: 9-13 | align_2: 10-18 | entity: Command PB Stardust - Command PB Poussière d' Étoile |    Until then , you can help spreading the Command PB Stardust protocol to remove physical pain : ||| D' ici là , vous pouvez aider à diffuser le protocole du Command PB Poussière d' Étoile ( Stardust ) pour éliminer la douleur physique : 

frivolous Frivolous | w_freq: 21 - 1 | wiki_freq: 2501 - 3 | sentence_idx: 801299 | align_1: 20-23 | align_2: 21-35 | entity: none - I Strongly Believe In Our Right To Be Frivolous |    I have been asked to write three reports about my work “ I Strongly Believe In Our right to be frivolous ” . ||| On m’ a demandé d’ écrire trois rapports à propos de mon travail intitulé « I Strongly Believe In Our Right To Be Frivolous ( Je crois fermement en notre droit d' être frivole ) » . 

CAP PAC | w_freq: 99 - 95 | wiki_freq: 3916 - 1256 | sentence_idx: 802155 | align_1: 14-17 | align_2: 15-22 | entity: CAP - none |    4.4.6 The high price volatility in recent years has prompted questions about the future CAP regarding the possible benefits of more risk management tools and a more global approach to the functioning of the whole food chain . ||| 4.4.6 La forte volatilité des prix de ces dernières années a suscité des questions sur la future PAC , en ce qui concerne les bénéfices éventuels d' un nombre accru d' outils de gestion du risque et d' une approche plus globale du fonctionnement de l' ensemble de la chaîne alimentaire . 

16.6 16.6 | w_freq: 5 - 1 | wiki_freq: 2747 - 18 | sentence_idx: 807989 | align_1: 0-0 | align_2: 1-4 | entity: 16.6 - none |    16.6 on CITES and livelihoods . ||| 16.6 , qui porte sur la CITES et les moyens de subsistance . 

Biotope Biotope | w_freq: 2 - 2 | wiki_freq: 55 - 1503 | sentence_idx: 815395 | align_1: 3-3 | align_2: 4-7 | entity: the Biotope White Bear - Biotope de l’ Ours blanc |    But unfortunately the Biotope White Bear inexorably disappears . ||| Mais malheureusement le Biotope de l’ Ours blanc disparaît inexorablement . 

Sista Sista | w_freq: 2 - 2 | wiki_freq: 334 - 58 | sentence_idx: 816286 | align_1: 8-8 | align_2: 9-14 | entity: Sista II Sista - Sista II Sista |    Isabel was a collective member of Sista II Sista * and was recently a member of the National Collective of INCITE ! ||| Isabel a été membre du collectif Sista II Sista ( Sœur à Sœur ) * et a récemment été membre du Collectif National INCITE ! 

KJV KJV | w_freq: 7 - 6 | wiki_freq: 867 - 14 | sentence_idx: 816640 | align_1: 4-4 | align_2: 5-10 | entity: KJV - KJV |    The “ real ” KJV is the only English Bible in the world that instructs you to “ study ” your Bible ! ||| La « vraie » KJV [ Parole de Dieu ] est la seule Bible anglaise au monde qui vous invite à « ÉTUDIER » votre Bible ! 

E-103 E-103 | w_freq: 9 - 10 | wiki_freq: 1 - 3 | sentence_idx: 816706 | align_1: 0-0 | align_2: 1-4 | entity: none - E-103 |    E-103 No wonder they ca n't believe in miracles . ||| E-103 Ce n’ est pas étonnant qu’ ils ne puissent pas croire aux miracles . 

Student—Is Etudiant | w_freq: 1 - 10 | wiki_freq: 0 - 116 | sentence_idx: 819313 | align_1: 0-1 | align_2: 1-8 | entity: none - L' Etudiant |    Student—Is there not also some effect upon animals , and through them upon us , and vice versa ? ||| L' Etudiant — Est -ce qu' il n' y a pas aussi un effet sur les animaux et , par leur intermédiaire , un effet sur nous , et vice-versa ? 

Barkhane Barkhane | w_freq: 7 - 7 | wiki_freq: 106 - 299 | sentence_idx: 837268 | align_1: 2-3 | align_2: 3-10 | entity: Barkhane - Barkhane |    Is n’t Barkhane increasingly viewed as an occupying force ? ||| Est -ce que Barkhane n’ est pas de plus en plus vue comme une force d’ occupation ? 

Trinitarian Trinitaire | w_freq: 15 - 4 | wiki_freq: 1030 - 32 | sentence_idx: 839113 | align_1: 10-11 | align_2: 11-15 | entity: none - Trinitaire |    In fact no one in the original Catholic Church was Trinitarian for three centuries . ||| En fait , personne dans l' Église Catholique originale n’ était Trinitaire et ce , pendant trois siècles . 

Derrek Derrek | w_freq: 1 - 1 | wiki_freq: 187 - 24 | sentence_idx: 847839 | align_1: 2-2 | align_2: 3-6 | entity: Derrek - Derrek |    Just like Derrek , I , too , ask that you be patient and open to inclusion . ||| Tout comme Derrek l’ a fait , moi aussi je demande votre patience et votre ouverture à l’ inclusion . 

Capulets Capulet | w_freq: 2 - 2 | wiki_freq: 132 - 142 | sentence_idx: 855839 | align_1: 6-6 | align_2: 7-10 | entity: Capulets - Capulet |    The day is hot , the Capulets abroad , ||| La journée est chaude , les Capulet , à l’ étranger ; 

Syrians Syriens | w_freq: 191 - 191 | wiki_freq: 3109 - 940 | sentence_idx: 856588 | align_1: 1-1 | align_2: 2-6 | entity: Syrians - Syriens |    The Syrians have , but they are far more interested in investing in Beirut hotels than in invading Israel . ||| Les Syriens , eux , l’ ont fait , mais ils sont bien plus intéressés à investir dans les hôtels de Beyrouth qu’ à envahir Israël . 

Financing Financer | w_freq: 45 - 7 | wiki_freq: 3027 - 17 | sentence_idx: 857905 | align_1: 0-1 | align_2: 1-6 | entity: none - Financer l’ action pour le climat |    Financing climate action ( part 2 ): cities and regions investing in energy . ||| ( Financer l’ action pour le climat ( partie 2 ): investissements des villes et des régions dans l’ énergie ) . 

12:08 12:08 | w_freq: 1 - 1 | wiki_freq: 63 - 0 | sentence_idx: 862763 | align_1: 11-13 | align_2: 12-17 | entity: 12:08 East of Bucharest - none |    Are the social changes triggered by the revolution more important in 12:08 East of Bucharest than Ceausescu ’s escape ? ||| Les transformations sociales provoquées par la révolution sont - elles plus importantes dans 12:08 , A l' est de Bucharest que la fuite de Ceausescu ? 

ACADEMY ACADEMY | w_freq: 3 - 1 | wiki_freq: 66 - 7 | sentence_idx: 876133 | align_1: 7-7 | align_2: 8-11 | entity: THE PHOTO ACADEMY - THE PHOTO ACADEMY |    “ These few courses at THE PHOTO ACADEMY gave me clear answers . ” ||| « Ces quelques stages à THE PHOTO ACADEMY , m’ ont apportés des réponses claires . » 

Monsanloran MONSANLORAN | w_freq: 3 - 2 | wiki_freq: 0 - 0 | sentence_idx: 887274 | align_1: 0-0 | align_2: 1-4 | entity: Monsanloran - MONSANLORAN |    Monsanloran : We will speak in French , it will be easier for this little girl and we have to exercise more the different languages . ||| MONSANLORAN ( en Anglais ): Nous parlerons en français , cela sera plus facile pour la fillette et nous devons nous exercer un peu plus dans les différentes langues . 

Shambhala Shambhala | w_freq: 8 - 8 | wiki_freq: 650 - 211 | sentence_idx: 888282 | align_1: 13-13 | align_2: 14-18 | entity: none - Shambhala |    “ One of your priests once asked me : Are the Cabala and Shambhala not parts of the one teaching ? ||| Un de vos prêtres me demanda un jour : « La Kabbale et Shambhala ne sont - elles pas des parties de l' enseignement unique ? » 

Shambhala Shambhala | w_freq: 8 - 8 | wiki_freq: 650 - 211 | sentence_idx: 888283 | align_1: 13-13 | align_2: 14-18 | entity: none - Shambhala |    “ One of your priests once asked me : Are the Cabala and Shambhala not parts of the one teaching ? ||| Un de vos prêtres me demanda un jour : " La Kabbale et Shambhala ne sont - elles pas des parties de l' enseignement unique ? " 

E-36 E-36 | w_freq: 20 - 21 | wiki_freq: 2 - 2 | sentence_idx: 893033 | align_1: 0-0 | align_2: 1-4 | entity: none - E-36 |    E-36 Now , you girls and boys know better than that . ||| E-36 ( 17 ) Maintenant , vous jeunes filles et jeunes garçons , vous en savez mieux que cela . 

AutoPact Pacte | w_freq: 1 - 101 | wiki_freq: 0 - 3931 | sentence_idx: 893274 | align_1: 1-1 | align_2: 2-6 | entity: AutoPact - Pacte de l’ automobile |    The AutoPact was introduced in 1965 … providing the framework for a sustainable future ||| Le Pacte de l’ automobile a été instauré en 1965 … c’ est ce qui a fourni le cadre pour un avenir durable . 

Autogenocide Autogenocide | w_freq: 1 - 1 | wiki_freq: 2 - 0 | sentence_idx: 896588 | align_1: 12-12 | align_2: 13-22 | entity: The Nine Stages of American Autogenocide - The Nine Stages of American Autogenocide |    Martha Rose Crow , in her article The Nine Stages of American Autogenocide , describes how things work in such networks . ||| Martha Rose Crow , dans son article The Nine Stages of American Autogenocide , ( Les Neuf Etapes de l' AutoDestruction Américaine ) décrit comment les choses fonctionnent dans de tels réseaux . 

8501 8501 | w_freq: 2 - 2 | wiki_freq: 103 - 21 | sentence_idx: 899946 | align_1: 17-19 | align_2: 18-24 | entity: AirAsia Flight 8501 - none |    It was not “ good luck ” that some individuals who intended to be on AirAsia Flight 8501 were not : Their time was not up . ||| Ce n’ était pas « par chance » que certaines personnes qui avaient l’ intention de prendre le vol 8501 d’ AirAsia n’ y étaient pas : leur temps n’ était pas venu . 

Hunink Hunink | w_freq: 1 - 1 | wiki_freq: 3 - 0 | sentence_idx: 902150 | align_1: 2-3 | align_2: 3-8 | entity: Maarten Hunink - Maarten Hunink |    By Maarten Hunink And what does it have to do with tomato soup ? ||| Écrit par Maarten Hunink ( en anglais ) Et qu’ a -t -elle à voir avec la soupe à la tomate ? 

banshee Banshees | w_freq: 1 - 2 | wiki_freq: 219 - 382 | sentence_idx: 909034 | align_1: 9-10 | align_2: 10-15 | entity: none - Banshees |    Question : How do units like the mutalisk and banshee fly in space if there is no air ? ||| Question : Comment des unités comme les mutalisks ou les Banshees font - elles pour voler dans l’ espace alors qu’ il n’ y a pas d’ air ? 

Millo Millo | w_freq: 2 - 2 | wiki_freq: 270 - 110 | sentence_idx: 909124 | align_1: 12-14 | align_2: 13-19 | entity: Millo - Millo |    ( 8) And he built the city round about , even from Millo round about : and Joab repaired the rest of the city . ||| Il fit tout autour [ cabiyb ] de la ville des constructions , depuis Millo et aux environs [ cabiyb ] ; et Joab répara le reste de la ville . 

Recommendations Recommandations | w_freq: 48 - 19 | wiki_freq: 1791 - 330 | sentence_idx: 911894 | align_1: 4-3 | align_2: 5-8 | entity: none - Recommandations de La Haye |    “ In the Hague Recommendations Max van der Stoel gave clear , practical advice to participating States on how to organize education for national minorities . ||| « Dans les Recommandations de La Haye , Max van der Stoel a fourni aux États participants des conseils clairs et pratiques pour organiser l’ éducation à l’ intention des minorités nationales . 

ThamoodhWe Thamoud | w_freq: 1 - 2 | wiki_freq: 0 - 5 | sentence_idx: 913833 | align_1: 3-2 | align_2: 4-7 | entity: ThamoodhWe - Thamoud |    7:73 And to ThamoodhWe sent their brother Salih . ||| 7:73 Aux Thamoud , ( Nous avons envoyé ) leur frère Salih . 

Primobolan Primobolan | w_freq: 2 - 2 | wiki_freq: 22 - 2 | sentence_idx: 915000 | align_1: 4-2 | align_2: 5-7 | entity: Primobolan - Primobolan |    So why is n’t Primobolan used by every body ? ||| Ainsi pourquoi Primobolan n' est -il pas employé par chaque corps ? 

66/288 66/288 | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 915675 | align_1: 6-4 | align_2: 7-14 | entity: United Nations Resolution 66/288 - none |    ( 12 ) United Nations Resolution 66/288 ‘ The future we want ’ , paragraph 135 . ||| ( 12 ) Résolution 66/288 de l' Assemblée générale des Nations unies , intitulée " L' avenir que nous voulons " , paragraphe 135 . 

MIG-23 MiG-23 | w_freq: 1 - 1 | wiki_freq: 4 - 171 | sentence_idx: 916277 | align_1: 1-1 | align_2: 2-6 | entity: MIG-23 - MiG-23 |    The MIG-23 can carry certain types of nuclear weapons as claimed ; but even in this role it is a tactical weapon best suited for support of ground or naval forces . ||| Le MiG-23 , mes amis , peut transporter certains types d' armes nucléaires comme cela est affirmé ; mais même dans ce rôle , il est une arme tactique mieux adaptée pour le soutien des forces terrestres ou navales . 

Spasibo Spasibo | w_freq: 1 - 1 | wiki_freq: 15 - 1 | sentence_idx: 917479 | align_1: 8-6 | align_2: 9-14 | entity: Spasibo - Spasibo |    It was only three months after we opened Spasibo that we realized we had to pay taxes . ” ||| Seulement trois mois après avoir ouvert Spasibo   ! , nous nous sommes rendu compte qu’ il fallait payer des impôts » . 

ROME ROME | w_freq: 9 - 8 | wiki_freq: 37 - 55 | sentence_idx: 919380 | align_1: 0-0 | align_2: 1-5 | entity: ROME - ROME |    ROME – Romans continue the party not just late into the night , but for three full days . ||| ROME ( AUSSI ITALIE ) - Romains continuent la partie non seulement tard dans la nuit , mais pendant trois jours complets . 

Rapporteur Rapporteur | w_freq: 64 - 30 | wiki_freq: 1713 - 389 | sentence_idx: 923951 | align_1: 38-38 | align_2: 39-43 | entity: the Special Rapporteur - Rapporteur spécial de l’ ONU |    ( b)The forced deportation of four Uzbek nationals , members of the Uzbek opposition , who were at high risk of being subjected to torture and whose case was the subject of an urgent appeal by the Special Rapporteur on torture ; ||| b ) Le renvoi forcé de quatre nationaux ouzbeks , membres de l’ opposition ouzbèke , qui risquaient fort d’ être soumis à la torture et dont le cas avait fait l’ objet d’ un appel urgent du Rapporteur spécial de l’ ONU sur la question de la torture ; 

Qusayr Qusayr | w_freq: 1 - 1 | wiki_freq: 118 - 41 | sentence_idx: 925099 | align_1: 9-9 | align_2: 10-14 | entity: Qusayr - Qusayr |    They also fear that the fate of Christians in Qusayr could soon affect the 10,000 believers who live in other villages in the area . ||| Ils craignent aussi que le sort des chrétiens en Qusayr , mais aussi qui pourrait bientôt concerner les 10.000 croyants qui vivent dans d' autres villages dans la région . 

IPE IPE | w_freq: 3 - 3 | wiki_freq: 311 - 75 | sentence_idx: 929166 | align_1: 19-23 | align_2: 20-27 | entity: none - IPE |    Part of this renewal since the 1970s is also reflected in the emerging field of International Political Economy ( IPE ) . ||| Une partie de ce renouveau depuis les années 1970 se reflète également dans le domaine émergent de l' économie politique internationale ( " IPE " en anglais ) . 

Cilicia Cilicie | w_freq: 2 - 4 | wiki_freq: 3763 - 1903 | sentence_idx: 942936 | align_1: 3-3 | align_2: 4-9 | entity: The Kingdom of Cilicia - Royaume de Cilicie |    The Kingdom of Cilicia constitutes a fundamental dissociation , in the territorial and geographic sense of the word , with what could have been the homeland of Armenians . ||| Le Royaume de Cilicie , quant à elle , constitue une rupture fondamentale , au sens territorial et géographique du terme , avec ce qui aurait pu être la patrie des Arméniens . 

Inclusion inclusion | w_freq: 44 - 388 | wiki_freq: 3006 - 3817 | sentence_idx: 945524 | align_1: 34-40 | align_2: 35-46 | entity: the European Platform for Roma Inclusion - none |    In its assessment , the Commission also considers the wide range of contributions received from civil society and other stakeholders and the contributions made at the extraordinary meeting of the European Platform for Roma Inclusion held in Brussels on 22 March 2012 . ||| Dans son évaluation , la Commission prend également en considération les nombreuses contributions émanant de la société civile et d’ autres parties prenantes , ainsi que les contributions apportées lors de la réunion extraordinaire de la plateforme européenne pour l’ inclusion des Roms qui s’ est tenue à Bruxelles le 22 mars 2012 . 

BMR BMR | w_freq: 5 - 5 | wiki_freq: 366 - 71 | sentence_idx: 953214 | align_1: 1-3 | align_2: 2-7 | entity: BMR - none |    The BMR showed that ( 1 ) it was n’t difficult to cut calories and ( 2 ) I must have made BIG mistakes before properly consume these calories , not small . ||| Le MB ( BMR ) m’ a montré que ( 1 ) il n’ a pas été difficile de réduire les calories et ( 2 ) , je devais avoir fait de GROSSES erreurs avant de consommer correctement ces calories , pas de petits . 

Jorg Jorg | w_freq: 1 - 1 | wiki_freq: 400 - 106 | sentence_idx: 954959 | align_1: 0-0 | align_2: 1-4 | entity: Jorg - Jorg |    Jorg is not certain—all he knows is that the secrets they hold can be put to terrible use in the coming battle … ||| Jorg n’ en n’ est pas certain – tout ce qu’ il sait , c’ est que les secrets qu’ ils détiennent peuvent être d’ une terrible utilité dans la bataille à venir … 

E-97 E-97 | w_freq: 10 - 14 | wiki_freq: 0 - 1 | sentence_idx: 955791 | align_1: 0-0 | align_2: 1-4 | entity: none - E-97 |    E-97 He knows all things . ||| E-97 ( 103 ) Il sait toutes choses . 

Damned damned | w_freq: 5 - 1 | wiki_freq: 3622 - 22 | sentence_idx: 956678 | align_1: 5-3 | align_2: 6-9 | entity: Voyage of the Damned - none |    ( from Voyage of the Damned ) ||| Voyage of the damned [ Hadès le meilleur ! ] 

Prophets Prophètes | w_freq: 34 - 30 | wiki_freq: 3269 - 548 | sentence_idx: 967667 | align_1: 12-12 | align_2: 13-18 | entity: none - Prophètes |    The Almighty has granted us several examples of patience shown by the Prophets during hard times , in the Sunnah and the Qur’an . ||| Le Tout-Puissant nous a accordé différents exemples de patience démontrés par les Prophètes ( Paix sur eux ) durant les temps difficiles , dans la Sounnah et le Coran . 

Cirillo Cirillo | w_freq: 2 - 2 | wiki_freq: 449 - 154 | sentence_idx: 968431 | align_1: 0-0 | align_2: 1-4 | entity: Cirillo - Cirillo |    Cirillo realized that forcing himself to sit at his desk hour after hour was n’t helping him study . ||| Cirillo s’ est rendu compte que le fait de se forcer à s’ asseoir à son bureau heure après heure ne l’ aidait pas à étudier . 

Reset Reset | w_freq: 13 - 3 | wiki_freq: 859 - 129 | sentence_idx: 969176 | align_1: 18-16 | align_2: 19-21 | entity: the Global Reset – RV - Global Reset |    It is now almost certain that the world economy is literally begging for the arrival of the Global Reset – RV . ||| Il est maintenant presque certain que l’ économie mondiale implore littéralement pour l’ arrivée du Global Reset ( réinitialisation globale ) – RV . 

BIRD BIRD | w_freq: 1 - 1 | wiki_freq: 171 - 107 | sentence_idx: 970082 | align_1: 10-10 | align_2: 11-17 | entity: none - FREE AS A BIRD |    Our new 2016 project was born : FREE AS A BIRD . ||| Notre nouveau projet 2016 était né : FREE AS A BIRD ( Libre comme un oiseau ) . 

TSR TSR | w_freq: 12 - 11 | wiki_freq: 4269 - 963 | sentence_idx: 971502 | align_1: 8-9 | align_2: 9-16 | entity: TSR - TSR |    Although I am sure that the people at TSR mean no harm , that is exactly what their games are causing . ||| Bien que je sois convaincu que les gens de TSR n’ avaient pas l’ intention de faire du mal , c’ est exactement ce que provoquent leurs jeux . 

OSCE OSCE | w_freq: 99 - 97 | wiki_freq: 3559 - 991 | sentence_idx: 974881 | align_1: 1-1 | align_2: 2-5 | entity: OSCE - OSCE |    The OSCE also took up the question of conscientious objection in 1990 . ||| L’ OSCE s’ est elle aussi saisie de la question de l’ objection de conscience en 1990 . 

Grottola Grottola | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 976384 | align_1: 0-0 | align_2: 1-4 | entity: Grottola - Grottola |    Grottola added : “ This is a normal practice in business , [ but ] not so common for crypto startups . ||| Grottola a d’ ailleurs ajouté : “ Ceci est une pratique normale dans les affaires , [ mais ] pas si commun pour les startups crypto . 

Berezow Berezow | w_freq: 1 - 1 | wiki_freq: 1 - 1 | sentence_idx: 977342 | align_1: 1-1 | align_2: 2-5 | entity: Berezow - Berezow |    But Berezow is determined to repeat them . ||| Mais Berezow , lui , semble déterminé à les répéter . 

Menu Menu | w_freq: 29 - 20 | wiki_freq: 2480 - 587 | sentence_idx: 977538 | align_1: 7-9 | align_2: 8-15 | entity: The Global Menu - The Global Menu |    Then I did one called The Global Menu and was about the global system of food production—like who feeds who ? ||| Ensuite j’ en ai fait une appelée The Global Menu ( Le Menu global ) et c’ était à propos du système global de production de nourriture — comme qui nourrit qui ? 

Schemes Schemes | w_freq: 8 - 1 | wiki_freq: 952 - 22 | sentence_idx: 977996 | align_1: 13-12 | align_2: 14-17 | entity: Gold Bond Schemes - Gold Bond Schemes |    The central bank may also want to amortize the repayments of Gold Bond Schemes from 3 to 8 years , according to economists . ||| La banque centrale pourrait également vouloir amortir les remboursements des Gold Bond Schemes dont l’ échéance est de 3 à 8 ans , selon les économistes . 

Epics Epics | w_freq: 5 - 6 | wiki_freq: 440 - 9 | sentence_idx: 983005 | align_1: 3-5 | align_2: 4-9 | entity: none - Epics |    In XP , Epics are vulgarly “ Big user-stories ” and nothing more . ||| Dans l’ XP , les Epics ( Epopées ) sont vulgairement des « Big user - stories » et rien de plus . 

Maitreya Maitreya | w_freq: 76 - 76 | wiki_freq: 1475 - 369 | sentence_idx: 983627 | align_1: 0-0 | align_2: 1-5 | entity: Maitreya - Maitreya |    Maitreya takes it very seriously indeed and says we have little time to remedy aspects of the problem before they become irreparable . ||| Maitreya , lui , la prend très au sérieux et déclare qu' il nous reste très peu de temps pour remédier à certains aspects du problème avant qu' ils ne deviennent irréparables . 

WSD WSD | w_freq: 2 - 2 | wiki_freq: 199 - 10 | sentence_idx: 991597 | align_1: 18-21 | align_2: 19-30 | entity: WSD - WSD |    Kate -thank you!- pointed us to the page of FIS Web site dedicated to World Snow Day ( WSD ) . ||| Kate -merci ! - de nous signifier la page du site web de FIS dédié à « World Snow Day ( WSD ) » ( Journée mondiale de la neige ) . 

HIS HIS | w_freq: 28 - 5 | wiki_freq: 643 - 55 | sentence_idx: 992944 | align_1: 7-5 | align_2: 8-12 | entity: none - HIS européen |    In the 2014 wave of the European HIS another questionnaire ( EHISPAQ ) was used ; consequently , the comparison of the results in Belgium with the other EU member states is not available up to now . ||| Dans la vague 2014 du HIS européen ( EHIS ) , un autre questionnaire ( EHISPAQ ) a été utilisé ; par conséquent , la comparaison des résultats de Belgique avec les autres États membres de l' UE n' est pas disponible jusqu' à présent . 

BFD BFD | w_freq: 1 - 1 | wiki_freq: 218 - 24 | sentence_idx: 995763 | align_1: 5-6 | align_2: 6-12 | entity: none - BFD |    The Boy Friend Destroyer ( BFD ) technique is made for you then … ||| La technique Boy Friend Destroyer ( BFD : Détruire son petit ami ) est faite pour vous alors … 

