11.1 11.1 | w_freq: 10 - 11 | wiki_freq: 4843 - 61 | sentence_idx: 2411 | align_1: 0-0 | align_2: 1-5 | entity: 11.1 Party - none |    11.1 Party autonomy , as recognised by the Principles , is not absolute . ||| 11.1 L’ autonomie de la volonté , telle que reconnue par les Principes , n’ est pas absolue . 
E-85 E-85 | w_freq: 13 - 14 | wiki_freq: 22 - 3 | sentence_idx: 908344 | align_1: 0-0 | align_2: 1-6 | entity: none - E-85 |    E-85 Anybody in here believe that you can be healed right now ? ||| E-85 Y a -t -il quelqu' un ici qui croit qu' il peut être guéri à l' instant même ? 

E-56 E-56 | w_freq: 14 - 15 | wiki_freq: 2 - 3 | sentence_idx: 912292 | align_1: 0-0 | align_2: 1-4 | entity: none - E-56 |    E-56 No wonder they could n't see Him . ||| E-56 Ce n’ est pas étonnant qu’ ils n’ aient pas pu Le voir . 

Gurdjieff Gurdjieff | w_freq: 10 - 10 | wiki_freq: 1109 - 250 | sentence_idx: 912509 | align_1: 4-3 | align_2: 5-8 | entity: Gurdjieff - Gurdjieff |    ( Joe ) Did Gurdjieff not describe the reason for the work on the self ? ||| ( Joe ) Gurdjieff n’ a -t -il pas décrit la raison du travail sur soi   ? 

Ombudsman Ombudsman | w_freq: 76 - 28 | wiki_freq: 4691 - 78 | sentence_idx: 920184 | align_1: 2-1 | align_2: 3-6 | entity: The Ontario Ombudsman - Ombudsman de l’ Ontario |    The Ontario Ombudsman investigated 1,400 complaints from people and families , beginning in 2012 . ||| L’ Ombudsman de l’ Ontario a enquêté sur 1 400 plaintes déposées par des personnes et des familles , et ce , à partir de 2012 . 

Norvinic Norvinic | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 920690 | align_1: 3-3 | align_2: 4-7 | entity: Norvinic - Norvinic |    In 2004 , Norvinic acquired other trucks to increase its fleet to four vehicles . ||| En 2004 , Norvinic a fait l’ acquisition d’ autres camions pour augmenter sa flotte à 4 véhicules . 

Dialogues Dialogues | w_freq: 12 - 11 | wiki_freq: 1669 - 724 | sentence_idx: 921542 | align_1: 6-5 | align_2: 7-10 | entity: these “ Trade Dialogues - Dialogues sur le commerce ” |    The first of these “ Trade Dialogues ” was held at the WTO 's headquarters in May 2016 at the request of the private sector . ||| Le premier de ces “ Dialogues sur le commerce ” s’ est tenu au siège de l’ OMC en mai 2016 , à la demande du secteur privé . 

E-5 E-5 | w_freq: 26 - 29 | wiki_freq: 264 - 32 | sentence_idx: 929956 | align_1: 0-0 | align_2: 1-4 | entity: none - E-5 |    E-5 Now , this brother , the brethren forgot it , but he is holding a meeting here in your city . ||| E-5 ( 3 ) Eh bien , ce frère , les frères avaient oublié cela , mais il tient une série de réunions ici dans votre ville . 

RtCW RtCW | w_freq: 1 - 1 | wiki_freq: 1 - 4 | sentence_idx: 944462 | align_1: 11-12 | align_2: 12-17 | entity: RtCW - RtCW |    No real support from Activision , except a free copy of RtCW sent by them ! ||| Pas de véritable support d’ Activision , sauf une copie gratuite de RtCW qu’ ils m’ avaient envoyée ! 

E-36 E-36 | w_freq: 27 - 30 | wiki_freq: 2 - 2 | sentence_idx: 945746 | align_1: 0-0 | align_2: 1-5 | entity: E-36 - none |    E-36 Such a person and such a man , such a time and how they felt ... ||| E-36 ( 38 ) Une telle personne et un tel homme , un tel moment et comment ils ont senti ... 

76:23 76:23 | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 950204 | align_1: 0-0 | align_2: 1-6 | entity: 76:23 - none |    76:23 We have sent down to you the Quran at once . ||| 76:23 En vérité , c’ est Nous qui t’ avons révélé le Coran graduellement . 

Barroso Barroso | w_freq: 33 - 33 | wiki_freq: 1800 - 641 | sentence_idx: 955044 | align_1: 8-7 | align_2: 9-12 | entity: Barroso - M. Barroso |    And yet , the Commission , and Mr Barroso from your ivory tower , what you are saying is : Let them eat cake ! ||| Et pourtant , la Commission , M. Barroso , et à partir de votre tour d' ivoire , ce que vous dites , c' est : Qu' ils mangent de la brioche ! 

Fora Fora | w_freq: 2 - 3 | wiki_freq: 845 - 322 | sentence_idx: 957535 | align_1: 40-42 | align_2: 41-50 | entity: Juiz de Fora - Holy House of Juiz de Fora |    " First , I wish to thank God for the fact that I am alive , that a truly miraculous operation was done ( on me ) by the hands of the professionals of the Holy House of Juiz de Fora ( hospital ) . ||| «   En premiers lieux , je veux remercier Dieu pour le fait que je sois toujours vivant , qu’ une opération vraiment miraculeuse ait été faite ( sur moi ) par les mains des professionnels de la Holy House of Juiz de Fora [ Maison Sainte de Juiz de Fora ( hôpital)]. 

Deployed Deployed | w_freq: 3 - 2 | wiki_freq: 733 - 1 | sentence_idx: 957980 | align_1: 5-7 | align_2: 6-15 | entity: none - Remember Everyone Deployed |    Red for " Remember Everyone Deployed . " ||| " RED " pour " Remember Everyone Deployed " ( Pensées aux troupes projetées ) . 

Oden Oden | w_freq: 4 - 4 | wiki_freq: 1014 - 172 | sentence_idx: 958129 | align_1: 2-2 | align_2: 3-6 | entity: Oden - Oden |    But , Oden realized that his liberal scholarly views had serious social consequences . ||| Mais , Oden s’ est rendu compte que ses vues libérales avaient de graves conséquences sociales . 

Gowdie Gowdie | w_freq: 1 - 1 | wiki_freq: 104 - 11 | sentence_idx: 959303 | align_1: 3-3 | align_2: 4-7 | entity: Vern Gowdie - Vern Gowdie |    You and Vern Gowdie tried to buy it . ||| Toi et Vern Gowdie , vous aviez essayé d’ en acheter . 

E-205 E-205 | w_freq: 6 - 8 | wiki_freq: 0 - 0 | sentence_idx: 959918 | align_1: 0-0 | align_2: 1-4 | entity: none - E-205 |    E-205 And , yet , of all the gifts that we have received , many of us has never received that great Gift yet . ||| E-205 ( 204 ) Et , malgré tous les cadeaux que nous avons reçus , beaucoup parmi nous n' ont pas encore reçu ce grand cadeau . 

Googlewash Googlewash | w_freq: 1 - 1 | wiki_freq: 1 - 0 | sentence_idx: 970086 | align_1: 2-3 | align_2: 3-7 | entity: Googlewash - Googlewash |    And this Googlewash took just 42 days . ||| Et ce « Googlewash » n’ a pris que 42 jours . 

Moms Moms | w_freq: 9 - 4 | wiki_freq: 1244 - 102 | sentence_idx: 971019 | align_1: 4-4 | align_2: 5-10 | entity: none - Angel Moms |    They 're called Angel Moms for good reason because they are a voice to protect all of America 's children . ||| Ils s’ appellent Angel Moms ( Anges - Mères ) pour une bonne raison , parce qu’ ils sont la voix de la protection de tous les enfants américains . 

Moms Moms | w_freq: 9 - 4 | wiki_freq: 1244 - 102 | sentence_idx: 971020 | align_1: 4-4 | align_2: 5-10 | entity: none - Angel Moms |    They 're called Angel Moms for good reason because they are a voice to protect all of America 's children . ||| Ils s' appellent Angel Moms ( Anges - Mères ) pour une bonne raison , parce qu' ils sont la voix de la protection de tous les enfants américains . 

Chinaski Chinaski | w_freq: 1 - 1 | wiki_freq: 132 - 16 | sentence_idx: 984705 | align_1: 7-8 | align_2: 8-13 | entity: Chinaski - Chinaski |    Well , you ai n't God , Chinaski , relax and have another drink . ||| Enfin , tu n' es pas Dieu , Chinaski , détends - toi , prends un truc , un autre verre . 

E-145 E-145 | w_freq: 8 - 9 | wiki_freq: 2 - 1 | sentence_idx: 986860 | align_1: 0-0 | align_2: 1-4 | entity: E-145 - none |    E-145 God will bless , but that blessing 's got to come under certain circumstances , certain requirements that you must meet . ||| E-145 ( 54 ) Dieu bénira , mais cette bénédiction doit venir sous certaines circonstances , certaines exigences que vous devez remplir . 

VOCALOIDs VOCALOIDs | w_freq: 1 - 1 | wiki_freq: 4 - 0 | sentence_idx: 987345 | align_1: 7-8 | align_2: 8-12 | entity: none - VOCALOIDs |    BIGHEAD : I do not think that VOCALOIDs themselves have personalities . ||| BIGHEAD : Je ne pense pas que les VOCALOIDs en eux - mêmes aient une personnalité . 

5.2.3 5.2.3 | w_freq: 2 - 2 | wiki_freq: 11 - 0 | sentence_idx: 993640 | align_1: 0-0 | align_2: 1-5 | entity: 5.2.3 - none |    5.2.3 CRA employees will not allow a prospect for future employment to give rise to a conflict of interest . ||| 5.2.3 Les employés de l’ ARC ne permettront pas qu’ une perspective future d’ emploi donne lieu à un conflit d’ intérêts . 

Repent Repentez | w_freq: 2 - 2 | wiki_freq: 161 - 7 | sentence_idx: 995991 | align_1: 0-0 | align_2: 1-5 | entity: none - Repentez |    Repent , for the Kingdom of Heaven is near , ||| Repentez -vous ( metanoeo ) , car le royaume des cieux est proche . 

L-58 E-58 | w_freq: 2 - 29 | wiki_freq: 2 - 2 | sentence_idx: 999179 | align_1: 0-0 | align_2: 1-4 | entity: none - E-58 |    L-58 Why did there ... was there mysteries that was still hid ? ||| E-58 ( 45 ) Pourquoi y a -t -il eu ... y avait -il des mystères qui étaient encore cachés ? 

