11.1 11.1 | w_freq: 10 - 11 | wiki_freq: 4843 - 61 | sentence_idx: 2411 | align_1: 0-0 | align_2: 1-5 | ner_entity: 11.1 Party-none |    11.1 Party autonomy , as recognised by the Principles , is not absolute . ||| 11.1 L’ autonomie de la volonté , telle que reconnue par les Principes , n’ est pas absolue .
Arthro-5 Arthro-5 | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 610300 | align_1: 9-9 | align_2: 10-13 | ner_entity: none-Arthro-5 |    We do not know a more potent product than Arthro-5 in the whole world . ||| Nous ne connaissons aucun produit plus puissant que l' Arthro-5 , nulle part dans le monde !

WiFi WiFi | w_freq: 59 - 49 | wiki_freq: 2189 - 177 | sentence_idx: 612494 | align_1: 19-22 | align_2: 20-26 | ner_entity: none-WiFi |    You can usually rely on the hotel ’s WiFi – but again , are you really sure that the WiFi there will be good enough ? ||| Vous pouvez généralement compter sur le WiFi de l’ hôtel – mais encore une fois , êtes -vous vraiment sûr que le WiFi qu’ il va y avoir sera assez bon ?

Rafa Rafa | w_freq: 32 - 32 | wiki_freq: 1042 - 260 | sentence_idx: 615803 | align_1: 2-3 | align_2: 3-8 | ner_entity: Rafa-Rafa |    Keep playing Rafa please . ||| Continue de jouer Rafa , s' il te plaît .

Ki-Moon Moon | w_freq: 4 - 94 | wiki_freq: 263 - 6238 | sentence_idx: 617518 | align_1: 24-32 | align_2: 25-37 | ner_entity: Ban Ki-Moon-Moon |    When such things were going on by your colleagues at Minister of Foreign Affairs and Trade , what did you do , Minister Ban Ki-Moon ? ||| Alors que telles choses se produisaient du fait de vos collègues au Ministère des Affaires Etrangères et du Commerce , qu’ est -ce que vous avez fait , Ministre Ban Ki - Moon , pendant ce temps ?

midwife sage | w_freq: 19 - 374 | wiki_freq: 3192 - 5188 | sentence_idx: 619293 | align_1: 1-1 | align_2: 2-5 | ner_entity: none-La sage |    The midwife has checked it , and it is extremely low at 4.4 g / dL. ||| La sage - femme l’ a vérifié et il est extrêmement bas à 4,4 g / dl .

C‑44 C‑44 | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 619764 | align_1: 7-7 | align_2: 8-15 | ner_entity: Bill C‑44-C‑44 |    “ The infrastructure bank portion of Bill C‑44 will be studied for just one hour . ||| « La portion du projet de loi C‑44 portant sur la Banque de l’ infrastructure sera étudiée pendant une heure seulement .

Auschwitz Auschwitz | w_freq: 106 - 108 | wiki_freq: 9299 - 6737 | sentence_idx: 620310 | align_1: 2-1 | align_2: 3-5 | ner_entity: Auschwitz-Auschwitz |    " At Auschwitz , there were seven orchestras " . ||| A Auschwitz , par exemple , il y avait sept orchestres . »

Baffin Baffin | w_freq: 4 - 4 | wiki_freq: 2196 - 497 | sentence_idx: 622519 | align_1: 1-1 | align_2: 2-7 | ner_entity: William Baffin-William Baffin |    William Baffin usually receives full credit for the successes of the 1616 voyage . ||| William Baffin , d' ailleurs , reçoit souvent tout le crédit pour les succès du voyage de 1616 .

Vaccinations Vaccinations | w_freq: 9 - 1 | wiki_freq: 227 - 22 | sentence_idx: 624960 | align_1: 4-5 | align_2: 5-9 | ner_entity: none-Vaccinations |    The Forgotten History of Vaccinations You Need to Be Aware Of by Dr. Mercola ||| - L' histoire oubliée des Vaccinations , de que vous devez être au courant par le Dr Mercola

Jomtien Jomtien | w_freq: 6 - 6 | wiki_freq: 79 - 18 | sentence_idx: 625932 | align_1: 4-3 | align_2: 5-8 | ner_entity: Jomtien-Jomtien |    The commitment made at Jomtien 10 years ago promised education as a reality for all in 2000 . ||| L’ engagement de Jomtien , il y a dix ans , promettait l’ éducation comme une réalité pour tous en l’ an 2000 .

139 139 | w_freq: 32 - 34 | wiki_freq: 8719 - 2059 | sentence_idx: 631106 | align_1: 8-8 | align_2: 9-12 | ner_entity: 139-none |    Those lucky enough to be able to spend 139 will only have 1250 . ||| Ceux qui auront la chance de pouvoir dépenser 139 € n’ en auront que 1250 .

Waste déchet | w_freq: 54 - 48 | wiki_freq: 8253 - 833 | sentence_idx: 638944 | align_1: 1-2 | align_2: 2-8 | ner_entity: Zero Waste-Le zéro déchet |    Zero Waste was not a bomb with my relatives : everyone knew about my ecologist nature . ||| Le zéro déchet , ça n’ a pas été une bombe chez mes proches : tout le monde connaissait ma nature écologiste .

El-Azar-us us | w_freq: 1 - 16 | wiki_freq: 0 - 1248 | sentence_idx: 639384 | align_1: 8-13 | align_2: 9-21 | ner_entity: El-Azar-us-none |    He performed miracles and raised one man , El-Azar-us , from the dead . ||| Il effectua des miracles et éleva un homme , El - Azar - us ( ' El - Osiris ' ) , d’ entre les morts .

El-Azar-us Azar | w_freq: 1 - 4 | wiki_freq: 0 - 211 | sentence_idx: 639384 | align_1: 8-11 | align_2: 9-21 | ner_entity: El-Azar-us-El - Azar |    He performed miracles and raised one man , El-Azar-us , from the dead . ||| Il effectua des miracles et éleva un homme , El - Azar - us ( ' El - Osiris ' ) , d’ entre les morts .

WEB WEB | w_freq: 349 - 363 | wiki_freq: 257 - 122 | sentence_idx: 640522 | align_1: 16-20 | align_2: 17-26 | ner_entity: none-WEB |    The most blatant example , is the report on " Education and Gender Equality " [ WEB issued in January 2005 . ||| L' exemple le plus flagrant , est le rapport sur " l' éducation et l' égalité des sexes " [ WEB en Anglais , qui est sorti en janvier 2005 .

Ascension Ascension | w_freq: 125 - 125 | wiki_freq: 7261 - 3952 | sentence_idx: 643405 | align_1: 18-18 | align_2: 19-23 | ner_entity: none-l' Ascension |    You are , so to say , the last brick in the wall of change and the resultant Ascension that everyone is waiting for . ||| Vous êtes , pour ainsi dire , la dernière brique dans le mur du changement et de l' Ascension qui en résulte , que tout le monde attend .

NASB Ivano | w_freq: 1 - 2 | wiki_freq: 145 - 531 | sentence_idx: 645040 | align_1: 5-2 | align_2: 6-9 | ner_entity: NASB-Ivano |    The NET Bible and the NASB read , “ The kingdom of God is in your midst , ” while the NIV says , “ within you . ” ||| Pour moi Ivano , je suis sûre que Jésus parlait au présent : " le Royaume des Cieux est au - dedans de vous " selon les traductions ou " au milieu de vous " selon d' autres .

Schulz Schulz | w_freq: 26 - 26 | wiki_freq: 5367 - 1057 | sentence_idx: 648945 | align_1: 21-28 | align_2: 22-32 | ner_entity: Martin Schulz-Martin Schulz |    And even if there is a new election , the outcome would not be much different , unless SPD leader Martin Schulz steps down . ||| Et même s' il y a de nouvelles élections , le résultat risque de ne pas être très différent , à moins que le dirigeant du SPD Martin Schulz , ne se retire .

Shreveport Shreveport | w_freq: 4 - 4 | wiki_freq: 5370 - 482 | sentence_idx: 650488 | align_1: 12-11 | align_2: 13-16 | ner_entity: Shreveport-Shreveport |    She said , " You 'll have your first service then in Shreveport , then you call me , afterwards . " ||| Elle a dit : « Tu auras ton premier service à Shreveport à ce moment -là , alors appelle -moi après cela . »

antennas Antennes | w_freq: 38 - 2 | wiki_freq: 7574 - 299 | sentence_idx: 652347 | align_1: 2-1 | align_2: 3-6 | ner_entity: none-Antennes |    Are the antennas both polarized properly ( the same as each other ) ? ||| Les Antennes sont - elles toutes deux polarisés correctement ( les mêmes que ) ?

Gottesfeld Gottesfeld | w_freq: 1 - 1 | wiki_freq: 33 - 3 | sentence_idx: 656853 | align_1: 3-2 | align_2: 4-7 | ner_entity: Marty Gottesfeld-Marty Gottesfeld |    Why was Marty Gottesfeld transferred to MDC Brooklyn and not directly to a low-security prison ? ||| Pourquoi Marty Gottesfeld a -t -il été transféré au MDC de Brooklyn et pas directement dans une prison à sécurité réduite ?

12:43 12:43 | w_freq: 1 - 1 | wiki_freq: 38 - 1 | sentence_idx: 666138 | align_1: 1-2 | align_2: 2-6 | ner_entity: 12:43-none |    Luke 12:43 reads , “ Blessed is that servant , whom his lord when he cometh shall find so doing . ” ||| Selon Luc 12:43 , Christ a déclaré : “ Heureux cet esclave , si son maître , en arrivant , le trouve faisant ainsi ! ”

Devlin Devlin | w_freq: 6 - 7 | wiki_freq: 4962 - 452 | sentence_idx: 672882 | align_1: 3-3 | align_2: 4-9 | ner_entity: Molly Devlin-Molly Devlin |    The artist Molly Devlin is happy to make a comeback this year by taking part in this production , which promises to be interesting by its diversity . ||| L’ artiste Molly Devlin , pour sa part , est heureuse de faire un retour cette année en prenant part à cette production qui promet d’ être intéressante par sa diversité .

Bunyan Bunyan | w_freq: 1 - 1 | wiki_freq: 1841 - 235 | sentence_idx: 674710 | align_1: 1-1 | align_2: 2-10 | ner_entity: John Bunyan-John Bunyan |    John Bunyan said , “ He who runs from God in the morning will scarcely find Him the rest of the day . ” ||| John Bunyan , l’ auteur du Voyage du Pèlerin , disait avec une pointe d’ humour : « Celui qui court loin de Dieu dès le matin aura du mal à la retrouver pendant le reste de la journée »

Soros Soros | w_freq: 69 - 69 | wiki_freq: 2108 - 319 | sentence_idx: 676938 | align_1: 3-2 | align_2: 4-7 | ner_entity: Soros-Soros |    But why did Soros call the Marxists when he knew that they were the greatest enemies of capitalism ? ||| Mais pourquoi Soros en a -t -il appelé aux Marxistes alors qu’ il savait qu’ ils étaient les plus grands ennemis du capitalisme ?

Morality Morality | w_freq: 10 - 1 | wiki_freq: 1457 - 56 | sentence_idx: 700589 | align_1: 8-7 | align_2: 9-14 | ner_entity: Crisis in Morality-Crisis in Morality |    I quote from Al Sanders in Crisis in Morality ! ||| Je cite Al Sanders dans Crisis in Morality ( Crise dans la Moralité ) !

Hate haine | w_freq: 49 - 542 | wiki_freq: 8871 - 8589 | sentence_idx: 703848 | align_1: 16-16 | align_2: 17-20 | ner_entity: the Two Minutes Hate-none |    Oh , yeah , and I almost forgot , today ’s edition of the Two Minutes Hate will begin in approximately fifteen minutes . ||| Ah oui , et j’ oubliais , l’ édition d’ aujourd’hui des deux minutes de la haine ( 2 ) commenceront dans approximativement quinze minutes .

Vehicles Véhicules | w_freq: 46 - 16 | wiki_freq: 8538 - 962 | sentence_idx: 708544 | align_1: 3-1 | align_2: 4-7 | ner_entity: none-Véhicules de la Croix - Rouge |    • Red Cross Vehicles : These vehicles will travel around your city making sure your populace is prepared . ||| • Véhicules de la Croix - Rouge : ces véhicules parcourront votre ville pour veiller à ce que votre population soit prête .

OSCE OSCE | w_freq: 108 - 109 | wiki_freq: 3559 - 991 | sentence_idx: 710911 | align_1: 7-5 | align_2: 8-13 | ner_entity: OSCE-OSCE |    All of the elements of today ’s OSCE were included in one way or another in the Helsinki Final Act . ||| Tous les éléments de l’ OSCE telle que nous la connaissons aujourd’hui ont été inclus , d’ une manière ou d’ une autre , dans l’ Acte final de Helsinki .

Kincaid Kincaid | w_freq: 3 - 3 | wiki_freq: 2402 - 227 | sentence_idx: 711445 | align_1: 17-22 | align_2: 18-27 | ner_entity: Kincaid-Kincaid |    The problem is , there is very little to corroborate this story or to even prove that Kincaid was ever a real person . ||| Le problème , c’ est qu’ il n ’ y a pas grand-chose pour corroborer cette histoire ou même pour prouver que Kincaid n ’ a jamais été une vraie personne .

Chanel Chanel | w_freq: 34 - 36 | wiki_freq: 4998 - 2248 | sentence_idx: 715418 | align_1: 0-2 | align_2: 1-6 | ner_entity: Chanel-Chanel |    Chanel never abandoned it and continues to reinvent it each season . ||| La maison Chanel ne l’ a jamais abandonné et continue de le réinventer chaque saison .

Elijah Elijah | w_freq: 101 - 35 | wiki_freq: 9618 - 965 | sentence_idx: 716133 | align_1: 7-7 | align_2: 8-11 | ner_entity: Elijah-Elijah |    Then he arose , and went after Elijah , and served him . ||| Puis il se leva , et suivit Elijah ( Élie ) , et le servait .

Felpham Felpham | w_freq: 1 - 1 | wiki_freq: 109 - 5 | sentence_idx: 720641 | align_1: 6-6 | align_2: 7-10 | ner_entity: Felpham-Felpham |    " [ The town of ] Felpham is a sweet place for Study , because it is more spiritual than London . ||| « [ La ville de ] Felpham ( en ) est une douce place pour étudier car elle est plus spirituelle que Londres .

Safeguard sauvegarde | w_freq: 6 - 139 | wiki_freq: 628 - 8802 | sentence_idx: 723057 | align_1: 12-11 | align_2: 13-19 | ner_entity: the Special Agricultural Safeguard-none |    The conditions of application and the Parties to which the Special Agricultural Safeguard may be applied , will be defined in Annex XX . ] ||| Les conditions d’ application et les Parties auxquelles la mesure de sauvegarde spéciale à l’ égard des produits agricoles pourra s’ appliquer seront définies à l’ annexe XX . ]

Truthout Truthout | w_freq: 1 - 1 | wiki_freq: 109 - 2 | sentence_idx: 724466 | align_1: 1-0 | align_2: 2-5 | ner_entity: Truthout-Truthout |    Did Truthout not notice that Obama continued the policy of “ killing them ( Muslims ) over there ” ? ||| Truthout n' a -t -il pas remarqué qu' Obama a poursuivi la politique de " les tuer ( musulmans ) là - bas " ?

Remember Souviens | w_freq: 1056 - 34 | wiki_freq: 9753 - 330 | sentence_idx: 725996 | align_1: 1-0 | align_2: 2-4 | ner_entity: none-Souviens - Toi de moi , Seigneur |    ‘ Remember me , O Lord , in thy Kingdom . ’ ||| Souviens - Toi de moi , Seigneur , dans Ton Royaume !

™ ™ | w_freq: 139 - 134 | wiki_freq: 1816 - 123 | sentence_idx: 727462 | align_1: 3-3 | align_2: 4-11 | ner_entity: none-Climate Take Back ™ |    Climate Take Back ™ is our new mission and we want to share it with the world . ||| Climate Take Back ™ ( Reprendre le contrôle du climat ) est notre nouvelle mission et nous souhaitons la partager avec le reste du monde .

156 156 | w_freq: 28 - 32 | wiki_freq: 9202 - 2226 | sentence_idx: 735255 | align_1: 32-33 | align_2: 33-37 | ner_entity: paragraph 156 )-none |    Third , it is difficult to understand why the majority are not prepared to accept the existence of a European consensus on the question of banning the full-face veil ( see paragraph 156 ) . ||| Troisièmement , il est difficile de comprendre pourquoi la majorité n’ est pas disposée à admettre l’ existence d’ un consensus européen sur la question de l’ interdiction du voile intégral ( paragraphe 156 de l’ arrêt ) .

Cola Cola | w_freq: 12 - 9 | wiki_freq: 2992 - 1211 | sentence_idx: 735623 | align_1: 13-15 | align_2: 14-19 | ner_entity: Coca Cola-Coca Cola |    In the 1990s , when the business world was changing rapidly , Coca Cola realised that its global campaign is not enough to reach consumers across the globe . ||| Dans les années 1990 , alors que le monde des affaires évoluait rapidement , Coca Cola s’ est rendu compte que sa campagne mondiale n’ était pas suffisante pour atteindre les consommateurs du monde entier .

Dalli Dalli | w_freq: 2 - 2 | wiki_freq: 304 - 47 | sentence_idx: 735720 | align_1: 4-4 | align_2: 5-10 | ner_entity: John Dalli-M. John Dalli |    Statement by Commissioner John Dalli : The adoption of Food Information regulation is good news for consumers ||| Déclaration de M. John Dalli , membre de la Commission : l’ adoption d’ un règlement relatif à l’ information sur les denrées alimentaires est une bonne nouvelle pour les consommateurs

FPF FPF | w_freq: 5 - 5 | wiki_freq: 639 - 325 | sentence_idx: 736378 | align_1: 4-5 | align_2: 5-11 | ner_entity: FPF-FPF |    In the case of FPF even to avoid speculation and in defense of the institution itself . ||| Dans le cas de la FPF , je l’ ai fait même pour éviter la spéculation et pour défendre l’ institution elle-même .

Imagine Imagine | w_freq: 548 - 31 | wiki_freq: 5922 - 818 | sentence_idx: 737016 | align_1: 17-17 | align_2: 18-21 | ner_entity: “ Imagine Peace-Imagine - toi la paix ! |    It includes the videos of the series of events “ Immagina la Pace ! ” – “ Imagine Peace ! ” created by RSI . ||| Elle comprend les vidéos de la série d’ événements « Immagina la Pace ! » – « Imagine - toi la paix ! » créé par le RSI .

Kauppi Kauppi | w_freq: 1 - 1 | wiki_freq: 153 - 33 | sentence_idx: 737295 | align_1: 41-46 | align_2: 42-51 | ner_entity: Piia-Noora Kauppi-Noora Kauppi |    Jean-Pierre Audy ( PPE-DE ) , in writing . – ( FR ) I voted in favour of the European Parliament resolution on tax treatment of losses in cross-border situations , based on the own-initiative report by my excellent colleague Piia-Noora Kauppi in response to a communication from the European Commission on the same subject . ||| Jean-Pierre Audy ( PPE - DE ) , par écrit . – ( FR ) J’ ai voté la résolution du parlement européen sur le traitement fiscal des pertes dans les situations transfrontalières prise sur le rapport d’ initiative de mon excellente collègue Piia - Noora Kauppi et , ce , en réponse à une communication de la commission européenne sur le même sujet .

5.7 7.5 | w_freq: 14 - 16 | wiki_freq: 8170 - 249 | sentence_idx: 739723 | align_1: 0-0 | align_2: 1-4 | ner_entity: 5.7-none |    5.7 Are there any ongoing fees once a gTLD is approved by ICANN ? ||| 7.5 Y a -t -il des frais en cours une fois qu' un gTLD est approuvé par l' ICANN ?

Israelites Israélites | w_freq: 197 - 172 | wiki_freq: 6428 - 1118 | sentence_idx: 748911 | align_1: 19-22 | align_2: 20-26 | ner_entity: Israelites-Israélites |    There is not only a distinction drawn between the Israelites and God , but also a distinction made between Israelites . ||| Il n’ y a non seulement une distinction faite entre les Israélites et Dieu , mais aussi une distinction faite entre les Israélites eux - mêmes .

Try Essayez | w_freq: 436 - 415 | wiki_freq: 4708 - 39 | sentence_idx: 750609 | align_1: 0-0 | align_2: 1-5 | ner_entity: none-Essayez |    Try new platforms , for example if you have tried email marketing in the past , try a social media campaign . ||| Essayez , également , de nouvelles plates - formes : par exemple si vous avez essayé l’ e-mail marketing dans le passé , essayez une campagne sur les médias sociaux .

Ukrainians Ukrainiens | w_freq: 120 - 121 | wiki_freq: 7153 - 2375 | sentence_idx: 750668 | align_1: 1-1 | align_2: 2-6 | ner_entity: West Ukrainians-Ukrainiens |    West Ukrainians who identify with Poland and Europe began to protest . ||| Les Ukrainiens de l’ ouest , qui s’ identifient plus avec la Pologne et l’ Europe , ont commencé à protester .

Remember Souviens | w_freq: 1056 - 34 | wiki_freq: 9753 - 330 | sentence_idx: 752875 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-Souviens - toi d' Acapulco |    Remember Acapulco , those nights , pretty Maria ... 1 ||| Souviens - toi d' Acapulco , de ces nuits , belle Maria ... 1

Beracah Beraca | w_freq: 2 - 2 | wiki_freq: 5 - 0 | sentence_idx: 752876 | align_1: 31-32 | align_2: 32-40 | ner_entity: Beracah-Beraca |    On the fourth day they assembled themselves in the valley of Beracah ; for there they blessed the Lord , therefore the name of that place was called The valley of Beracah to this day . ||| Le quatrième jour , ils s ’ assemblèrent [ qahal ] dans la vallée de Beraca , où ils bénirent l’ Eternel ; c’ est pourquoi ils appelèrent ce lieu vallée de Beraca , nom qui lui est resté jusqu’ à ce jour .

Jobs Jobs | w_freq: 163 - 98 | wiki_freq: 7147 - 1149 | sentence_idx: 763691 | align_1: 1-1 | align_2: 2-5 | ner_entity: Steve Jobs-Steve Jobs |    Steve Jobs never directly spoke to teachers . ||| Steve Jobs ne s’ est jamais réellement adressé directement aux enseignants .

Calcium Calcium | w_freq: 7 - 2 | wiki_freq: 2181 - 79 | sentence_idx: 765966 | align_1: 1-1 | align_2: 2-6 | ner_entity: Fertiorgan Calcium-Fertiorgan Calcium |    Fertiorgan Calcium already has its own website » ||| Fertiorgan Calcium a d’ ores et déjà son propre site »

HAVE Ayez | w_freq: 28 - 49 | wiki_freq: 268 - 52 | sentence_idx: 778318 | align_1: 2-0 | align_2: 3-4 | ner_entity: none-Ayez |    THEREFORE , HAVE HOPE BECAUSE A GREATER POWER is in the world . ||| Ayez donc de l’ espoir car un pouvoir supérieur est dans le monde .

Wicked Wicked | w_freq: 6 - 1 | wiki_freq: 6400 - 584 | sentence_idx: 780284 | align_1: 2-2 | align_2: 3-6 | ner_entity: Wicked-Totally Wicked |    " Totally Wicked believes that the Tobacco Products Directive is a misconceived and disproportionate attempt to regulate electronic cigarettes . ||| « Totally Wicked est de l’ avis que la Directive sur les produits du tabac est une tentative mal interprétée et disproportionnée de règlementer les cigarettes électroniques .

Guidelines Lignes | w_freq: 73 - 38 | wiki_freq: 4619 - 3010 | sentence_idx: 782143 | align_1: 21-20 | align_2: 22-25 | ner_entity: paragraph 4.4.2 of the Guidelines for Applicants )-Lignes Directrices |    However , please note that according to paragraph 4.4 . of the Joint Operational Programme ( and paragraph 4.4.2 of the Guidelines for Applicants ) the partnership shall not include more than three organisations from the same country . ||| Cependant , veuillez noter que conformément au paragraphe 4.4 . du Programme Opérationnel Conjoint ( et au paragraphe 4.4.2 des Lignes Directrices à l’ intention des Demandeurs ) , le partenariat ne pourra pas inclure plus de trois organisations provenant du même pays .

Draper Draper | w_freq: 9 - 9 | wiki_freq: 7847 - 871 | sentence_idx: 785422 | align_1: 3-9 | align_2: 4-13 | ner_entity: John Draper-John Draper |    Lifeline director John Draper shared with the press : " We did n’t see numbers like this in 2008 or 2012 . ||| Le directeur de la ligne de vie , John Draper , il a partagé avec la presse : « Nous n' avons pas vu des chiffres comme cela dans 2008 o 2012 .

E-13 E-13 | w_freq: 18 - 18 | wiki_freq: 19 - 3 | sentence_idx: 787103 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-E-13 |    E-13 Now , before you can have a victory , there has to be a battle . ||| E-13 ( 36 ) Maintenant , avant que vous ne puissiez remporter une victoire , il doit y avoir une bataille .

Paraty Paraty | w_freq: 2 - 2 | wiki_freq: 169 - 86 | sentence_idx: 787364 | align_1: 5-5 | align_2: 6-13 | ner_entity: Paraty-Paraty |    In Angra dos Reis and Paraty credit card use is more difficult , especially in Ilha Grande . ||| Dans Angra dos Reis et Paraty , l’ utilisation de la carte de crédit est plus difficile , en particulier dans Ilha Grande .

Failure Failure | w_freq: 44 - 2 | wiki_freq: 5250 - 112 | sentence_idx: 790734 | align_1: 11-11 | align_2: 12-17 | ner_entity: none-Common Cause Failure |    The tool also assesses the CCF of course (= Common Cause Failure ) . ||| Naturellement , l’ outil analyse aussi la CCF (= Common Cause Failure : défaillance de cause commune ) .

Credibility crédibilité | w_freq: 13 - 324 | wiki_freq: 300 - 2416 | sentence_idx: 800175 | align_1: 5-6 | align_2: 6-11 | ner_entity: the " High Credibility EU Status " of Cyprus Entities-none |    Use of the " High Credibility EU Status " of Cyprus Entities in order to transact internationally . ||| L’ utilisation de la « haute crédibilité du statut de l’ UE » des entités chypriotes afin d’ effectuer des transactions à l’ international .

Motorcycling Motorcycling | w_freq: 1 - 1 | wiki_freq: 278 - 1 | sentence_idx: 802324 | align_1: 5-5 | align_2: 6-13 | ner_entity: International Foundation for Motorcycling-International Foundation for Motorcycling |    IFM ( International Foundation for Motorcycling ): In May the Board approved on principle the creation of a Foundation for the FIM . ||| IFM ( International Foundation for Motorcycling , Fondation internationale pour la moto ) : en mai , le conseil d' administration a approuvé en principe la création d' une fondation pour la FIM .

E-15 E-15 | w_freq: 29 - 28 | wiki_freq: 34 - 6 | sentence_idx: 804677 | align_1: 0-0 | align_2: 1-5 | ner_entity: none-E-15 |    E-15 Not long ago , when we were coming into Bombay , I just ... ||| E-15 Il n’ y a pas longtemps , quand nous sommes arrivés à Bombay , je ...

Struggle Struggle | w_freq: 20 - 3 | wiki_freq: 6230 - 264 | sentence_idx: 816142 | align_1: 5-5 | align_2: 6-10 | ner_entity: The Faithful Struggle-The Faithful Struggle [ Divin combat |    No1 . of The Faithful Struggle in the section entitled " Permanent Jihad . " ||| No1 . of The Faithful Struggle [ Divin combat ] dans la section intitulée " Permanent Jihad . "

mornings matins | w_freq: 46 - 66 | wiki_freq: 8860 - 912 | sentence_idx: 817059 | align_1: 6-6 | align_2: 7-11 | ner_entity: mornings-none |    These were shown only on weekend mornings , along with other Touchstone Pictures productions . ||| Elles ont été montrées seulement les matins du week - end , avec d' autres productions de Touchstone Pictures .

Daesh Daesh | w_freq: 75 - 39 | wiki_freq: 371 - 205 | sentence_idx: 817230 | align_1: 6-4 | align_2: 7-10 | ner_entity: Daesh-Daesh |    “ We must combat all of Daesh including its financiers and its propagandists . ||| “ nous devons combattre Daesh dans son intégralité , y compris ses financiers et ses propagandistes .

Yue Yue | w_freq: 12 - 13 | wiki_freq: 6833 - 1079 | sentence_idx: 838740 | align_1: 7-6 | align_2: 8-11 | ner_entity: Feng Yue-Feng Yue |    How could the arrogant and accustomed Feng Yue contain his rage ! ||| Comment l' arrogant et condescendant Feng Yue pourrait -il parvenir à contenir sa rage !

Joyners Joyners | w_freq: 1 - 1 | wiki_freq: 8 - 0 | sentence_idx: 840191 | align_1: 2-2 | align_2: 3-6 | ner_entity: Joyners-Joyners |    Thanks to Joyners manage more than 85 users through its platform . ” ||| Grâce à Joyners , nous nous occupons de plus de 85 utilisateurs sur sa plateforme . ”

ANSES Anses | w_freq: 3 - 2 | wiki_freq: 97 - 381 | sentence_idx: 840748 | align_1: 10-8 | align_2: 11-13 | ner_entity: none-Anses |    So , how were these 13 new pollutants identified by ANSES ? ||| Comment ces 13 nouveaux polluants identifiés par l’ Anses ont -ils été choisis ?

Ababa Abeba | w_freq: 26 - 25 | wiki_freq: 5400 - 1834 | sentence_idx: 842194 | align_1: 17-25 | align_2: 18-30 | ner_entity: Addis Ababa-Addis - Abeba |    He is encouraged by their constructive discussions on the implementation of the agreements they signed in Addis Ababa on 27 September 2012 and urges them to maintain this positive momentum . ||| Il est encouragé par les discussions constructives qu’ ils ont eues sur la mise en œuvre des accords qu' ils ont signés à Addis - Abeba , en Éthiopie , le 27 septembre 2012 et les invite à maintenir cet élan positif .

Remember Souviens | w_freq: 1056 - 34 | wiki_freq: 9753 - 330 | sentence_idx: 844251 | align_1: 15-14 | align_2: 16-18 | ner_entity: none-Souviens |    Through those “ shows of presence , ” they seemed to silently communicate , “ Remember this . ||| Par ces « démonstrations de présence » , ils semblaient communiquer silencieusement , « Souviens - toi de ceci .

216 216 | w_freq: 19 - 20 | wiki_freq: 6452 - 1626 | sentence_idx: 846827 | align_1: 0-1 | align_2: 1-7 | ner_entity: 216-( 216 ) Moi |    216 I too have frequently expressed my concern about this situation , which in some cases has become unbearable . ||| ( 216 ) Moi - même , j' ai exprimé plusieurs fois ma préoccupation face à cette situation , devenue en certains cas insoutenable .

Jie Jie | w_freq: 9 - 9 | wiki_freq: 3048 - 463 | sentence_idx: 847849 | align_1: 1-0 | align_2: 2-6 | ner_entity: Jie-Jie |    Soon Jie became my fellow practitioner , we talked about anything and Jie kept cultivating with diligence . ||| Jie n’ a pas tardé à devenir mon compagnon de pratique , nous parlions de tout et Jie continuait de se cultiver avec diligence .

Him Lui | w_freq: 1431 - 1229 | wiki_freq: 8112 - 8176 | sentence_idx: 849839 | align_1: 15-17 | align_2: 16-21 | ner_entity: none-Lui |    a fulfillment ofHis word which He sent down to Mary , and a mercy from Him . ||| Sa Parole qu’ Il envoya à Marie , et un souffle ( de vie ) venant de Lui * ( 9 )

AFA AFA | w_freq: 3 - 2 | wiki_freq: 2260 - 356 | sentence_idx: 853919 | align_1: 5-5 | align_2: 6-11 | ner_entity: AFA-AFA |    The American Family Association ( AFA ) is asking why a known sexual predator was celebrated in California schools last week . ||| L’ American Family Association ( AFA , Association des familles américaines ) demande pourquoi un prédateur sexuel reconnu a été célébré dans les écoles de Californie la semaine dernière .

Narbonnaise Narbonnaise | w_freq: 1 - 1 | wiki_freq: 11 - 743 | sentence_idx: 857060 | align_1: 4-2 | align_2: 5-7 | ner_entity: Narbonnaise-Narbonnaise |    The whole of the Narbonnaise produces the same fruits as Italy . ||| Toute la Narbonnaise , en effet , produit les mêmes fruits que l' Italie

Petitjean Petitjean | w_freq: 1 - 1 | wiki_freq: 137 - 491 | sentence_idx: 858980 | align_1: 1-1 | align_2: 2-5 | ner_entity: Claude Petitjean-Claude Petitjean |    Claude Petitjean prefers to talk about his role and " simple , but determined gestures . " ||| Claude Petitjean , lui , préfère parler de son rôle et de “ gestes simples , mais déterminés . ”

Diadeis Diadeis | w_freq: 1 - 1 | wiki_freq: 0 - 12 | sentence_idx: 862690 | align_1: 6-6 | align_2: 7-10 | ner_entity: Diadeis-Diadeis |    It is in this context that Diadeis acquired DIALOGUE Engine . ||| C’ est dans ce contexte que Diadeis a fait l’ acquisition de DIALOGUE Engine .

