Golang Golang | w_freq: 2 - 2 | wiki_freq: 21 - 11 | sentence_idx: 2076 | align_1: 4-3 | align_2: 5-8 | ner_entity: Golang-none |    IronFunctions is written on Golang and really supports functions in any language . ||| IronFunctions 是 在 Golang 上 编写 的 ， 并且 真正 支持 任何 语言 的 函数 。
Renaudel 雷诺德尔 | w_freq: 1 - 1 | wiki_freq: 23 - 0 | sentence_idx: 925773 | align_1: 4-7 | align_2: 5-12 | ner_entity: Renaudel-雷诺德尔 |    Only political invalids like Renaudel can speak of a peaceful , constitutional road to socialism . ||| 只有 政治 上 的 残障者 ， 比如 雷诺德尔 之 流 ， 才 会 大 谈 什么 和平 、 合宪 的 走向 社会主义 的 道路 。

Clouds- Clouds | w_freq: 1 - 5 | wiki_freq: 0 - 44 | sentence_idx: 926693 | align_1: 1-2 | align_2: 2-9 | ner_entity: Blue Clouds--none |    Blue Clouds- Elizabeth Mitchell and You Are My Flower ||| 《 Blue Clouds 》 – 伊丽莎白·米切尔 （ 英语 ： Elizabeth Mitchell ( musician ) ） & You Are My Flower

Fellaini Fellaini | w_freq: 12 - 9 | wiki_freq: 171 - 0 | sentence_idx: 930410 | align_1: 4-2 | align_2: 5-7 | ner_entity: Fellaini-none |    If ( Marouane ) Fellaini gets through the session today , it 's more or less a full squad . ||| 如果 [Maraoune] Fellaini 今天 （ 周五 ） 参加 会议 ， 那 或多或少 是 一个 完整 的 阵容 。

Islam-Savvy 圣杯 | w_freq: 1 - 33 | wiki_freq: 0 - 505 | sentence_idx: 932315 | align_1: 2-2 | align_2: 3-6 | ner_entity: Islam-Savvy-none |    Call it Islam-Savvy if you wish . ||| 《 响应 圣杯 之 召唤 ， 若 愿 顺应 此 意 ， 便 回应 吧 。

Reversal 回潮 | w_freq: 1 - 4 | wiki_freq: 614 - 53 | sentence_idx: 934272 | align_1: 29-24 | align_2: 30-28 | ner_entity: The Great Reversal-none |    He served as an agricultural consultant , and some of his reports and proposals ( such as a UN-funded model collective villages project ) are included in The Great Reversal . ||| 他 担任 农业 顾问 ， 他 的 一些 报告 和 计划 （ 比方说 联合国 资助 的 模范 集体村 计划 ） 收入 了 《 大 回潮 》 一 书 。

Qi’da Qi'da | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 936431 | align_1: 8-6 | align_2: 9-11 | ner_entity: Zhil Qi’da-none |    Thus Sunday will be the 30th of Zhil Qi’da and Monday the first day of Zhil Hijjah . ||| 因此 ， 星期天 将 是 Zhil Qi'da 的 第30 天 ， 而 星期一 是 Zhil Hijjah 的 第一 天 。

HEMMINGWAY 海明威 | w_freq: 3 - 14 | wiki_freq: 0 - 688 | sentence_idx: 936769 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-海明威 |    HEMMINGWAY : Yes , they have more money . ||| 海明威 （ Hemingway ） ： 是的 ， 他们 有 更 多 的 钱 。

Smurfy Smurfy | w_freq: 1 - 1 | wiki_freq: 19 - 1 | sentence_idx: 939817 | align_1: 4-4 | align_2: 5-11 | ner_entity: Smurfy-none |    " I 'm Too Smurfy " Right Said Fred 2:46 ||| 10 . I'm Too Smurfy （ 英语 ： I'm Too Sexy ） Right Said Fred （ 英语 ： Right Said Fred ） 2:46

EC2 EC2 | w_freq: 18 - 17 | wiki_freq: 292 - 48 | sentence_idx: 942779 | align_1: 13-9 | align_2: 14-14 | ner_entity: Amazon EC2-none |    In the future , the program hopes to expand its use of Amazon EC2 to include other remote sensing applications . ||| 今后 ， 该 计划 希望 扩展 其 对 Amazon EC2 的 使用 范围 ， 以 包含 其他 遥感 应用 程序 。

Kovach 科瓦奇 | w_freq: 2 - 4 | wiki_freq: 205 - 63 | sentence_idx: 946310 | align_1: 13-14 | align_2: 14-18 | ner_entity: Kovach-科瓦奇 |    Although she has seen a lot of tactical growth in her squad , Kovach believes the most valuable training was the time she spent building trust with her troops . ||| 虽然 她 在 班组 中 看到 了 很多 战术 上 的 成长 ， 但 科瓦奇 说 ， 她 认为 最 有 价值 的 训练 是 她 与 部队 建立 信任 的 时间 。

Birkmayer Birkmayer | w_freq: 2 - 2 | wiki_freq: 6 - 0 | sentence_idx: 949469 | align_1: 3-1 | align_2: 4-6 | ner_entity: Birkmayer-none |    To quote Dr. Birkmayer “ NADH is the biological Rocket Fuel . ||| 引用 Birkmayer 博士 的话 ， 就是 “ NADH 是 生物 火箭 燃料 。

Benadict 伊丽莎白·本尼迪克特 | w_freq: 1 - 1 | wiki_freq: 1 - 0 | sentence_idx: 951593 | align_1: 1-1 | align_2: 2-8 | ner_entity: Elizabeth Benadict-伊丽莎白·本尼迪克特 |    Elizabeth Benadict , Me , My Hair and I : Twenty-Seven Women Untable an Obsession ||| ---- 伊丽莎白·本尼迪克特 （ Elizabeth Benedict ） ， 编辑 ， 《 我 的 头发 与 我 ： 解开 二十七 位 女性 的 困扰 》 （ Me,My Hair and I:Twenty-seven Women Untangle an Obsession ）

Keiss Keiss | w_freq: 1 - 1 | wiki_freq: 71 - 0 | sentence_idx: 953699 | align_1: 9-7 | align_2: 10-11 | ner_entity: Keiss-none |    " I can not in any case agree with Keiss that my whole conception of the external world has been derived from perceptions . ||| “ 无论如何 ， 我 不 能 同意 Keiss 的 观点 ， 即 我 对外部 世界 的 整个 概念 都 源于 感知 。

Macalester 马卡莱斯特 | w_freq: 2 - 1 | wiki_freq: 741 - 0 | sentence_idx: 955724 | align_1: 15-13 | align_2: 16-18 | ner_entity: Macalester-马卡莱斯特 |    If I do n’t have any additional questions , why should I get on the Macalester mailing list ? ||| 问 ： 如果 我 没有 其他 问题 了 ， 为什么 我 还要 加入 马卡莱斯特 的 邮件 列表 ( mailing list ) ？

Neoliberalism 自由主义史 | w_freq: 4 - 1 | wiki_freq: 172 - 0 | sentence_idx: 956778 | align_1: 8-7 | align_2: 9-13 | ner_entity: History of Neoliberalism-none |    As David Harvey described in his History of Neoliberalism , ||| 正如 大卫·哈维 在 他 的 《 新 自由主义史 》 中 所 描述 的 ：

EUSS EUSS | w_freq: 2 - 2 | wiki_freq: 7 - 0 | sentence_idx: 959618 | align_1: 13-10 | align_2: 14-15 | ner_entity: EUSS-none |    “ The focus should be on offering reassurances and avoiding misconceptions about the EUSS and on ensuring that EU member states step up and provide a similar level of reassurance for UK nationals . ” ||| “ 重点 应该 放 在 提供 保证 和 避免 对 EUSS 的 误解 上 ， 并 确保 欧盟 成员国 加紧 为 英国 国民 提供 类似 水平 的 保证 。

Kodoma Kodoma | w_freq: 1 - 1 | wiki_freq: 3 - 0 | sentence_idx: 960326 | align_1: 4-4 | align_2: 5-13 | ner_entity: Kodoma-none |    Forcing herself to forget Kodoma 's embarrassing remark , she returned her attention on the couple . ||| 强迫 自己 忘记 和 Kodoma （ 小 玉姐 ） 那 令 人 尴尬 的 对话 ， 她 把 自己 的 注意力 移回 那 一对 夫妇 那里 。

Fishburne Fishburne | w_freq: 2 - 1 | wiki_freq: 695 - 5 | sentence_idx: 961432 | align_1: 1-3 | align_2: 2-11 | ner_entity: Laurence Fishburne-none |    Laurence Fishburne What 's Love Got to Do with It ‡ ||| 劳伦斯·菲什伯恩 （ Laurence Fishburne ） 《 与 爱 何干 》 （ What's Love Got to Do with It ）

Hosanna 散那 | w_freq: 3 - 6 | wiki_freq: 427 - 3 | sentence_idx: 962115 | align_1: 7-11 | align_2: 8-25 | ner_entity: Hosanna-none |    The people began to shout , “ Hosanna to the Son of David ! ” ||| 前行 后 随 的 众人 喊 着 说 : “ 和 散那 ( 原有 求救 的 意思 , 在 此 是 称 颂 的话 ) 归于 大卫 的 子孙 !

EARTH 末宗 | w_freq: 8 - 1 | wiki_freq: 148 - 4 | sentence_idx: 962446 | align_1: 6-2 | align_2: 7-13 | ner_entity: EARTH-何以 末宗 |    Why would it say let the EARTH bring forth ? ||| 然 何以 末宗 说 「 亦 有 中 有 」 ， 「 大地 劫住 。

kkk 3K | w_freq: 1 - 7 | wiki_freq: 2 - 124 | sentence_idx: 967869 | align_1: 1-4 | align_2: 2-20 | ner_entity: none-3K 党 |    the kkk took my baby away » ||| 我 第一 次 知道 3K 党 ， 是 因为 雷蒙斯 有 一 首 歌 名字 就 叫 “ The KKK Took My Baby Away ” 。

L’Espadon Espadon | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 971080 | align_1: 15-19 | align_2: 16-24 | ner_entity: L’Espadon-none |    When he opened the hotel 's new restaurant , in 1956 , Charles named it L’Espadon . ||| 正 因为 如此 ， 在 1956年 酒店 新 餐厅 开业 时 ， 查尔斯 将 其 命名 为 L ’ Espadon （ 剑 鱼 ） 。

Amazoned 亚马逊化 | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 976574 | align_1: 5-3 | align_2: 6-8 | ner_entity: none-亚马逊化 |    With fears of being “ Amazoned , ” some retailers have even adopted a non-AWS Cloud policy . ||| 由于 担心 “ 亚马逊化 ” 的 供应商 锁定 ， 一些 零售商 甚至 采用 了 非AWS云 策略 。

Lacerta Lacerta | w_freq: 2 - 2 | wiki_freq: 332 - 11 | sentence_idx: 981735 | align_1: 4-5 | align_2: 5-12 | ner_entity: Lacerta-none |    Please call me “ Lacerta ” , this is the name I generally use when I ’m among humans and talk with them . ||| 请 叫 我 「勒斯塔 （ Lacerta ， 意 为 蜥蜴 属 ） 」 好 了 ， 这是 当 我 在 人类 当中 走动 并 和 他们 谈话 的 时候 通常 用 的 名字 。

Steinem 阿武 | w_freq: 6 - 2 | wiki_freq: 866 - 96 | sentence_idx: 997607 | align_1: 0-1 | align_2: 1-6 | ner_entity: Steinem-莫 阿武 |    Steinem said , “ Be thankful . ” ||| 莫 阿武 没有 推辞 ， 恭敬 说道 ： “ 多谢 老板 。

Qur’an 蔚宗论之 | w_freq: 176 - 1 | wiki_freq: 541 - 0 | sentence_idx: 998502 | align_1: 1-1 | align_2: 2-6 | ner_entity: Qur’an-范 蔚宗论之 |    The Qur’an mandates “ peace is a word from a merciful God . ” ||| 范 蔚宗论之 ， 以为 ： 「 所谈者 仁义 ， 所 传者 圣法 也 。

