Dhamma Dhamma | w_freq: 49 - 45 | wiki_freq: 1093 - 92 | sentence_idx: 4829 | align_1: 1-0 | align_2: 2-6 | ner_entity: none-Dhamma |    ‘ Dhamma is good , but what is dhamma ? ||| Dhamma [ oder heute Dahrma ] ist gut , aber was ist Dhamma ?
Infront Infront | w_freq: 2 - 2 | wiki_freq: 57 - 79 | sentence_idx: 946717 | align_1: 9-8 | align_2: 10-12 | ner_entity: Infront-Infront |    Financial professionals across Europe and South Africa rely on Infront for flexible financial market solutions . ||| Finanzfachleute in ganz Europa und Südafrika vertrauen auf Infront , wenn es um flexible Finanzmarktlösungen geht .

Cultura Cultura | w_freq: 6 - 6 | wiki_freq: 2631 - 784 | sentence_idx: 952403 | align_1: 13-11 | align_2: 14-20 | ner_entity: Ecologia , Economia e Cultura-Ecologia , Economia e Cultura |    In the text below , taken from the book Ecologia , Economia e Cultura ( 2005 ) , they describe what is learnt from the elders in their community . ||| Im folgenden Text aus dem Buch “ Ecologia , Economia e Cultura ” ( Ökologie , Ökonomie und Kultur ) aus dem Jahr 2005 beschreiben sie , was sie von den Älteren der Gemeinschaft lernen .

Sserys deinem | w_freq: 1 - 1681 | wiki_freq: 0 - 894 | sentence_idx: 956440 | align_1: 5-8 | align_2: 6-17 | ner_entity: Sserys-none |    Ask him what became of Sserys if you are so inclined . ” ||| Frage dich auch , wie du ( in deinem Drehbuch ) gerne wärst ( gewesen wärst , wenn das Leben nicht dazwischen gefunkt hätte ) ?

Cacheiras Cacheiras | w_freq: 1 - 2 | wiki_freq: 4 - 0 | sentence_idx: 962913 | align_1: 10-9 | align_2: 11-15 | ner_entity: Battle of Cacheiras-von Cacheiras |    Solís and his forces were defeated at the Battle of Cacheiras , 23 April 1846 , and the survivors , including Solís himself , were shot . ||| Solís und seine Kräfte wurden in der Schlacht von Cacheiras ( Kampf von Cacheiras ) , am 23. April 1846 vereitelt , und die Überlebenden , einschließlich Solís selbst , wurden geschossen .

Chulin Chulin | w_freq: 2 - 2 | wiki_freq: 52 - 3 | sentence_idx: 964872 | align_1: 4-4 | align_2: 5-8 | ner_entity: Chulin 4a-Chulin |    For example , in Chulin 4a , he comments about a phrase : " We do not read this . ||| Zum Beispiel , in Chulin ( Kodashim ) 4a , kommentiert er über einen Ausdruck , " Wir lesen das nicht .

COP21 COP21 | w_freq: 16 - 13 | wiki_freq: 217 - 16 | sentence_idx: 975097 | align_1: 4-3 | align_2: 5-8 | ner_entity: COP21 Leaders Event-COP21 |    Jean-Claude Juncker at the COP21 Leaders Event - A climate agreement here and now in Paris ||| Jean-Claude Juncker beim COP21 Treffen der Staats- und Regierungschefs - Ein Klimaschutzübereinkommen jetzt und hier in Paris

HBV HBV | w_freq: 5 - 4 | wiki_freq: 615 - 311 | sentence_idx: 977390 | align_1: 5-6 | align_2: 6-11 | ner_entity: HBV-HBV |    Some reactions possibly associated with HBV have not been proven , including : ||| Einige Reaktionen , die möglicherweise mit HBV in Zusammenhang stehen , wurden nicht nachgewiesen , darunter :

Gazeta Gazeta | w_freq: 2 - 3 | wiki_freq: 2616 - 541 | sentence_idx: 987329 | align_1: 11-10 | align_2: 12-15 | ner_entity: Rossiyskaya Gazeta-Rossiyskaya Gazeta |    The change was originally published on 6 January 1992 ( Rossiyskaya Gazeta ) . ||| Änderung war ursprünglich veröffentlicht am 6. Januar 1992 ( Rossiyskaya Gazeta ( Rossiyskaya Gazeta ) ) .

Gor Gor | w_freq: 26 - 21 | wiki_freq: 1212 - 216 | sentence_idx: 989290 | align_1: 10-9 | align_2: 11-14 | ner_entity: Gor-Gor |    We must also consider the barbarian cultures outside of civilized Gor as they do not have a caste system . ||| Wir müssen auch die barbarischen Kulturen außerhalb des zivilisierten Gor in Betracht ziehen , da sie ebenfalls kein Kasten-System besitzen .

Gaia Gaia | w_freq: 207 - 167 | wiki_freq: 4660 - 1629 | sentence_idx: 994645 | align_1: 4-3 | align_2: 5-8 | ner_entity: Gaia-Gaia |    What is happening on Gaia is indeed a miracle . ||| Was da auf Gaia vor sich geht , ist in der Tat ein Wunder .

